id,droppack,prandom_prob
102820,24028,1|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|1|0|1|0
102920,24029,1|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|1|0|1|0
103020,24030,1|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|1|0|1|0
103120,24031,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
103220,24032,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
103320,24033,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
103420,24034,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
103520,24035,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
103620,24036,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
103720,24037,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
103820,24038,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
103920,24039,1|0|0|1|0|1|0|0|1|0|0|1|0|1|0|0|1|0|1|0
104020,24040,0|0|0
200115,26001,1|1|0|1|0|1|0|1|1|1|0|1|0|1|1
200215,26001,1|1|0|1|0|1|0|1|1|1|0|1|0|1|1
200315,26001,1|1|0|1|0|1|0|1|1|1|0|1|0|1|1
200415,26001,1|1|0|1|0|1|0|1|1|1|0|1|0|1|1
200515,26001,1|1|0|1|0|1|0|1|1|1|0|1|0|1|1
200615,26001,1|1|0|1|0|1|0|1|1|1|0|1|0|1|1
200715,26002,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
200815,26002,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
200915,26002,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
201015,26002,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
201115,26002,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
201215,26002,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
201315,26002,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
201415,26002,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
201515,26003,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
201615,26003,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
201715,26003,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
201815,26003,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
201915,26003,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
202015,26003,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
202115,26003,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
202215,26003,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
202315,26003,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
202415,26003,1|0|0|1|0|0|1|0|0|1|0|0|1|0|0
202515,26004,0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1
202615,26004,0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1
202715,26004,0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1
202815,26004,0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1
202915,26004,0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1
203015,26004,0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1
203115,26004,0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1
203215,26004,0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1
203315,26004,0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1
203415,26004,0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1|0|0|1
203515,26005,0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0
203615,26005,0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0
203715,26005,0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0
203815,26005,0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0
203915,26005,0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0
204015,26005,0|0|0
