id,equip_reward1,equip_reward2,mat_reward1,mat_reward2
760005,0,0,5|5|100,16|16|1000
760006,0,0,5|5|200,16|16|2000
760007,0,0,5|5|500,16|16|5000
770001,0,0,5|5|1,16|16|10
770002,0,0,5|5|5,16|16|50
770003,0,0,5|5|10,16|16|100
770004,0,0,5|5|20,16|16|200
770005,0,0,5|5|100,16|16|1000
770006,0,0,5|5|200,16|16|2000
770007,0,0,5|5|500,16|16|5000
780001,0,0,5|5|1,16|16|10
780002,0,0,5|5|5,16|16|50
780003,0,0,5|5|10,16|16|100
780004,0,0,5|5|20,16|16|200
780005,0,0,5|5|100,16|16|1000
780006,0,0,5|5|200,16|16|2000
780007,0,0,5|5|500,16|16|5000
790001,0,0,5|5|1,16|16|10
790002,0,0,5|5|5,16|16|50
790003,0,0,5|5|10,16|16|100
790004,0,0,5|5|20,16|16|200
790005,0,0,5|5|100,16|16|1000
790006,0,0,5|5|200,16|16|2000
790007,0,0,5|5|500,16|16|5000
711001,0,0,5|5|1,16|16|50
711002,0,0,5|5|10,16|16|100
711003,0,0,5|5|20,16|16|200
711004,0,0,5|5|40,16|16|400
711005,0,0,5|5|200,16|16|2000
711006,0,0,5|5|400,16|16|4000
711007,0,0,5|5|1000,16|16|10000
712001,0,0,5|5|1,16|16|50
712002,0,0,5|5|10,16|16|100
712003,0,0,5|5|20,16|16|200
712004,0,0,5|5|40,16|16|400
712005,0,0,5|5|200,16|16|2000
712006,0,0,5|5|400,16|16|4000
712007,0,0,5|5|1000,16|16|10000
713001,0,0,5|5|1,16|16|50
713002,0,0,5|5|10,16|16|100
713003,0,0,5|5|20,16|16|200
713004,0,0,5|5|40,16|16|400
713005,0,0,5|5|200,16|16|2000
713006,0,0,5|5|400,16|16|4000
713007,0,0,5|5|1000,16|16|10000
721003,0,0,5|5|50,16|16|500
721004,0,0,5|5|50,16|16|500
721005,0,0,5|5|50,16|16|500
721007,0,0,5|5|50,16|16|500
721008,0,0,5|5|100,16|16|1000
721009,0,0,5|5|100,16|16|1000
