id,monster_id1,monster_level1,monster_star1,post1,skill_level1,monster_id2,monster_level2,monster_star2,post2,skill_level2,monster_id3,monster_level3,monster_star3,post3,skill_level3,monster_id4,monster_level4,monster_star4,post4,skill_level4,ai,size1,size2,size3,size4
3003111,2003003,20,1,0,20|20|20|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3003121,2003003,60,1,0,60|60|60|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3003131,2003003,90,1,0,90|90|90|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3003141,2003003,120,1,0,120|120|120|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3003151,2003003,150,1,0,150|150|150|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3003161,2003003,200,1,0,200|200|200|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3004111,2003004,20,1,0,20|20|20|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3004121,2003004,60,1,0,60|60|60|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3004131,2003004,90,1,0,90|90|90|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3004141,2003004,120,1,0,120|120|120|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3004151,2003004,150,1,0,150|150|150|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3004161,2003004,200,1,0,200|200|200|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3005111,2003005,20,1,0,20|20|20|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3005121,2003005,60,1,0,60|60|60|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3005131,2003005,90,1,0,90|90|90|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3005141,2003005,120,1,0,120|120|120|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3005151,2003005,150,1,0,150|150|150|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3005161,2003005,200,1,0,200|200|200|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3006111,2003006,20,1,0,20|20|20|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3006121,2003006,60,1,0,60|60|60|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3006131,2003006,90,1,0,90|90|90|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3006141,2003006,120,1,0,120|120|120|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3006151,2003006,150,1,0,150|150|150|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3006161,2003006,200,1,0,200|200|200|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3007111,2003007,20,1,0,20|20|20|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3007121,2003007,60,1,0,60|60|60|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3007131,2003007,90,1,0,90|90|90|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3007141,2003007,120,1,0,120|120|120|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3007151,2003007,150,1,0,150|150|150|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
3007161,2003007,200,1,0,200|200|200|0|0,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,0,1,0,1|1|1|1|1|1|1,0,1,0,0,0
4000111,2003008,1,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,1,0,0,0
4000121,2003009,1,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,1,0,0,0
4000131,2003010,1,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,1,0,0,0
4000141,2003011,1,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,1,0,0,0
4000151,2003012,1,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,1,0,0,0
4000161,2003013,1,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,0,1,0,1|1|1|1|1,0,1,0,0,0
1001111,1000312,1,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,0,0,0,0
1001121,4000003,1,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,0,0,0,0
1001131,4000005,2,1,0,1|1|1|1|1,1000304,2,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,0,0,0,0
1001141,1000312,2,1,0,1|1|1|1|1,1000312,2,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,0,0,0,0
1001151,4000008,3,1,0,1|1|1|1|1,1000304,3,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,0,0,0,0
1001161,1001301,5,1,1,1|1|1|1|1,1000305,5,1,2,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,0,0,0,0
1001171,1000312,7,1,1,10|1|1|1|1,1000312,7,1,2,10|1|1|1|1,0,1,1,0,10|1|1|1|1,0,1,1,0,10|1|1|1|1,0,0,0,0,0
1001181,1000301,9,1,1,1|1|1|1|1,1000305,9,1,2,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,0,0,0,0
1001191,1000312,11,1,1,1|1|1|1|1,1000312,11,1,2,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,0,0,0,0
1001201,1001312,13,1,0,1|1|1|1|1,1000304,13,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,1,1,0,1|1|1|1|1,0,0,0,0,0
1002111,1001312,15,1,0,3|1|1|1|1,1001301,15,1,0,3|1|1|1|1,0,1,1,0,3|1|1|1|1,0,1,1,0,3|1|1|1|1,0,0,0,0,0
1002121,1001311,15,1,0,3|1|1|1|1,1001312,16,1,0,3|1|1|1|1,0,1,1,0,3|1|1|1|1,0,1,1,0,3|1|1|1|1,0,0,0,0,0
1002131,1001301,15,1,0,3|1|1|1|1,1001312,17,1,0,3|1|1|1|1,0,1,1,0,3|1|1|1|1,0,1,1,0,3|1|1|1|1,0,0,0,0,0
1002141,1001311,15,1,0,3|1|1|1|1,1001301,18,1,0,3|1|1|1|1,0,1,1,0,3|1|1|1|1,0,1,1,0,3|1|1|1|1,0,0,0,0,0
1002151,1001312,15,1,0,3|1|1|1|1,1001311,15,1,0,3|1|1|1|1,0,1,1,0,3|1|1|1|1,0,1,1,0,3|1|1|1|1,0,0,0,0,0
1002161,1001308,20,1,0,6|1|1|1|1,1001301,20,1,0,6|1|1|1|1,0,1,1,0,6|1|1|1|1,0,1,1,0,6|1|1|1|1,0,0,0,0,0
1002171,1001308,20,1,0,6|1|1|1|1,1001311,20,1,0,6|1|1|1|1,0,1,1,0,6|1|1|1|1,0,1,1,0,6|1|1|1|1,0,0,0,0,0
1002181,1001309,20,1,0,6|1|1|1|1,1001312,20,1,0,6|1|1|1|1,0,1,1,0,6|1|1|1|1,0,1,1,0,6|1|1|1|1,0,0,0,0,0
1002191,1001301,20,1,0,6|1|1|1|1,1001308,20,1,0,6|1|1|1|1,0,1,1,0,6|1|1|1|1,0,1,1,0,6|1|1|1|1,0,0,0,0,0
1002201,1001319,20,1,0,6|1|1|1|1,1001319,20,1,0,6|1|1|1|1,0,1,1,0,6|1|1|1|1,0,1,1,0,6|1|1|1|1,0,0,0,0,0
1003111,1002304,25,2,0,9|1|1|1|1,1001319,25,2,0,9|1|1|1|1,0,1,1,0,9|1|1|1|1,0,1,1,0,9|1|1|1|1,0,0,0,0,0
1003121,1002304,25,2,0,9|1|1|1|1,1001305,25,2,0,9|1|1|1|1,0,1,1,0,9|1|1|1|1,0,1,1,0,9|1|1|1|1,0,0,0,0,0
1003131,1002311,25,2,0,9|1|1|1|1,1001312,25,2,0,9|1|1|1|1,0,1,1,0,9|1|1|1|1,0,1,1,0,9|1|1|1|1,0,0,0,0,0
1003141,1002309,25,2,0,9|1|1|1|1,1001321,25,2,0,9|1|1|1|1,0,1,1,0,9|1|1|1|1,0,1,1,0,9|1|1|1|1,0,0,0,0,0
1003151,1002314,25,2,0,9|1|1|1|1,1001315,25,2,0,9|1|1|1|1,0,1,1,0,9|1|1|1|1,0,1,1,0,9|1|1|1|1,0,0,0,0,0
1003161,1002311,30,2,0,10|1|1|1|1,1001301,30,2,0,10|1|1|1|1,0,1,1,0,10|1|1|1|1,0,1,1,0,10|1|1|1|1,0,0,0,0,0
1003171,1002305,30,2,0,10|1|1|1|1,1001306,30,2,0,10|1|1|1|1,0,1,1,0,10|1|1|1|1,0,1,1,0,10|1|1|1|1,0,0,0,0,0
1003181,1002304,30,2,0,10|1|1|1|1,1001319,30,2,0,10|1|1|1|1,0,1,1,0,10|1|1|1|1,0,1,1,0,10|1|1|1|1,0,0,0,0,0
1003191,1002304,30,2,0,10|1|1|1|1,1001305,30,2,0,10|1|1|1|1,0,1,1,0,10|1|1|1|1,0,1,1,0,10|1|1|1|1,0,0,0,0,0
1003201,1002314,30,2,0,10|1|1|1|1,1001315,30,2,0,10|1|1|1|1,0,1,1,0,10|1|1|1|1,0,1,1,0,10|1|1|1|1,0,0,0,0,0
1004111,1003301,35,3,0,12|1|1|1|1,1002303,35,3,0,12|1|1|1|1,0,1,1,0,12|1|1|1|1,0,1,1,0,12|1|1|1|1,0,0,0,0,0
1004121,1003311,35,3,0,12|1|1|1|1,1002312,35,3,0,12|1|1|1|1,0,1,1,0,12|1|1|1|1,0,1,1,0,12|1|1|1|1,0,0,0,0,0
1004131,1003301,35,3,0,12|1|1|1|1,1002317,35,3,0,12|1|1|1|1,0,1,1,0,12|1|1|1|1,0,1,1,0,12|1|1|1|1,0,0,0,0,0
1004141,1003311,35,3,0,12|1|1|1|1,1002301,35,3,0,12|1|1|1|1,0,1,1,0,12|1|1|1|1,0,1,1,0,12|1|1|1|1,0,0,0,0,0
1004151,1003314,35,3,0,12|1|1|1|1,1002315,35,3,0,12|1|1|1|1,0,1,1,0,12|1|1|1|1,0,1,1,0,12|1|1|1|1,0,0,0,0,0
1004161,1003312,34,3,0,13|1|1|1|1,1002311,34,3,0,13|1|1|1|1,0,1,1,0,13|1|1|1|1,0,1,1,0,13|1|1|1|1,0,0,0,0,0
1004171,1003314,34,3,0,13|1|1|1|1,1002318,34,3,0,13|1|1|1|1,0,1,1,0,13|1|1|1|1,0,1,1,0,13|1|1|1|1,0,0,0,0,0
1004181,1003316,34,3,0,13|1|1|1|1,1002315,34,3,0,13|1|1|1|1,0,1,1,0,13|1|1|1|1,0,1,1,0,13|1|1|1|1,0,0,0,0,0
1004191,1003318,34,3,0,13|1|1|1|1,1002301,34,3,0,13|1|1|1|1,0,1,1,0,13|1|1|1|1,0,1,1,0,13|1|1|1|1,0,0,0,0,0
1004201,1003314,34,3,0,13|1|1|1|1,1002315,34,3,0,13|1|1|1|1,0,1,1,0,13|1|1|1|1,0,1,1,0,13|1|1|1|1,0,0,0,0,0
1005111,1003329,45,4,0,14|1|1|1|1,1003301,45,4,0,14|1|1|1|1,0,1,1,0,14|1|1|1|1,0,1,1,0,14|1|1|1|1,0,0,0,0,0
1005121,1003314,38,4,0,14|1|1|1|1,1003318,38,4,0,14|1|1|1|1,0,1,1,0,14|1|1|1|1,0,1,1,0,14|1|1|1|1,0,0,0,0,0
1005131,1003316,38,4,0,14|1|1|1|1,1003315,38,4,0,14|1|1|1|1,0,1,1,0,14|1|1|1|1,0,1,1,0,14|1|1|1|1,0,0,0,0,0
1005141,1003330,38,4,0,14|1|1|1|1,1003312,38,4,0,14|1|1|1|1,0,1,1,0,14|1|1|1|1,0,1,1,0,14|1|1|1|1,0,0,0,0,0
1005151,1003329,38,4,0,14|1|1|1|1,1003305,38,4,0,14|1|1|1|1,0,1,1,0,14|1|1|1|1,0,1,1,0,14|1|1|1|1,0,0,0,0,0
1005161,1003330,42,4,0,15|1|1|1|1,1003304,42,4,0,15|1|1|1|1,0,1,1,0,15|1|1|1|1,0,1,1,0,15|1|1|1|1,0,0,0,0,0
1005171,1004328,42,4,0,15|1|1|1|1,1004311,42,4,0,15|1|1|1|1,0,1,1,0,15|1|1|1|1,0,1,1,0,15|1|1|1|1,0,0,0,0,0
1005181,1004314,42,4,0,15|1|1|1|1,1004315,42,4,0,15|1|1|1|1,0,1,1,0,15|1|1|1|1,0,1,1,0,15|1|1|1|1,0,0,0,0,0
1005191,1004328,42,4,0,15|1|1|1|1,1004305,42,4,0,15|1|1|1|1,0,1,1,0,15|1|1|1|1,0,1,1,0,15|1|1|1|1,0,0,0,0,0
1005201,1004314,42,4,0,15|1|1|1|1,1004315,42,4,0,15|1|1|1|1,0,1,1,0,15|1|1|1|1,0,1,1,0,15|1|1|1|1,0,0,0,0,0
1006111,1004312,60,4,0,16|1|1|1|1,1004311,60,4,0,16|1|1|1|1,0,1,1,0,16|1|1|1|1,0,1,1,0,16|1|1|1|1,0,0,0,0,0
1006121,1004311,50,4,0,16|1|1|1|1,1004327,50,4,0,16|1|1|1|1,0,1,1,0,16|1|1|1|1,0,1,1,0,16|1|1|1|1,0,0,0,0,0
1006131,1004356,40,3,0,16|1|1|1|1,1004312,40,3,0,16|1|1|1|1,0,1,1,0,16|1|1|1|1,0,1,1,0,16|1|1|1|1,0,0,0,0,0
1006141,1004341,50,4,0,16|1|1|1|1,1004311,50,4,0,16|1|1|1|1,0,1,1,0,16|1|1|1|1,0,1,1,0,16|1|1|1|1,0,0,0,0,0
1006151,1004327,50,4,0,16|1|1|1|1,1004312,50,4,0,16|1|1|1|1,0,1,1,0,16|1|1|1|1,0,1,1,0,16|1|1|1|1,0,0,0,0,0
1006161,1004311,59,4,0,18|1|1|1|1,1004312,59,4,0,18|1|1|1|1,0,1,1,0,18|1|1|1|1,0,1,1,0,18|1|1|1|1,0,0,0,0,0
1006171,1004327,59,4,0,18|1|1|1|1,1004311,59,4,0,18|1|1|1|1,0,1,1,0,18|1|1|1|1,0,1,1,0,18|1|1|1|1,0,0,0,0,0
1006181,1004356,59,4,0,18|1|1|1|1,1004312,59,4,0,18|1|1|1|1,0,1,1,0,18|1|1|1|1,0,1,1,0,18|1|1|1|1,0,0,0,0,0
1006191,1004341,59,4,0,18|1|1|1|1,1004311,59,4,0,18|1|1|1|1,0,1,1,0,18|1|1|1|1,0,1,1,0,18|1|1|1|1,0,0,0,0,0
1006201,1004327,59,4,0,18|1|1|1|1,1005311,59,4,0,18|1|1|1|1,0,1,1,0,18|1|1|1|1,0,1,1,0,18|1|1|1|1,0,0,0,0,0
1007111,1004307,70,5,0,20|1|1|1|1,1005308,70,5,0,20|1|1|1|1,0,1,1,0,20|1|1|1|1,0,1,1,0,20|1|1|1|1,0,0,0,0,0
1007121,1004307,70,5,0,20|1|1|1|1,1005309,70,5,0,20|1|1|1|1,0,1,1,0,20|1|1|1|1,0,1,1,0,20|1|1|1|1,0,0,0,0,0
1007131,1004304,70,5,0,20|1|1|1|1,1004305,70,5,0,20|1|1|1|1,0,1,1,0,20|1|1|1|1,0,1,1,0,20|1|1|1|1,0,0,0,0,0
1007141,1004337,70,5,0,20|1|1|1|1,1004338,70,5,0,20|1|1|1|1,0,1,1,0,20|1|1|1|1,0,1,1,0,20|1|1|1|1,0,0,0,0,0
1007151,1004318,70,5,0,20|1|1|1|1,1004338,70,5,0,20|1|1|1|1,0,1,1,0,20|1|1|1|1,0,1,1,0,20|1|1|1|1,0,0,0,0,0
1007161,1005307,80,5,0,22|12|1|1|1,1005308,80,5,0,22|12|1|1|1,0,1,1,0,22|12|1|1|1,0,1,1,0,22|12|1|1|1,0,0,0,0,0
1007171,1005307,80,5,0,22|12|1|1|1,1005309,80,5,0,22|12|1|1|1,0,1,1,0,22|12|1|1|1,0,1,1,0,22|12|1|1|1,0,0,0,0,0
1007181,1005304,80,5,0,22|12|1|1|1,1005305,80,5,0,22|12|1|1|1,0,1,1,0,22|12|1|1|1,0,1,1,0,22|12|1|1|1,0,0,0,0,0
1007191,1005337,80,5,0,22|12|1|1|1,1004338,80,5,0,22|12|1|1|1,0,1,1,0,22|12|1|1|1,0,1,1,0,22|12|1|1|1,0,0,0,0,0
1007201,1005318,80,5,0,22|12|1|1|1,1004338,80,5,0,22|12|1|1|1,0,1,1,0,22|12|1|1|1,0,1,1,0,22|12|1|1|1,0,0,0,0,0
1008111,1005304,90,5,0,26|16|1|1|1,1004319,90,5,0,26|16|1|1|1,0,1,1,0,26|16|1|1|1,0,1,1,0,26|16|1|1|1,0,0,0,0,0
1008121,1005304,90,5,0,26|16|1|1|1,1005305,90,5,0,26|16|1|1|1,0,1,1,0,26|16|1|1|1,0,1,1,0,26|16|1|1|1,0,0,0,0,0
1008131,1005311,90,5,0,26|16|1|1|1,1004312,90,5,0,26|16|1|1|1,0,1,1,0,26|16|1|1|1,0,1,1,0,26|16|1|1|1,0,0,0,0,0
1008141,1005321,90,5,0,26|16|1|1|1,1004309,90,5,0,26|16|1|1|1,0,1,1,0,26|16|1|1|1,0,1,1,0,26|16|1|1|1,0,0,0,0,0
1008151,1005314,90,5,0,26|16|1|1|1,1005315,90,5,0,26|16|1|1|1,0,1,1,0,26|16|1|1|1,0,1,1,0,26|16|1|1|1,0,0,0,0,0
1008161,1005311,100,5,0,30|20|1|1|1,1005301,100,5,0,30|20|1|1|1,0,1,1,0,30|20|1|1|1,0,1,1,0,30|20|1|1|1,0,0,0,0,0
1008171,1005305,70,3,0,30|20|1|1|1,1005306,70,3,0,30|20|1|1|1,0,1,1,0,30|20|1|1|1,0,1,1,0,30|20|1|1|1,0,0,0,0,0
1008181,1005304,70,3,0,30|20|1|1|1,1004319,70,3,0,30|20|1|1|1,0,1,1,0,30|20|1|1|1,0,1,1,0,30|20|1|1|1,0,0,0,0,0
1008191,1005304,70,3,0,30|20|1|1|1,1005305,70,3,0,30|20|1|1|1,0,1,1,0,30|20|1|1|1,0,1,1,0,30|20|1|1|1,0,0,0,0,0
1008201,1005314,60,3,0,30|20|1|1|1,1005315,60,3,0,30|20|1|1|1,0,1,1,0,30|20|1|1|1,0,1,1,0,30|20|1|1|1,0,0,0,0,0
1009111,1006301,80,3,0,35|25|1|1|1,1004303,80,3,0,35|25|1|1|1,0,1,1,0,35|25|1|1|1,0,1,1,0,35|25|1|1|1,0,0,0,0,0
1009121,1006312,80,3,0,35|25|1|1|1,1004311,80,3,0,35|25|1|1|1,0,1,1,0,35|25|1|1|1,0,1,1,0,35|25|1|1|1,0,0,0,0,0
1009131,1006301,80,3,0,35|25|1|1|1,1004317,80,3,0,35|25|1|1|1,0,1,1,0,35|25|1|1|1,0,1,1,0,35|25|1|1|1,0,0,0,0,0
1009141,1006311,80,3,0,35|25|1|1|1,1004301,80,3,0,35|25|1|1|1,0,1,1,0,35|25|1|1|1,0,1,1,0,35|25|1|1|1,0,0,0,0,0
1009151,1006314,70,3,0,35|25|1|1|1,1004315,70,3,0,35|25|1|1|1,0,1,1,0,35|25|1|1|1,0,1,1,0,35|25|1|1|1,0,0,0,0,0
1009161,1006311,90,3,0,35|30|1|1|1,1004312,90,3,0,35|30|1|1|1,0,1,1,0,35|30|1|1|1,0,1,1,0,35|30|1|1|1,0,0,0,0,0
1009171,1006314,90,3,0,35|30|1|1|1,1004318,90,3,0,35|30|1|1|1,0,1,1,0,35|30|1|1|1,0,1,1,0,35|30|1|1|1,0,0,0,0,0
1009181,1006315,90,3,0,35|30|1|1|1,1004316,90,3,0,35|30|1|1|1,0,1,1,0,35|30|1|1|1,0,1,1,0,35|30|1|1|1,0,0,0,0,0
1009191,1006301,90,3,0,35|30|1|1|1,1004318,90,3,0,35|30|1|1|1,0,1,1,0,35|30|1|1|1,0,1,1,0,35|30|1|1|1,0,0,0,0,0
1009201,1006314,80,3,0,35|30|1|1|1,1004315,80,3,0,35|30|1|1|1,0,1,1,0,35|30|1|1|1,0,1,1,0,35|30|1|1|1,0,0,0,0,0
1010111,1006329,90,4,0,40|30|1|1|1,1004301,90,4,0,40|30|1|1|1,0,1,1,0,40|30|1|1|1,0,1,1,0,40|30|1|1|1,0,0,0,0,0
1010121,1006314,90,4,0,40|30|1|1|1,1004318,90,4,0,40|30|1|1|1,0,1,1,0,40|30|1|1|1,0,1,1,0,40|30|1|1|1,0,0,0,0,0
1010131,1006315,90,4,0,40|30|1|1|1,1004316,90,4,0,40|30|1|1|1,0,1,1,0,40|30|1|1|1,0,1,1,0,40|30|1|1|1,0,0,0,0,0
