id,name,same,units1,units2,units3,units4,units5,units6,atk_per,atk_abs,def_per,def_abs,hp_per,hp_abs,cri,eva
73,鲨鱼萌蛋,355,1000355,1000372,0,0,0,0,0,0,6,0,0,0,0,0
74,雷光盾,355,1000355,1000389,0,0,0,0,6,0,0,0,0,0,0,0
75,念力大师,357,1000357,1000367,0,0,0,0,0,0,0,0,6,0,0,0
76,超能电波,357,1000357,1000390,0,0,0,0,6,0,0,0,0,0,0,0
77,念力咒术,357,1000357,1000345,0,0,0,0,0,0,0,0,6,0,0,0
78,鬼火诅咒,359,1000359,1000345,0,0,0,0,0,0,0,0,6,0,0,0
79,幽灵鬼锁,359,1000359,1000369,0,0,0,0,0,0,0,0,0,0,0,5
80,鬼罚,359,1000359,1000370,0,0,0,0,0,0,0,0,6,0,0,0
81,浴火,361,1000361,1000331,0,0,0,0,6,0,0,0,0,0,0,0
82,火焰一击,361,1000361,1000371,0,0,0,0,6,0,0,0,0,0,0,0
83,火山筑巢,361,1000361,1000362,0,0,0,0,0,0,0,0,0,0,5,0
84,火山筑巢,362,1000362,1000361,0,0,0,0,6,0,0,0,0,0,0,0
85,熔岩烈焰,362,1000362,1000376,0,0,0,0,6,0,0,0,0,0,0,0
86,创世大地,362,1000362,1000374,0,0,0,0,6,0,0,0,0,0,0,0
87,深海守卫,363,1000363,1000372,0,0,0,0,0,0,0,0,6,0,0,0
88,生生不息,363,1000363,1000375,0,0,0,0,0,0,0,0,6,0,0,0
89,烈焰潮汐,363,1000363,1000376,0,0,0,0,0,0,6,0,0,0,0,0
90,蛋蛋守护,364,1000364,1000355,0,0,0,0,0,0,6,0,0,0,0,0
91,冰山守护,364,1000364,1000377,0,0,0,0,0,0,6,0,0,0,0,0
92,卖萌可耻,364,1000364,1000378,0,0,0,0,0,0,0,0,6,0,0,0
93,龙门舞者,365,1000365,1000349,0,0,0,0,6,0,0,0,0,0,0,0
94,木之领地,365,1000365,1000373,0,0,0,0,6,0,0,0,0,0,0,0
95,冥龙狂舞,365,1000365,1000380,0,0,0,0,0,0,0,0,0,0,0,5
96,草木精灵,366,1000366,1000352,0,0,0,0,0,0,0,0,6,0,0,0
97,木生精灵,366,1000366,1000373,0,0,0,0,6,0,0,0,0,0,0,0
98,水木神灵,366,1000366,1000382,0,0,0,0,6,0,0,0,0,0,0,0
99,念力大师,367,1000367,1000357,0,0,0,0,6,0,0,0,0,0,0,0
100,超能狱长,367,1000367,1000383,0,0,0,0,6,0,0,0,0,0,0,0
101,一念雷云,367,1000367,1000384,0,0,0,0,6,0,0,0,0,0,0,0
102,刀锋雷电,388,1000388,1000379,0,0,0,0,6,0,0,0,0,0,0,0
103,刀锋战士,388,1000388,1000385,0,0,0,0,6,0,0,0,0,0,0,0
104,森林泰坦,388,1000388,1000386,0,0,0,0,6,0,0,0,0,0,0,0
105,雷光盾,389,1000389,1000355,0,0,0,0,6,0,0,0,0,0,0,0
106,雷之神灵,389,1000389,1000390,0,0,0,0,6,0,0,0,0,0,0,0
107,雷火泰坦,389,1000389,1000386,0,0,0,0,0,0,0,0,0,0,5,0
108,超能电波,390,1000390,1000357,0,0,0,0,6,0,0,0,0,0,0,0
109,雷之神灵,390,1000390,1000389,0,0,0,0,6,0,0,0,0,0,0,0
110,钢躯雷淬,390,1000390,1000387,0,0,0,0,0,0,0,0,0,0,0,5
111,烈焰钢躯,387,1000387,1000381,0,0,0,0,0,0,6,0,0,0,0,0
112,钢躯雷淬,387,1000387,1000390,0,0,0,0,0,0,6,0,0,0,0,0
113,噩梦缠绕,387,1000387,1000369,0,0,0,0,0,0,6,0,0,0,0,0
114,幽灵鬼锁,369,1000369,1000359,0,0,0,0,0,0,0,0,6,0,0,0
115,噩梦缠绕,369,1000369,1000387,0,0,0,0,0,0,0,0,6,0,0,0
116,噩梦天罚,369,1000369,1000370,0,0,0,0,0,0,0,0,6,0,0,0
117,鬼罚,370,1000370,1000359,0,0,0,0,0,0,0,0,6,0,0,0
118,噩梦天罚,370,1000370,1000369,0,0,0,0,0,0,0,0,6,0,0,0
119,创世罪罚,370,1000370,1000374,0,0,0,0,6,0,0,0,0,0,0,0
120,火焰一击,371,1000371,1000361,0,0,0,0,8,0,0,0,0,0,0,0
121,火之暴怒,371,1000371,1000331,0,0,0,0,8,0,0,0,0,0,0,0
122,焚世之炎,371,1000371,1000381,0,0,0,0,8,0,0,0,0,0,0,0
123,生命海洋,372,1000372,1000375,0,0,0,0,0,0,0,0,8,0,0,0
124,鲨鱼萌蛋,372,1000372,1000355,0,0,0,0,0,0,0,0,8,0,0,0
125,深海守卫,372,1000372,1000363,0,0,0,0,0,0,8,0,0,0,0,0
126,木之领地,373,1000373,1000365,0,0,0,0,0,0,8,0,0,0,0,0
127,木生精灵,373,1000373,1000366,0,0,0,0,0,0,8,0,0,0,0,0
128,火木双龙,373,1000373,1000347,0,0,0,0,0,0,0,0,8,0,0,0
129,创世大地,374,1000374,1000362,0,0,0,0,8,0,0,0,0,0,0,0
130,创世罪罚,374,1000374,1000370,0,0,0,0,0,0,0,0,0,0,6,0
131,创世生命,374,1000374,1000375,0,0,0,0,0,0,0,0,0,0,6,0
132,生生不息,375,1000375,1000363,0,0,0,0,0,0,0,0,8,0,0,0
133,创世生命,375,1000375,1000374,0,0,0,0,0,0,0,0,0,0,0,6
134,生命海洋,375,1000375,1000372,0,0,0,0,0,0,0,0,0,0,0,6
135,烈焰潮汐,376,1000376,1000363,0,0,0,0,0,0,0,0,6,0,0,0
136,熔岩烈焰,376,1000376,1000362,0,0,0,0,0,0,0,0,6,0,0,0
137,火焰世界,376,1000376,1000331,0,0,0,0,6,0,0,0,0,0,0,0
138,冰山守护,377,1000377,1000364,0,0,0,0,0,0,6,0,0,0,0,0
139,冰山瀑布,377,1000377,1000382,0,0,0,0,0,0,6,0,0,0,0,0
140,净化冰川,377,1000377,1000378,0,0,0,0,0,0,0,0,6,0,0,0
141,卖萌可耻,378,1000378,1000364,0,0,0,0,0,0,0,0,6,0,0,0
142,净化冰川,378,1000378,1000377,0,0,0,0,0,0,0,0,6,0,0,0
143,净化雷电,378,1000378,1000379,0,0,0,0,0,0,0,0,0,0,0,5
144,刀锋雷电,379,1000379,1000388,0,0,0,0,6,0,0,0,0,0,0,0
145,净化雷电,379,1000379,1000378,0,0,0,0,6,0,0,0,0,0,0,0
146,冥界雷牢,379,1000379,1000380,0,0,0,0,0,0,0,0,0,0,5,0
147,冥龙狂舞,380,1000380,1000365,0,0,0,0,6,0,0,0,0,0,0,0
148,冥界雷牢,380,1000380,1000379,0,0,0,0,0,0,0,0,0,0,5,0
149,冥界火狱,380,1000380,1000381,0,0,0,0,0,0,0,0,0,0,5,0
150,烈焰钢躯,381,1000381,1000387,0,0,0,0,6,0,0,0,0,0,0,0
151,冥界火狱,381,1000381,1000380,0,0,0,0,6,0,0,0,0,0,0,0
152,焚世之炎,381,1000381,1000371,0,0,0,0,0,0,0,0,0,0,5,0
153,水木神灵,382,1000382,1000366,0,0,0,0,0,0,0,0,6,0,0,0
154,冰山瀑布,382,1000382,1000377,0,0,0,0,0,0,0,0,6,0,0,0
155,水牢典狱,382,1000382,1000383,0,0,0,0,0,0,6,0,0,0,0,0
156,超能狱长,383,1000383,1000367,0,0,0,0,0,0,0,0,6,0,0,0
157,水牢典狱,383,1000383,1000382,0,0,0,0,0,0,0,0,6,0,0,0
158,雷狱监察,383,1000383,1000384,0,0,0,0,0,0,0,0,6,0,0,0
159,一念雷云,384,1000384,1000367,0,0,0,0,0,0,6,0,0,0,0,0
160,雷狱监察,384,1000384,1000383,0,0,0,0,0,0,6,0,0,0,0,0
161,狂雷灭世,384,1000384,1000385,0,0,0,0,6,0,0,0,0,0,0,0
162,刀锋战士,385,1000385,1000388,0,0,0,0,6,0,0,0,0,0,0,0
163,狂雷灭世,385,1000385,1000384,0,0,0,0,6,0,0,0,0,0,0,0
164,灭世泰坦,385,1000385,1000386,0,0,0,0,0,0,6,0,0,0,0,0
165,森林泰坦,386,1000386,1000388,0,0,0,0,0,0,0,0,6,0,0,0
166,灭世泰坦,386,1000386,1000385,0,0,0,0,0,0,0,0,6,0,0,0
167,雷火泰坦,386,1000386,1000389,0,0,0,0,0,0,0,0,6,0,0,0
168,暂未开放，敬请期待,394,1000394,-1,0,0,0,0,0,0,0,0,0,0,0,0
