id,monster_lv,monster_skill_lv,monster_star,monster_id1,monster_id2,monster_id3,monster_id4,monster_group_count,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4,typea|itemID|amount1,typea|itemID|amount2,typea|itemID|amount3,typea|itemID|amount4
54,226,56,20,1011333,1010356,1010350,1010339,30,8|8|126000,16|16|12600,0,0,8|8|63000,16|16|6300,0,0
55,229,57,20,1011350,1010355,1010345,1010359,30,8|8|128000,16|16|12800,0,0,8|8|64000,16|16|6400,0,0
56,232,57,20,1011353,1010362,1010345,1010347,30,8|8|130000,16|16|13000,0,0,8|8|65000,16|16|6500,0,0
57,235,58,20,1012333,1011339,1011336,1011344,30,8|8|132000,16|16|13200,0,0,8|8|66000,16|16|6600,0,0
58,238,58,20,1012354,1011358,1011335,1011346,30,8|8|134000,16|16|13400,0,0,8|8|67000,16|16|6700,0,0
59,241,59,20,1012344,1011360,1011342,1011341,30,8|8|136000,16|16|13600,0,0,8|8|68000,16|16|6800,0,0
60,244,59,20,1012334,1011351,1011335,1011339,30,8|8|138000,16|16|13800,0,0,8|8|69000,16|16|6900,0,0
61,247,60,20,1012369,1011355,1011359,1011372,30,8|8|140000,16|16|14000,0,0,8|8|70000,16|16|7000,0,0
62,250,60,20,1012338,1011352,1011341,1011344,30,8|8|142000,16|16|14200,0,0,8|8|71000,16|16|7100,0,0
63,253,61,20,1012332,1011346,1011341,1011343,30,8|8|144000,16|16|14400,0,0,8|8|72000,16|16|7200,0,0
64,256,61,20,1012333,1011356,1011350,1011339,30,8|8|146000,16|16|14600,0,0,8|8|73000,16|16|7300,0,0
65,259,62,20,1012350,1011355,1011345,1011359,30,8|8|148000,16|16|14800,0,0,8|8|74000,16|16|7400,0,0
66,262,62,20,1012364,1011352,1011357,1011367,30,8|8|150000,16|16|15000,0,0,8|8|75000,16|16|7500,0,0
67,265,63,20,1013333,1012339,1012336,1012344,30,8|8|152000,16|16|15200,0,0,8|8|76000,16|16|7600,0,0
68,268,63,20,1013354,1012358,1012335,1012346,30,8|8|154000,16|16|15400,0,0,8|8|77000,16|16|7700,0,0
69,271,64,20,1013344,1012360,1012342,1012341,30,8|8|156000,16|16|15600,0,0,8|8|78000,16|16|7800,0,0
70,274,64,20,1013334,1012351,1012335,1012339,30,8|8|158000,16|16|15800,0,0,8|8|79000,16|16|7900,0,0
71,277,65,20,1013331,1012361,1012374,1012371,30,8|8|160000,16|16|16000,0,0,8|8|80000,16|16|8000,0,0
72,280,65,20,1013338,1012352,1012341,1012344,30,8|8|162000,16|16|16200,0,0,8|8|81000,16|16|8100,0,0
73,283,66,20,1013332,1012346,1012341,1012343,30,8|8|164000,16|16|16400,0,0,8|8|82000,16|16|8200,0,0
74,286,66,20,1013333,1012356,1012350,1012339,30,8|8|166000,16|16|16600,0,0,8|8|83000,16|16|8300,0,0
75,289,67,20,1013350,1012355,1012345,1012359,30,8|8|168000,16|16|16800,0,0,8|8|84000,16|16|8400,0,0
76,292,67,20,1013353,1012362,1012345,1012347,30,8|8|170000,16|16|17000,0,0,8|8|85000,16|16|8500,0,0
77,295,68,20,1013333,1012339,1012336,1012344,30,8|8|172000,16|16|17200,0,0,8|8|86000,16|16|8600,0,0
78,298,68,20,1013354,1012358,1012335,1012346,30,8|8|174000,16|16|17400,0,0,8|8|87000,16|16|8700,0,0
79,301,69,20,1013344,1012360,1012342,1012341,30,8|8|176000,16|16|17600,0,0,8|8|88000,16|16|8800,0,0
80,304,69,20,1013334,1012351,1012335,1012339,30,8|8|178000,16|16|17800,0,0,8|8|89000,16|16|8900,0,0
81,307,70,20,1013369,1012355,1012359,1012372,30,8|8|180000,16|16|18000,0,0,8|8|90000,16|16|9000,0,0
82,310,70,20,1012369,1012355,1012359,1012372,30,8|8|182000,16|16|18200,0,0,8|8|91000,16|16|9100,0,0
83,313,71,20,1012369,1012355,1012359,1012372,30,8|8|184000,16|16|18400,0,0,8|8|92000,16|16|9200,0,0
84,316,71,20,1012369,1012355,1012359,1012372,30,8|8|186000,16|16|18600,0,0,8|8|93000,16|16|9300,0,0
85,319,72,20,1012369,1012355,1012359,1012372,30,8|8|188000,16|16|18800,0,0,8|8|94000,16|16|9400,0,0
86,322,72,20,1012369,1012355,1012359,1012372,30,8|8|190000,16|16|19000,0,0,8|8|95000,16|16|9500,0,0
87,325,73,20,1012369,1012355,1012359,1012372,30,8|8|192000,16|16|19200,0,0,8|8|96000,16|16|9600,0,0
88,328,73,20,1012369,1012355,1012359,1012372,30,8|8|194000,16|16|19400,0,0,8|8|97000,16|16|9700,0,0
89,331,74,20,1012369,1012355,1012359,1012372,30,8|8|196000,16|16|19600,0,0,8|8|98000,16|16|9800,0,0
90,334,74,20,1012369,1012355,1012359,1012372,30,8|8|198000,16|16|19800,0,0,8|8|99000,16|16|9900,0,0
91,337,75,20,1012369,1012355,1012359,1012372,30,8|8|200000,16|16|20000,0,0,8|8|100000,16|16|10000,0,0
92,340,75,20,1012369,1012355,1012359,1012372,30,8|8|202000,16|16|20200,0,0,8|8|101000,16|16|10100,0,0
93,343,76,20,1012369,1012355,1012359,1012372,30,8|8|204000,16|16|20400,0,0,8|8|102000,16|16|10200,0,0
94,346,76,20,1012369,1012355,1012359,1012372,30,8|8|206000,16|16|20600,0,0,8|8|103000,16|16|10300,0,0
95,349,77,20,1012369,1012355,1012359,1012372,30,8|8|208000,16|16|20800,0,0,8|8|104000,16|16|10400,0,0
96,352,77,20,1012369,1012355,1012359,1012372,30,8|8|210000,16|16|21000,0,0,8|8|105000,16|16|10500,0,0
97,355,78,20,1012369,1012355,1012359,1012372,30,8|8|212000,16|16|21200,0,0,8|8|106000,16|16|10600,0,0
98,358,78,20,1012369,1012355,1012359,1012372,30,8|8|214000,16|16|21400,0,0,8|8|107000,16|16|10700,0,0
99,361,79,20,1012369,1012355,1012359,1012372,30,8|8|216000,16|16|21600,0,0,8|8|108000,16|16|10800,0,0
100,364,79,20,1012369,1012355,1012359,1012372,30,8|8|218000,16|16|21800,0,0,8|8|109000,16|16|10900,0,0
101,367,80,20,1012369,1012355,1012359,1012372,30,8|8|220000,16|16|22000,0,0,8|8|110000,16|16|11000,0,0
102,370,80,20,1012369,1012355,1012359,1012372,30,8|8|222000,16|16|22200,0,0,8|8|111000,16|16|11100,0,0
103,373,81,20,1012369,1012355,1012359,1012372,30,8|8|224000,16|16|22400,0,0,8|8|112000,16|16|11200,0,0
104,376,81,20,1012369,1012355,1012359,1012372,30,8|8|226000,16|16|22600,0,0,8|8|113000,16|16|11300,0,0
105,379,82,20,1012369,1012355,1012359,1012372,30,8|8|228000,16|16|22800,0,0,8|8|114000,16|16|11400,0,0
106,382,82,20,1012369,1012355,1012359,1012372,30,8|8|230000,16|16|23000,0,0,8|8|115000,16|16|11500,0,0
107,385,83,20,1012369,1012355,1012359,1012372,30,8|8|232000,16|16|23200,0,0,8|8|116000,16|16|11600,0,0
108,388,83,20,1012369,1012355,1012359,1012372,30,8|8|234000,16|16|23400,0,0,8|8|117000,16|16|11700,0,0
109,391,84,20,1012369,1012355,1012359,1012372,30,8|8|236000,16|16|23600,0,0,8|8|118000,16|16|11800,0,0
110,394,84,20,1012369,1012355,1012359,1012372,30,8|8|238000,16|16|23800,0,0,8|8|119000,16|16|11900,0,0
111,397,85,20,1012369,1012355,1012359,1012372,30,8|8|240000,16|16|24000,0,0,8|8|120000,16|16|12000,0,0
112,400,85,20,1012369,1012355,1012359,1012372,30,8|8|242000,16|16|24200,0,0,8|8|121000,16|16|12100,0,0
113,403,86,20,1012369,1012355,1012359,1012372,30,8|8|244000,16|16|24400,0,0,8|8|122000,16|16|12200,0,0
114,406,86,20,1012369,1012355,1012359,1012372,30,8|8|246000,16|16|24600,0,0,8|8|123000,16|16|12300,0,0
115,409,87,20,1012369,1012355,1012359,1012372,30,8|8|248000,16|16|24800,0,0,8|8|124000,16|16|12400,0,0
116,412,87,20,1012369,1012355,1012359,1012372,30,8|8|250000,16|16|25000,0,0,8|8|125000,16|16|12500,0,0
117,415,88,20,1012369,1012355,1012359,1012372,30,8|8|252000,16|16|25200,0,0,8|8|126000,16|16|12600,0,0
118,418,88,20,1012369,1012355,1012359,1012372,30,8|8|254000,16|16|25400,0,0,8|8|127000,16|16|12700,0,0
119,421,89,20,1012369,1012355,1012359,1012372,30,8|8|256000,16|16|25600,0,0,8|8|128000,16|16|12800,0,0
120,424,89,20,1012369,1012355,1012359,1012372,30,8|8|258000,16|16|25800,0,0,8|8|129000,16|16|12900,0,0
121,427,90,20,1012369,1012355,1012359,1012372,30,8|8|260000,16|16|26000,0,0,8|8|130000,16|16|13000,0,0
122,430,90,20,1012369,1012355,1012359,1012372,30,8|8|262000,16|16|26200,0,0,8|8|131000,16|16|13100,0,0
123,433,91,20,1012369,1012355,1012359,1012372,30,8|8|264000,16|16|26400,0,0,8|8|132000,16|16|13200,0,0
124,436,91,20,1012369,1012355,1012359,1012372,30,8|8|266000,16|16|26600,0,0,8|8|133000,16|16|13300,0,0
125,439,92,20,1012369,1012355,1012359,1012372,30,8|8|268000,16|16|26800,0,0,8|8|134000,16|16|13400,0,0
126,442,92,20,1012369,1012355,1012359,1012372,30,8|8|270000,16|16|27000,0,0,8|8|135000,16|16|13500,0,0
127,445,93,20,1012369,1012355,1012359,1012372,30,8|8|272000,16|16|27200,0,0,8|8|136000,16|16|13600,0,0
128,448,93,20,1012369,1012355,1012359,1012372,30,8|8|274000,16|16|27400,0,0,8|8|137000,16|16|13700,0,0
129,451,94,20,1012369,1012355,1012359,1012372,30,8|8|276000,16|16|27600,0,0,8|8|138000,16|16|13800,0,0
130,454,94,20,1012369,1012355,1012359,1012372,30,8|8|278000,16|16|27800,0,0,8|8|139000,16|16|13900,0,0
131,457,95,20,1012369,1012355,1012359,1012372,30,8|8|280000,16|16|28000,0,0,8|8|140000,16|16|14000,0,0
132,460,95,20,1012369,1012355,1012359,1012372,30,8|8|282000,16|16|28200,0,0,8|8|141000,16|16|14100,0,0
133,463,96,20,1012369,1012355,1012359,1012372,30,8|8|284000,16|16|28400,0,0,8|8|142000,16|16|14200,0,0
134,466,96,20,1012369,1012355,1012359,1012372,30,8|8|286000,16|16|28600,0,0,8|8|143000,16|16|14300,0,0
135,469,97,20,1012369,1012355,1012359,1012372,30,8|8|288000,16|16|28800,0,0,8|8|144000,16|16|14400,0,0
136,472,97,20,1012369,1012355,1012359,1012372,30,8|8|290000,16|16|29000,0,0,8|8|145000,16|16|14500,0,0
137,475,98,20,1012369,1012355,1012359,1012372,30,8|8|292000,16|16|29200,0,0,8|8|146000,16|16|14600,0,0
138,478,98,20,1012369,1012355,1012359,1012372,30,8|8|294000,16|16|29400,0,0,8|8|147000,16|16|14700,0,0
139,481,99,20,1012369,1012355,1012359,1012372,30,8|8|296000,16|16|29600,0,0,8|8|148000,16|16|14800,0,0
140,484,99,20,1012369,1012355,1012359,1012372,30,8|8|298000,16|16|29800,0,0,8|8|149000,16|16|14900,0,0
141,487,100,20,1012369,1012355,1012359,1012372,30,8|8|300000,16|16|30000,0,0,8|8|150000,16|16|15000,0,0
142,490,100,20,1012369,1012355,1012359,1012372,30,8|8|302000,16|16|30200,0,0,8|8|151000,16|16|15100,0,0
143,493,101,20,1012369,1012355,1012359,1012372,30,8|8|304000,16|16|30400,0,0,8|8|152000,16|16|15200,0,0
144,496,101,20,1012369,1012355,1012359,1012372,30,8|8|306000,16|16|30600,0,0,8|8|153000,16|16|15300,0,0
145,499,102,20,1012369,1012355,1012359,1012372,30,8|8|308000,16|16|30800,0,0,8|8|154000,16|16|15400,0,0
146,502,102,20,1012369,1012355,1012359,1012372,30,8|8|310000,16|16|31000,0,0,8|8|155000,16|16|15500,0,0
147,505,103,20,1012369,1012355,1012359,1012372,30,8|8|312000,16|16|31200,0,0,8|8|156000,16|16|15600,0,0
148,508,103,20,1012369,1012355,1012359,1012372,30,8|8|314000,16|16|31400,0,0,8|8|157000,16|16|15700,0,0
149,511,104,20,1012369,1012355,1012359,1012372,30,8|8|316000,16|16|31600,0,0,8|8|158000,16|16|15800,0,0
150,514,104,20,1012369,1012355,1012359,1012372,30,8|8|318000,16|16|31800,0,0,8|8|159000,16|16|15900,0,0
151,517,105,20,1012369,1012355,1012359,1012372,30,8|8|320000,16|16|32000,0,0,8|8|160000,16|16|16000,0,0
152,520,105,20,1012369,1012355,1012359,1012372,30,8|8|322000,16|16|32200,0,0,8|8|161000,16|16|16100,0,0
153,523,106,20,1012369,1012355,1012359,1012372,30,8|8|324000,16|16|32400,0,0,8|8|162000,16|16|16200,0,0
154,526,106,20,1012369,1012355,1012359,1012372,30,8|8|326000,16|16|32600,0,0,8|8|163000,16|16|16300,0,0
155,529,107,20,1012369,1012355,1012359,1012372,30,8|8|328000,16|16|32800,0,0,8|8|164000,16|16|16400,0,0
156,532,107,20,1012369,1012355,1012359,1012372,30,8|8|330000,16|16|33000,0,0,8|8|165000,16|16|16500,0,0
157,535,108,20,1012369,1012355,1012359,1012372,30,8|8|332000,16|16|33200,0,0,8|8|166000,16|16|16600,0,0
158,538,108,20,1012369,1012355,1012359,1012372,30,8|8|334000,16|16|33400,0,0,8|8|167000,16|16|16700,0,0
159,541,109,20,1012369,1012355,1012359,1012372,30,8|8|336000,16|16|33600,0,0,8|8|168000,16|16|16800,0,0
160,544,109,20,1012369,1012355,1012359,1012372,30,8|8|338000,16|16|33800,0,0,8|8|169000,16|16|16900,0,0
161,547,110,20,1012369,1012355,1012359,1012372,30,8|8|340000,16|16|34000,0,0,8|8|170000,16|16|17000,0,0
162,550,110,20,1012369,1012355,1012359,1012372,30,8|8|342000,16|16|34200,0,0,8|8|171000,16|16|17100,0,0
163,553,111,20,1012369,1012355,1012359,1012372,30,8|8|344000,16|16|34400,0,0,8|8|172000,16|16|17200,0,0
164,556,111,20,1012369,1012355,1012359,1012372,30,8|8|346000,16|16|34600,0,0,8|8|173000,16|16|17300,0,0
165,559,112,20,1012369,1012355,1012359,1012372,30,8|8|348000,16|16|34800,0,0,8|8|174000,16|16|17400,0,0
166,562,112,20,1012369,1012355,1012359,1012372,30,8|8|350000,16|16|35000,0,0,8|8|175000,16|16|17500,0,0
167,565,113,20,1012369,1012355,1012359,1012372,30,8|8|352000,16|16|35200,0,0,8|8|176000,16|16|17600,0,0
168,568,113,20,1012369,1012355,1012359,1012372,30,8|8|354000,16|16|35400,0,0,8|8|177000,16|16|17700,0,0
169,571,114,20,1012369,1012355,1012359,1012372,30,8|8|356000,16|16|35600,0,0,8|8|178000,16|16|17800,0,0
170,574,114,20,1012369,1012355,1012359,1012372,30,8|8|358000,16|16|35800,0,0,8|8|179000,16|16|17900,0,0
171,577,115,20,1012369,1012355,1012359,1012372,30,8|8|360000,16|16|36000,0,0,8|8|180000,16|16|18000,0,0
172,580,115,20,1012369,1012355,1012359,1012372,30,8|8|362000,16|16|36200,0,0,8|8|181000,16|16|18100,0,0
173,583,116,20,1012369,1012355,1012359,1012372,30,8|8|364000,16|16|36400,0,0,8|8|182000,16|16|18200,0,0
174,586,116,20,1012369,1012355,1012359,1012372,30,8|8|366000,16|16|36600,0,0,8|8|183000,16|16|18300,0,0
175,589,117,20,1012369,1012355,1012359,1012372,30,8|8|368000,16|16|36800,0,0,8|8|184000,16|16|18400,0,0
176,592,117,20,1012369,1012355,1012359,1012372,30,8|8|370000,16|16|37000,0,0,8|8|185000,16|16|18500,0,0
177,595,118,20,1012369,1012355,1012359,1012372,30,8|8|372000,16|16|37200,0,0,8|8|186000,16|16|18600,0,0
178,598,118,20,1012369,1012355,1012359,1012372,30,8|8|374000,16|16|37400,0,0,8|8|187000,16|16|18700,0,0
179,601,119,20,1012369,1012355,1012359,1012372,30,8|8|376000,16|16|37600,0,0,8|8|188000,16|16|18800,0,0
180,604,119,20,1012369,1012355,1012359,1012372,30,8|8|378000,16|16|37800,0,0,8|8|189000,16|16|18900,0,0
181,607,120,20,1012369,1012355,1012359,1012372,30,8|8|380000,16|16|38000,0,0,8|8|190000,16|16|19000,0,0
182,610,120,20,1012369,1012355,1012359,1012372,30,8|8|382000,16|16|38200,0,0,8|8|191000,16|16|19100,0,0
183,613,121,20,1012369,1012355,1012359,1012372,30,8|8|384000,16|16|38400,0,0,8|8|192000,16|16|19200,0,0
184,616,121,20,1012369,1012355,1012359,1012372,30,8|8|386000,16|16|38600,0,0,8|8|193000,16|16|19300,0,0
185,619,122,20,1012369,1012355,1012359,1012372,30,8|8|388000,16|16|38800,0,0,8|8|194000,16|16|19400,0,0
186,622,122,20,1012369,1012355,1012359,1012372,30,8|8|390000,16|16|39000,0,0,8|8|195000,16|16|19500,0,0
187,625,123,20,1012369,1012355,1012359,1012372,30,8|8|392000,16|16|39200,0,0,8|8|196000,16|16|19600,0,0
188,628,123,20,1012369,1012355,1012359,1012372,30,8|8|394000,16|16|39400,0,0,8|8|197000,16|16|19700,0,0
189,631,124,20,1012369,1012355,1012359,1012372,30,8|8|396000,16|16|39600,0,0,8|8|198000,16|16|19800,0,0
190,634,124,20,1012369,1012355,1012359,1012372,30,8|8|398000,16|16|39800,0,0,8|8|199000,16|16|19900,0,0
191,637,125,20,1012369,1012355,1012359,1012372,30,8|8|400000,16|16|40000,0,0,8|8|200000,16|16|20000,0,0
192,640,125,20,1012369,1012355,1012359,1012372,30,8|8|402000,16|16|40200,0,0,8|8|201000,16|16|20100,0,0
193,643,126,20,1012369,1012355,1012359,1012372,30,8|8|404000,16|16|40400,0,0,8|8|202000,16|16|20200,0,0
194,646,126,20,1012369,1012355,1012359,1012372,30,8|8|406000,16|16|40600,0,0,8|8|203000,16|16|20300,0,0
195,649,127,20,1012369,1012355,1012359,1012372,30,8|8|408000,16|16|40800,0,0,8|8|204000,16|16|20400,0,0
196,652,127,20,1012369,1012355,1012359,1012372,30,8|8|410000,16|16|41000,0,0,8|8|205000,16|16|20500,0,0
197,655,128,20,1012369,1012355,1012359,1012372,30,8|8|412000,16|16|41200,0,0,8|8|206000,16|16|20600,0,0
198,658,128,20,1012369,1012355,1012359,1012372,30,8|8|414000,16|16|41400,0,0,8|8|207000,16|16|20700,0,0
199,661,129,20,1012369,1012355,1012359,1012372,30,8|8|416000,16|16|41600,0,0,8|8|208000,16|16|20800,0,0
200,664,129,20,1012369,1012355,1012359,1012372,30,8|8|418000,16|16|41800,0,0,8|8|209000,16|16|20900,0,0
