id,chapter,stars,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3
51,1017,30,14|21000356|2,8|8|18750,2|2|45
52,1018,10,14|21000356|2,8|8|7500,
53,1018,20,14|21000356|2,8|8|11250,2|2|30
54,1018,30,14|21000356|2,8|8|18750,2|2|45
55,1019,10,14|21000356|2,8|8|7500,
56,1019,20,14|21000356|2,8|8|11250,2|2|30
57,1019,30,14|21000356|2,8|8|18750,2|2|45
58,1020,10,14|21000356|2,8|8|7500,
59,1020,20,14|21000356|2,8|8|11250,2|2|30
60,1020,30,14|21000356|2,8|8|18750,2|2|45
61,1021,10,14|21000356|2,8|8|10000,
62,1021,20,14|21000356|2,8|8|15000,2|2|40
63,1021,30,14|21000356|2,8|8|25000,2|2|60
64,1022,10,14|21000356|2,8|8|10000,
65,1022,20,14|21000356|2,8|8|15000,2|2|40
66,1022,30,14|21000356|2,8|8|25000,2|2|60
67,1023,10,14|21000356|2,8|8|10000,
68,1023,20,14|21000356|2,8|8|15000,2|2|40
69,1023,30,14|21000356|2,8|8|25000,2|2|60
70,1024,10,14|21000356|2,8|8|10000,
71,1024,20,14|21000356|2,8|8|15000,2|2|40
72,1024,30,14|21000356|2,8|8|25000,2|2|60
73,1025,10,14|21000356|2,8|8|10000,
74,1025,20,14|21000356|2,8|8|15000,2|2|40
75,1025,30,14|21000356|2,8|8|25000,2|2|60
76,1026,10,14|21000356|2,8|8|12500,
77,1026,20,14|21000356|2,8|8|18750,2|2|50
78,1026,30,14|21000356|2,8|8|31250,2|2|75
79,1027,10,14|21000356|2,8|8|12500,
80,1027,20,14|21000356|2,8|8|18750,2|2|50
81,1027,30,14|21000356|2,8|8|31250,2|2|75
82,1028,10,14|21000356|2,8|8|12500,
83,1028,20,14|21000356|2,8|8|18750,2|2|50
84,1028,30,14|21000356|2,8|8|31250,2|2|75
85,1029,10,14|21000356|2,8|8|12500,
86,1029,20,14|21000356|2,8|8|18750,2|2|50
87,1029,30,14|21000356|2,8|8|31250,2|2|75
88,1030,10,14|21000356|2,8|8|12500,
89,1030,20,14|21000356|2,8|8|18750,2|2|50
90,1030,30,14|21000356|2,8|8|31250,2|2|75
91,1031,10,14|21000356|2,8|8|15000,
92,1031,20,14|21000356|2,8|8|22500,2|2|60
93,1031,30,14|21000356|2,8|8|37500,2|2|90
94,1032,10,14|21000356|2,8|8|15000,
95,1032,20,14|21000356|2,8|8|22500,2|2|60
96,1032,30,14|21000356|2,8|8|37500,2|2|90
97,1033,10,14|21000356|2,8|8|15000,
98,1033,20,14|21000356|2,8|8|22500,2|2|60
99,1033,30,14|21000356|2,8|8|37500,2|2|90
100,1034,10,14|21000356|2,8|8|15000,
101,1034,20,14|21000356|2,8|8|22500,2|2|60
102,1034,30,14|21000356|2,8|8|37500,2|2|90
103,1035,10,14|21000356|2,8|8|15000,
104,1035,20,14|21000356|2,8|8|22500,2|2|60
105,1035,30,14|21000356|2,8|8|37500,2|2|90
106,1036,10,14|21000356|2,8|8|20000,
107,1036,20,14|21000356|2,8|8|30000,2|2|80
108,1036,30,14|21000356|2,8|8|50000,2|2|120
109,1037,10,14|21000356|2,8|8|20000,
110,1037,20,14|21000356|2,8|8|30000,2|2|80
111,1037,30,14|21000356|2,8|8|50000,2|2|120
112,1038,10,14|21000356|2,8|8|20000,
113,1038,20,14|21000356|2,8|8|30000,2|2|80
114,1038,30,14|21000356|2,8|8|50000,2|2|120
115,1039,10,14|21000356|2,8|8|20000,
116,1039,20,14|21000356|2,8|8|30000,2|2|80
117,1039,30,14|21000356|2,8|8|50000,2|2|120
118,1040,10,14|21000356|2,8|8|20000,
119,1040,20,14|21000356|2,8|8|30000,2|2|80
120,1040,30,14|21000356|2,8|8|50000,2|2|120
121,2001,5,14|21000384|2,8|8|5000,
122,2001,10,14|21000384|2,8|8|7500,2|2|20
123,2001,15,14|21000384|2,8|8|12500,2|2|30
124,2002,5,14|21000384|2,8|8|5000,
125,2002,10,14|21000384|2,8|8|7500,2|2|20
126,2002,15,14|21000384|2,8|8|12500,2|2|30
127,2003,5,14|21000384|2,8|8|5000,
128,2003,10,14|21000384|2,8|8|7500,2|2|20
129,2003,15,14|21000384|2,8|8|12500,2|2|30
130,2004,5,14|21000384|2,8|8|5000,
131,2004,10,14|21000384|2,8|8|7500,2|2|20
132,2004,15,14|21000384|2,8|8|12500,2|2|30
133,2005,5,14|21000384|2,8|8|5000,
134,2005,10,14|21000384|2,8|8|7500,2|2|20
135,2005,15,14|21000384|2,8|8|12500,2|2|30
136,2006,5,14|21000384|2,8|8|5000,
137,2006,10,14|21000384|2,8|8|7500,2|2|20
138,2006,15,14|21000384|2,8|8|12500,2|2|30
139,2007,5,14|21000384|2,8|8|5000,
140,2007,10,14|21000384|2,8|8|7500,2|2|20
141,2007,15,14|21000384|2,8|8|12500,2|2|30
142,2008,5,14|21000384|2,8|8|5000,
143,2008,10,14|21000384|2,8|8|7500,2|2|20
144,2008,15,14|21000384|2,8|8|12500,2|2|30
145,2009,5,14|21000384|2,8|8|5000,
146,2009,10,14|21000384|2,8|8|7500,2|2|20
147,2009,15,14|21000384|2,8|8|12500,2|2|30
148,2010,5,14|21000384|2,8|8|5000,
149,2010,10,14|21000384|2,8|8|7500,2|2|20
150,2010,15,14|21000384|2,8|8|12500,2|2|30
151,2011,5,14|21000384|2,8|8|7500,
152,2011,10,14|21000384|2,8|8|11250,2|2|30
153,2011,15,14|21000384|2,8|8|18750,2|2|45
154,2012,5,14|21000384|2,8|8|7500,
155,2012,10,14|21000384|2,8|8|11250,2|2|30
156,2012,15,14|21000384|2,8|8|18750,2|2|45
157,2013,5,14|21000384|2,8|8|7500,
158,2013,10,14|21000384|2,8|8|11250,2|2|30
159,2013,15,14|21000384|2,8|8|18750,2|2|45
160,2014,5,14|21000384|2,8|8|7500,
161,2014,10,14|21000384|2,8|8|11250,2|2|30
162,2014,15,14|21000384|2,8|8|18750,2|2|45
163,2015,5,14|21000384|2,8|8|7500,
164,2015,10,14|21000384|2,8|8|11250,2|2|30
165,2015,15,14|21000384|2,8|8|18750,2|2|45
166,2016,5,14|21000384|2,8|8|7500,
167,2016,10,14|21000384|2,8|8|11250,2|2|30
168,2016,15,14|21000384|2,8|8|18750,2|2|45
169,2017,5,14|21000384|2,8|8|7500,
170,2017,10,14|21000384|2,8|8|11250,2|2|30
171,2017,15,14|21000384|2,8|8|18750,2|2|45
172,2018,5,14|21000384|2,8|8|7500,
173,2018,10,14|21000384|2,8|8|11250,2|2|30
174,2018,15,14|21000384|2,8|8|18750,2|2|45
175,2019,5,14|21000384|2,8|8|7500,
176,2019,10,14|21000384|2,8|8|11250,2|2|30
177,2019,15,14|21000384|2,8|8|18750,2|2|45
178,2020,5,14|21000384|2,8|8|7500,
179,2020,10,14|21000384|2,8|8|11250,2|2|30
180,2020,15,14|21000384|2,8|8|18750,2|2|45
181,2021,5,14|21000384|2,8|8|10000,
182,2021,10,14|21000384|2,8|8|15000,2|2|40
183,2021,15,14|21000384|2,8|8|25000,2|2|60
184,2022,5,14|21000384|2,8|8|10000,
185,2022,10,14|21000384|2,8|8|15000,2|2|40
186,2022,15,14|21000384|2,8|8|25000,2|2|60
187,2023,5,14|21000384|2,8|8|10000,
188,2023,10,14|21000384|2,8|8|15000,2|2|40
189,2023,15,14|21000384|2,8|8|25000,2|2|60
190,2024,5,14|21000384|2,8|8|10000,
191,2024,10,14|21000384|2,8|8|15000,2|2|40
192,2024,15,14|21000384|2,8|8|25000,2|2|60
193,2025,5,14|21000384|2,8|8|10000,
194,2025,10,14|21000384|2,8|8|15000,2|2|40
195,2025,15,14|21000384|2,8|8|25000,2|2|60
196,2026,5,14|21000384|2,8|8|12500,
197,2026,10,14|21000384|2,8|8|18750,2|2|50
198,2026,15,14|21000384|2,8|8|31250,2|2|75
199,2027,5,14|21000384|2,8|8|12500,
200,2027,10,14|21000384|2,8|8|18750,2|2|50
201,2027,15,14|21000384|2,8|8|31250,2|2|75
202,2028,5,14|21000384|2,8|8|12500,
203,2028,10,14|21000384|2,8|8|18750,2|2|50
204,2028,15,14|21000384|2,8|8|31250,2|2|75
205,2029,5,14|21000384|2,8|8|12500,
206,2029,10,14|21000384|2,8|8|18750,2|2|50
207,2029,15,14|21000384|2,8|8|31250,2|2|75
208,2030,5,14|21000384|2,8|8|12500,
209,2030,10,14|21000384|2,8|8|18750,2|2|50
210,2030,15,14|21000384|2,8|8|31250,2|2|75
211,2031,5,14|21000384|2,8|8|15000,
212,2031,10,14|21000384|2,8|8|22500,2|2|60
213,2031,15,14|21000384|2,8|8|37500,2|2|90
214,2032,5,14|21000384|2,8|8|15000,
215,2032,10,14|21000384|2,8|8|22500,2|2|60
216,2032,15,14|21000384|2,8|8|37500,2|2|90
217,2033,5,14|21000384|2,8|8|15000,
218,2033,10,14|21000384|2,8|8|22500,2|2|60
219,2033,15,14|21000384|2,8|8|37500,2|2|90
220,2034,5,14|21000384|2,8|8|15000,
221,2034,10,14|21000384|2,8|8|22500,2|2|60
222,2034,15,14|21000384|2,8|8|37500,2|2|90
223,2035,5,14|21000384|2,8|8|15000,
224,2035,10,14|21000384|2,8|8|22500,2|2|60
225,2035,15,14|21000384|2,8|8|37500,2|2|90
226,2036,5,14|21000384|2,8|8|20000,
227,2036,10,14|21000384|2,8|8|30000,2|2|80
228,2036,15,14|21000384|2,8|8|50000,2|2|120
229,2037,5,14|21000384|2,8|8|20000,
230,2037,10,14|21000384|2,8|8|30000,2|2|80
231,2037,15,14|21000384|2,8|8|50000,2|2|120
232,2038,5,14|21000384|2,8|8|20000,
233,2038,10,14|21000384|2,8|8|30000,2|2|80
234,2038,15,14|21000384|2,8|8|50000,2|2|120
235,2039,5,14|21000384|2,8|8|20000,
236,2039,10,14|21000384|2,8|8|30000,2|2|80
237,2039,15,14|21000384|2,8|8|50000,2|2|120
238,2040,5,14|21000384|2,8|8|20000,
239,2040,10,14|21000384|2,8|8|30000,2|2|80
240,2040,15,14|21000384|2,8|8|50000,2|2|120
