dropID,掉落包名,packID,randomtype,type,注释,itemID,amount,dropProb,,,
102,召唤10次,10004,2,0,必得A级精灵,10008,1,10000,,掉落包,独立随机
103,召唤10次,10004,2,0,必得A级精灵,10008,1,10000,,掉落包,独立随机
104,召唤10次,10004,2,0,必得A级精灵,10008,1,10000,,掉落包,独立随机
105,召唤10次,10004,2,0,必得B级精灵,10009,1,10000,,掉落包,独立随机
106,召唤10次,10004,2,0,必得B级精灵,10009,1,10000,,掉落包,独立随机
107,召唤10次,10004,2,0,必得B级精灵,10009,1,10000,,掉落包,独立随机
108,召唤10次,10004,2,0,必得B级精灵,10009,1,10000,,掉落包,独立随机
109,CBA精灵池,10005,1,0,C级精灵池,10010,1,5000,,掉落包,圆桌随机
110,CBA精灵池,10005,1,0,B级精灵池,10009,1,3000,,掉落包,圆桌随机
111,CBA精灵池,10005,1,0,A级精灵池,10008,1,1990,,掉落包,圆桌随机
112,CBA精灵池,10005,1,0,S级精灵池,10007,1,10,,掉落包,圆桌随机
113,BAS精灵池,10006,1,0,B级精灵池,10009,1,5500,,掉落包,圆桌随机
114,BAS精灵池,10006,1,0,A级精灵池,10008,1,3000,,掉落包,圆桌随机
115,BAS精灵池,10006,1,0,S级精灵池,10007,1,1500,,掉落包,圆桌随机
116,BAS精灵池,10016,1,0,B级精灵池,10009,1,7000,,掉落包,圆桌随机
117,BAS精灵池,10016,1,0,A级精灵池,10008,1,2700,,掉落包,圆桌随机
118,BAS精灵池,10016,1,0,S级精灵池,10007,1,300,,掉落包,圆桌随机
119,S  精灵池,10007,1,3,小火龙,1000347,1,1100,,石像,圆桌随机
120,S  精灵池,10007,1,3,小鸭嘴龙,1000331,1,720,,石像,圆桌随机
121,S  精灵池,10007,1,3,代拉基翁,1000386,1,200,,石像,圆桌随机
122,S  精灵池,10007,1,3,火焰鸟,1000376,1,200,,石像,圆桌随机
123,S  精灵池,10007,1,3,席多蓝,1000362,1,200,,石像,圆桌随机
124,S  精灵池,10007,1,3,炎帝,1000381,1,50,,石像,圆桌随机
125,S  精灵池,10007,1,3,凤王,1000361,1,25,,石像,圆桌随机
126,S  精灵池,10007,1,3,固拉多,1000371,1,5,,石像,圆桌随机
127,S  精灵池,10007,1,3,杰尼龟,1000350,1,1100,,石像,圆桌随机
128,S  精灵池,10007,1,3,鲤鱼王,1000349,1,720,,石像,圆桌随机
129,S  精灵池,10007,1,3,勾帕路翁,1000387,1,200,,石像,圆桌随机
130,S  精灵池,10007,1,3,急冻鸟,1000377,1,200,,石像,圆桌随机
131,S  精灵池,10007,1,3,霏米纳,1000364,1,25,,石像,圆桌随机
132,S  精灵池,10007,1,3,水君,1000382,1,50,,石像,圆桌随机
133,S  精灵池,10007,1,3,洛亚鸟,1000363,1,200,,石像,圆桌随机
134,S  精灵池,10007,1,3,盖欧卡,1000372,1,5,,石像,圆桌随机
135,S  精灵池,10007,1,3,妙蛙种子,1000353,1,1100,,石像,圆桌随机
136,S  精灵池,10007,1,3,草苗龟,1000352,1,720,,石像,圆桌随机
137,S  精灵池,10007,1,3,洁咪,1000378,1,200,,石像,圆桌随机
138,S  精灵池,10007,1,3,毕力吉翁,1000388,1,200,,石像,圆桌随机
139,S  精灵池,10007,1,3,雪拉比,1000366,1,25,,石像,圆桌随机
140,S  精灵池,10007,1,3,拉鲁拉丝,1000365,1,200,,石像,圆桌随机
141,S  精灵池,10007,1,3,基格尔德,1000383,1,50,,石像,圆桌随机
142,S  精灵池,10007,1,3,烈空坐,1000373,1,5,,石像,圆桌随机
143,S  精灵池,10007,1,3,皮丘,1000356,1,1000,,石像,圆桌随机
144,S  精灵池,10007,1,3,凯西,1000357,1,50,,石像,圆桌随机
145,S  精灵池,10007,1,3,波克比,1000355,1,150,,石像,圆桌随机
146,S  精灵池,10007,1,3,闪电鸟,1000379,1,55,,石像,圆桌随机
147,S  精灵池,10007,1,3,雷公,1000384,1,200,,石像,圆桌随机
148,S  精灵池,10007,1,3,超梦,1000367,1,20,,石像,圆桌随机
149,S  精灵池,10007,1,3,雷希拉姆,1000389,1,10,,石像,圆桌随机
150,S  精灵池,10007,1,3,阿尔宙斯,1000374,1,5,,石像,圆桌随机
151,S  精灵池,10007,1,3,鬼斯,1000359,1,425,,石像,圆桌随机
152,S  精灵池,10007,1,3,怨影娃娃,1000345,1,200,,石像,圆桌随机
153,S  精灵池,10007,1,3,利欧路,1000370,1,90,,石像,圆桌随机
154,S  精灵池,10007,1,3,达克莱伊,1000369,1,200,,石像,圆桌随机
155,S  精灵池,10007,1,3,盖诺赛克特,1000385,1,60,,石像,圆桌随机
156,S  精灵池,10007,1,3,骑拉帝纳,1000380,1,20,,石像,圆桌随机
157,S  精灵池,10007,1,3,捷克罗姆,1000390,1,10,,石像,圆桌随机
158,S  精灵池,10007,1,3,生命鹿,1000375,1,5,,石像,圆桌随机
159,A  精灵池,10008,1,3,A级-小鸭嘴龙,1000332,1,555,,石像,圆桌随机
160,A  精灵池,10008,1,3,A级-波加曼,1000335,1,555,,石像,圆桌随机
161,A  精灵池,10008,1,3,A级-墨海马,1000336,1,555,,石像,圆桌随机
162,A  精灵池,10008,1,3,A级-藤藤蛇,1000337,1,555,,石像,圆桌随机
163,A  精灵池,10008,1,3,A级-菊草叶,1000338,1,555,,石像,圆桌随机
164,A  精灵池,10008,1,3,A级-小猫怪,1000341,1,555,,石像,圆桌随机
165,A  精灵池,10008,1,3,A级-铁甲犀牛,1000342,1,556,,石像,圆桌随机
166,A  精灵池,10008,1,3,A级-尼多朗,1000343,1,556,,石像,圆桌随机
167,A  精灵池,10008,1,3,A级-腕力,1000344,1,555,,石像,圆桌随机
168,A  精灵池,10008,1,3,A级-火稚鸡,1000346,1,555,,石像,圆桌随机
169,A  精灵池,10008,1,3,A级-小火焰猴,1000348,1,556,,石像,圆桌随机
170,A  精灵池,10008,1,3,A级-水跃鱼,1000351,1,556,,石像,圆桌随机
171,A  精灵池,10008,1,3,A级-木守宫,1000354,1,556,,石像,圆桌随机
172,A  精灵池,10008,1,3,A级-黏黏宝,1000358,1,556,,石像,圆桌随机
173,A  精灵池,10008,1,3,A级-单首龙,1000360,1,556,,石像,圆桌随机
174,A  精灵池,10008,1,3,A级-哈力栗,1000339,1,556,,石像,圆桌随机
175,A  精灵池,10008,1,3,A级-呱呱泡蛙,1000334,1,556,,石像,圆桌随机
176,A  精灵池,10008,1,3,A级-火狐狸,1000333,1,556,,石像,圆桌随机
177,B  精灵池,10009,1,3,B级-绿毛虫,1000307,1,715,,石像,圆桌随机
178,B  精灵池,10009,1,3,B级-火球鼠,1000316,1,715,,石像,圆桌随机
179,B  精灵池,10009,1,3,B级-呆火驼,1000317,1,714,,石像,圆桌随机
180,B  精灵池,10009,1,3,B级-卡蒂狗,1000318,1,714,,石像,圆桌随机
181,B  精灵池,10009,1,3,B级-小锯鳄,1000319,1,715,,石像,圆桌随机
182,B  精灵池,10009,1,3,B级-露力丽,1000320,1,714,,石像,圆桌随机
183,B  精灵池,10009,1,3,B级-水水獭,1000321,1,714,,石像,圆桌随机
184,B  精灵池,10009,1,3,B级-莲叶童子,1000322,1,714,,石像,圆桌随机
185,B  精灵池,10009,1,3,B级-走路草,1000323,1,714,,石像,圆桌随机
186,B  精灵池,10009,1,3,B级-迷唇娃,1000325,1,715,,石像,圆桌随机
187,B  精灵池,10009,1,3,B级-电击怪,1000327,1,714,,石像,圆桌随机
188,B  精灵池,10009,1,3,B级-超音蝠,1000328,1,714,,石像,圆桌随机
189,B  精灵池,10009,1,3,B级-烛光灵,1000329,1,714,,石像,圆桌随机
190,B  精灵池,10009,1,3,B级-夜骷颅,1000330,1,714,,石像,圆桌随机
191,C  精灵池,10010,1,3,C级-小箭雀,1000301,1,667,,石像,圆桌随机
192,C  精灵池,10010,1,3,C级-爆香猿,1000302,1,667,,石像,圆桌随机
193,C  精灵池,10010,1,3,C级-六尾,1000303,1,667,,石像,圆桌随机
194,C  精灵池,10010,1,3,C级-角金鱼,1000304,1,667,,石像,圆桌随机
195,C  精灵池,10010,1,3,C级-海星星,1000305,1,667,,石像,圆桌随机
196,C  精灵池,10010,1,3,C级-蚊香蝌蚪,1000306,1,667,,石像,圆桌随机
197,C  精灵池,10010,1,3,C级-虫宝包,1000324,1,667,,石像,圆桌随机
198,C  精灵池,10010,1,3,C级-毽子草,1000308,1,667,,石像,圆桌随机
199,C  精灵池,10010,1,3,C级-喇叭花,1000309,1,667,,石像,圆桌随机
200,C  精灵池,10010,1,3,C级-宝宝丁,1000310,1,667,,石像,圆桌随机
201,C  精灵池,10010,1,3,C级-小磁怪,1000311,1,666,,石像,圆桌随机
202,C  精灵池,10010,1,3,C级-小拳石,1000312,1,666,,石像,圆桌随机
203,C  精灵池,10010,1,3,C级-臭泥,1000313,1,666,,石像,圆桌随机
204,C  精灵池,10010,1,3,C级-瓦斯通,1000314,1,666,,石像,圆桌随机
205,C  精灵池,10010,1,3,C级-阿柏怪,1000315,1,666,,石像,圆桌随机
206,S专属箱,10022,1,17,小火龙,50047,1,1100,,装备,圆桌随机
207,S专属箱,10022,1,17,小鸭嘴龙,50031,1,720,,装备,圆桌随机
208,S专属箱,10022,1,17,代拉基翁,50086,1,200,,装备,圆桌随机
209,S专属箱,10022,1,17,火焰鸟,50076,1,200,,装备,圆桌随机
210,S专属箱,10022,1,17,席多蓝,50062,1,200,,装备,圆桌随机
211,S专属箱,10022,1,17,炎帝,50081,1,50,,装备,圆桌随机
212,S专属箱,10022,1,17,凤王,50061,1,25,,装备,圆桌随机
213,S专属箱,10022,1,17,固拉多,50071,1,5,,装备,圆桌随机
214,S专属箱,10022,1,17,杰尼龟,50050,1,1100,,装备,圆桌随机
215,S专属箱,10022,1,17,鲤鱼王,50049,1,720,,装备,圆桌随机
216,S专属箱,10022,1,17,勾帕路翁,50087,1,200,,装备,圆桌随机
217,S专属箱,10022,1,17,急冻鸟,50077,1,200,,装备,圆桌随机
218,S专属箱,10022,1,17,霏米纳,50064,1,25,,装备,圆桌随机
219,S专属箱,10022,1,17,水君,50082,1,50,,装备,圆桌随机
220,S专属箱,10022,1,17,洛亚鸟,50063,1,200,,装备,圆桌随机
221,S专属箱,10022,1,17,盖欧卡,50072,1,5,,装备,圆桌随机
222,S专属箱,10022,1,17,妙蛙种子,50053,1,1100,,装备,圆桌随机
223,S专属箱,10022,1,17,草苗龟,50052,1,720,,装备,圆桌随机
224,S专属箱,10022,1,17,洁咪,50078,1,200,,装备,圆桌随机
225,S专属箱,10022,1,17,毕力吉翁,50088,1,200,,装备,圆桌随机
226,S专属箱,10022,1,17,雪拉比,50066,1,25,,装备,圆桌随机
227,S专属箱,10022,1,17,拉鲁拉丝,50065,1,200,,装备,圆桌随机
228,S专属箱,10022,1,17,基格尔德,50083,1,50,,装备,圆桌随机
229,S专属箱,10022,1,17,烈空坐,50073,1,5,,装备,圆桌随机
230,S专属箱,10022,1,17,皮丘,50056,1,1000,,装备,圆桌随机
231,S专属箱,10022,1,17,凯西,50057,1,50,,装备,圆桌随机
232,S专属箱,10022,1,17,波克比,50055,1,150,,装备,圆桌随机
233,S专属箱,10022,1,17,闪电鸟,50079,1,55,,装备,圆桌随机
234,S专属箱,10022,1,17,雷公,50084,1,200,,装备,圆桌随机
235,S专属箱,10022,1,17,超梦,50067,1,20,,装备,圆桌随机
236,S专属箱,10022,1,17,雷希拉姆,50089,1,10,,装备,圆桌随机
237,S专属箱,10022,1,17,阿尔宙斯,50074,1,5,,装备,圆桌随机
238,S专属箱,10022,1,17,鬼斯,50059,1,425,,装备,圆桌随机
239,S专属箱,10022,1,17,怨影娃娃,50045,1,200,,装备,圆桌随机
240,S专属箱,10022,1,17,利欧路,50070,1,90,,装备,圆桌随机
241,S专属箱,10022,1,17,达克莱伊,50069,1,200,,装备,圆桌随机
242,S专属箱,10022,1,17,盖诺赛克特,50085,1,60,,装备,圆桌随机
243,S专属箱,10022,1,17,骑拉帝纳,50080,1,20,,装备,圆桌随机
244,S专属箱,10022,1,17,捷克罗姆,50090,1,10,,装备,圆桌随机
245,S专属箱,10022,1,17,生命鹿,50075,1,5,,装备,圆桌随机
246,白色材料,10051,2,14,白色材料,710001,5,10000,,道具,独立随机
247,绿色材料,10052,2,14,绿色材料,710002,3,10000,,道具,独立随机
248,绿色材料,10052,2,14,绿色材料,720002,3,10000,,道具,独立随机
249,蓝色材料,10053,2,14,蓝色材料,710003,3,10000,,道具,独立随机
250,蓝色材料,10053,2,14,蓝色材料,720003,3,10000,,道具,独立随机
251,蓝色材料,10053,2,14,蓝色材料,730003,3,10000,,道具,独立随机
252,紫色材料,10054,2,14,紫色材料,710004,3,10000,,道具,独立随机
253,紫色材料,10054,2,14,紫色材料,720004,3,10000,,道具,独立随机
254,紫色材料,10054,2,14,紫色材料,730004,3,10000,,道具,独立随机
255,金色材料,10055,2,14,金色材料,710005,3,10000,,道具,独立随机
256,金色材料,10055,2,14,金色材料,720005,3,10000,,道具,独立随机
257,金色材料,10055,2,14,金色材料,730005,3,10000,,道具,独立随机
258,红色材料,10056,2,14,红色材料,710006,3,10000,,道具,独立随机
259,红色材料,10056,2,14,红色材料,720006,3,10000,,道具,独立随机
260,红色材料,10056,2,14,红色材料,730006,3,10000,,道具,独立随机
261,蓝色果实,10063,2,14,蓝色果实,740003,5,10000,,道具,独立随机
262,蓝色果实,10063,2,14,蓝色果实,750003,5,10000,,道具,独立随机
263,蓝色果实,10063,2,14,蓝色果实,760003,5,10000,,道具,独立随机
264,蓝色果实,10063,2,14,蓝色果实,770003,5,10000,,道具,独立随机
265,蓝色果实,10063,2,14,蓝色果实,780003,5,10000,,道具,独立随机
266,蓝色果实,10063,2,14,蓝色果实,790003,5,10000,,道具,独立随机
267,紫色果实,10064,2,14,紫色果实,740004,5,10000,,道具,独立随机
268,紫色果实,10064,2,14,紫色果实,750004,5,10000,,道具,独立随机
269,紫色果实,10064,2,14,紫色果实,760004,5,10000,,道具,独立随机
270,紫色果实,10064,2,14,紫色果实,770004,5,10000,,道具,独立随机
271,紫色果实,10064,2,14,紫色果实,780004,5,10000,,道具,独立随机
272,紫色果实,10064,2,14,紫色果实,790004,5,10000,,道具,独立随机
273,金色果实,10065,2,14,金色果实,740005,5,10000,,道具,独立随机
274,金色果实,10065,2,14,金色果实,750005,5,10000,,道具,独立随机
275,金色果实,10065,2,14,金色果实,760005,5,10000,,道具,独立随机
276,金色果实,10065,2,14,金色果实,770005,5,10000,,道具,独立随机
277,金色果实,10065,2,14,金色果实,780005,5,10000,,道具,独立随机
278,金色果实,10065,2,14,金色果实,790005,5,10000,,道具,独立随机
279,红色果实,10066,2,14,红色果实,740006,5,10000,,道具,独立随机
280,红色果实,10066,2,14,红色果实,750006,5,10000,,道具,独立随机
281,红色果实,10066,2,14,红色果实,760006,5,10000,,道具,独立随机
282,红色果实,10066,2,14,红色果实,770006,5,10000,,道具,独立随机
283,红色果实,10066,2,14,红色果实,780006,5,10000,,道具,独立随机
284,红色果实,10066,2,14,红色果实,790006,5,10000,,道具,独立随机
285,粉色材料,10067,2,14,粉色材料,710007,3,10000,,道具,独立随机
286,粉色材料,10067,2,14,粉色材料,720007,3,10000,,道具,独立随机
287,粉色材料,10067,2,14,粉色材料,730007,3,10000,,道具,独立随机
288,粉色果实,10068,2,14,粉色果实,740007,5,10000,,道具,独立随机
289,粉色果实,10068,2,14,粉色果实,750007,5,10000,,道具,独立随机
290,粉色果实,10068,2,14,粉色果实,760007,5,10000,,道具,独立随机
291,粉色果实,10068,2,14,粉色果实,770007,5,10000,,道具,独立随机
292,粉色果实,10068,2,14,粉色果实,780007,5,10000,,道具,独立随机
293,粉色果实,10068,2,14,粉色果实,790007,5,10000,,道具,独立随机
294,A  精灵碎片池,10030,1,14,A级-小鸭嘴龙,21000332,1,0,,道具,圆桌随机
295,A  精灵碎片池,10030,1,14,A级-波加曼,21000335,1,0,,道具,圆桌随机
296,A  精灵碎片池,10030,1,14,A级-墨海马,21000336,1,0,,道具,圆桌随机
297,A  精灵碎片池,10030,1,14,A级-藤藤蛇,21000337,1,0,,道具,圆桌随机
298,A  精灵碎片池,10030,1,14,A级-菊草叶,21000338,1,0,,道具,圆桌随机
299,A  精灵碎片池,10030,1,14,A级-小猫怪,21000341,1,0,,道具,圆桌随机
300,A  精灵碎片池,10030,1,14,A级-铁甲犀牛,21000342,1,2000,,道具,圆桌随机
301,A  精灵碎片池,10030,1,14,A级-尼多朗,21000343,1,0,,道具,圆桌随机
302,A  精灵碎片池,10030,1,14,A级-腕力,21000344,1,0,,道具,圆桌随机
303,A  精灵碎片池,10030,1,14,A级-火稚鸡,21000346,1,0,,道具,圆桌随机
304,A  精灵碎片池,10030,1,14,A级-小火焰猴,21000348,1,0,,道具,圆桌随机
305,A  精灵碎片池,10030,1,14,A级-水跃鱼,21000351,1,0,,道具,圆桌随机
306,A  精灵碎片池,10030,1,14,A级-木守宫,21000354,1,0,,道具,圆桌随机
307,A  精灵碎片池,10030,1,14,A级-黏黏宝,21000358,1,0,,道具,圆桌随机
308,A  精灵碎片池,10030,1,14,A级-单首龙,21000360,1,2000,,道具,圆桌随机
309,A  精灵碎片池,10030,1,14,A级-哈力栗,21000339,1,2000,,道具,圆桌随机
310,A  精灵碎片池,10030,1,14,A级-呱呱泡蛙,21000334,1,2000,,道具,圆桌随机
311,A  精灵碎片池,10030,1,14,A级-火狐狸,21000333,1,2000,,道具,圆桌随机
312,S  精灵碎片池,10031,1,14,小火龙,21000347,1,1100,,道具,圆桌随机
313,S  精灵碎片池,10031,1,14,小鸭嘴龙,21000331,1,720,,道具,圆桌随机
314,S  精灵碎片池,10031,1,14,代拉基翁,21000386,1,200,,道具,圆桌随机
315,S  精灵碎片池,10031,1,14,火焰鸟,21000376,1,200,,道具,圆桌随机
316,S  精灵碎片池,10031,1,14,席多蓝,21000362,1,200,,道具,圆桌随机
317,S  精灵碎片池,10031,1,14,炎帝,21000381,1,50,,道具,圆桌随机
318,S  精灵碎片池,10031,1,14,凤王,21000361,1,25,,道具,圆桌随机
319,S  精灵碎片池,10031,1,14,固拉多,21000371,1,5,,道具,圆桌随机
320,S  精灵碎片池,10031,1,14,杰尼龟,21000350,1,1100,,道具,圆桌随机
321,S  精灵碎片池,10031,1,14,鲤鱼王,21000349,1,720,,道具,圆桌随机
322,S  精灵碎片池,10031,1,14,勾帕路翁,21000387,1,200,,道具,圆桌随机
323,S  精灵碎片池,10031,1,14,急冻鸟,21000377,1,200,,道具,圆桌随机
324,S  精灵碎片池,10031,1,14,霏米纳,21000364,1,25,,道具,圆桌随机
325,S  精灵碎片池,10031,1,14,水君,21000382,1,50,,道具,圆桌随机
326,S  精灵碎片池,10031,1,14,洛亚鸟,21000363,1,200,,道具,圆桌随机
327,S  精灵碎片池,10031,1,14,盖欧卡,21000372,1,5,,道具,圆桌随机
328,S  精灵碎片池,10031,1,14,妙蛙种子,21000353,1,1100,,道具,圆桌随机
329,S  精灵碎片池,10031,1,14,草苗龟,21000352,1,720,,道具,圆桌随机
330,S  精灵碎片池,10031,1,14,洁咪,21000378,1,200,,道具,圆桌随机
331,S  精灵碎片池,10031,1,14,毕力吉翁,21000388,1,200,,道具,圆桌随机
332,S  精灵碎片池,10031,1,14,雪拉比,21000366,1,25,,道具,圆桌随机
333,S  精灵碎片池,10031,1,14,拉鲁拉丝,21000365,1,200,,道具,圆桌随机
334,S  精灵碎片池,10031,1,14,基格尔德,21000383,1,50,,道具,圆桌随机
335,S  精灵碎片池,10031,1,14,烈空坐,21000373,1,5,,道具,圆桌随机
