id,upindex,downindex,missiontype,conditiontype,planvalue,packid,refresh,titledesc,desc,arg,arg2,openlevel,saveid,groupid,rewards,openfb,push,order,transmit,table
1106,0,0,2,8,1000,80030,0,召唤达人6,完成1000次[endl:num=1]精灵召唤,99,30,1,1106,1101,"[[2,2,80],[23,23,6]]",0,1,10,[],1
1107,0,0,2,8,1500,80031,0,召唤达人7,完成1500次[endl:num=1]精灵召唤,99,35,1,1107,1101,"[[2,2,100],[23,23,7]]",0,1,10,[],1
1108,0,0,2,8,2000,80032,0,召唤达人8,完成2000次[endl:num=1]精灵召唤,99,40,1,1108,1101,"[[2,2,120],[23,23,8]]",0,1,10,[],1
1109,0,0,2,8,3000,80033,0,召唤达人9,完成3000次[endl:num=1]精灵召唤,99,45,1,1109,1101,"[[2,2,160],[23,23,9]]",0,1,10,[],1
1110,0,0,2,8,4000,80034,0,召唤达人10,完成4000次[endl:num=1]精灵召唤,99,50,1,1110,1101,"[[2,2,200],[23,23,10]]",0,1,10,[],1
1201,0,0,2,46,10,80025,0,熟能生巧1,完成10次[endl:num=1]技能升级,99,0,1,1201,1201,"[[2,2,10],[23,23,1]]",0,1,10,[],1
1202,0,0,2,46,100,80026,0,熟能生巧2,完成100次[endl:num=1]技能升级,99,0,1,1202,1201,"[[2,2,20],[23,23,2]]",0,1,10,[],1
1203,0,0,2,46,200,80027,0,熟能生巧3,完成200次[endl:num=1]技能升级,99,0,1,1203,1201,"[[2,2,30],[23,23,3]]",0,1,10,[],1
1204,0,0,2,46,500,80028,0,熟能生巧4,完成500次[endl:num=1]技能升级,99,0,1,1204,1201,"[[2,2,40],[23,23,4]]",0,1,10,[],1
1205,0,0,2,46,700,80029,0,熟能生巧5,完成700次[endl:num=1]技能升级,99,0,1,1205,1201,"[[2,2,60],[23,23,5]]",0,1,10,[],1
1206,0,0,2,46,1000,80030,0,熟能生巧6,完成1000次[endl:num=1]技能升级,99,0,1,1206,1201,"[[2,2,80],[23,23,6]]",0,1,10,[],1
1207,0,0,2,46,1500,80031,0,熟能生巧7,完成1500次[endl:num=1]技能升级,99,0,1,1207,1201,"[[2,2,100],[23,23,7]]",0,1,10,[],1
1208,0,0,2,46,2000,80032,0,熟能生巧8,完成2000次[endl:num=1]技能升级,99,0,1,1208,1201,"[[2,2,120],[23,23,8]]",0,1,10,[],1
1209,0,0,2,46,3000,80033,0,熟能生巧9,完成3000次[endl:num=1]技能升级,99,0,1,1209,1201,"[[2,2,160],[23,23,9]]",0,1,10,[],1
1210,0,0,2,46,4000,80034,0,熟能生巧10,完成4000次[endl:num=1]技能升级,99,0,1,1210,1201,"[[2,2,200],[23,23,10]]",0,1,10,[],1
1301,0,0,2,40,5,80025,0,装备铁匠1,完成5次[endl:num=1]装备进阶,99,0,1,1301,1301,"[[2,2,10],[23,23,1]]",0,1,10,[],1
1302,0,0,2,40,50,80026,0,装备铁匠2,完成50次[endl:num=1]装备进阶,99,0,1,1302,1301,"[[2,2,20],[23,23,2]]",0,1,10,[],1
1303,0,0,2,40,100,80027,0,装备铁匠3,完成100次[endl:num=1]装备进阶,99,0,1,1303,1301,"[[2,2,30],[23,23,3]]",0,1,10,[],1
1304,0,0,2,40,200,80028,0,装备铁匠4,完成200次[endl:num=1]装备进阶,99,0,1,1304,1301,"[[2,2,40],[23,23,4]]",0,1,10,[],1
1305,0,0,2,40,300,80029,0,装备铁匠5,完成300次[endl:num=1]装备进阶,99,0,1,1305,1301,"[[2,2,60],[23,23,5]]",0,1,10,[],1
1306,0,0,2,40,400,80030,0,装备铁匠6,完成400次[endl:num=1]装备进阶,99,0,1,1306,1301,"[[2,2,80],[23,23,6]]",0,1,10,[],1
1307,0,0,2,40,500,80031,0,装备铁匠7,完成500次[endl:num=1]装备进阶,99,0,1,1307,1301,"[[2,2,100],[23,23,7]]",0,1,10,[],1
1308,0,0,2,40,600,80032,0,装备铁匠8,完成600次[endl:num=1]装备进阶,99,0,1,1308,1301,"[[2,2,120],[23,23,8]]",0,1,10,[],1
1309,0,0,2,40,800,80033,0,装备铁匠9,完成800次[endl:num=1]装备进阶,99,0,1,1309,1301,"[[2,2,160],[23,23,9]]",0,1,10,[],1
1310,0,0,2,40,1000,80034,0,装备铁匠10,完成1000次[endl:num=1]装备进阶,99,0,1,1310,1301,"[[2,2,200],[23,23,10]]",0,1,10,[],1
1401,0,0,2,60,10,80025,0,洗练大师1,完成10次[endl:num=1]装备洗练,99,0,1,1401,1401,"[[2,2,10],[23,23,1]]",0,1,10,[],1
1402,0,0,2,60,100,80026,0,洗练大师2,完成100次[endl:num=1]装备洗练,99,0,1,1402,1401,"[[2,2,20],[23,23,2]]",0,1,10,[],1
1403,0,0,2,60,200,80027,0,洗练大师3,完成200次[endl:num=1]装备洗练,99,0,1,1403,1401,"[[2,2,30],[23,23,3]]",0,1,10,[],1
1404,0,0,2,60,500,80028,0,洗练大师4,完成500次[endl:num=1]装备洗练,99,0,1,1404,1401,"[[2,2,40],[23,23,4]]",0,1,10,[],1
1405,0,0,2,60,700,80029,0,洗练大师5,完成700次[endl:num=1]装备洗练,99,0,1,1405,1401,"[[2,2,60],[23,23,5]]",0,1,10,[],1
1406,0,0,2,60,1000,80030,0,洗练大师6,完成1000次[endl:num=1]装备洗练,99,0,1,1406,1401,"[[2,2,80],[23,23,6]]",0,1,10,[],1
1407,0,0,2,60,1500,80031,0,洗练大师7,完成1500次[endl:num=1]装备洗练,99,0,1,1407,1401,"[[2,2,100],[23,23,7]]",0,1,10,[],1
1408,0,0,2,60,2000,80032,0,洗练大师8,完成2000次[endl:num=1]装备洗练,99,0,1,1408,1401,"[[2,2,120],[23,23,8]]",0,1,10,[],1
1409,0,0,2,60,3000,80033,0,洗练大师9,完成3000次[endl:num=1]装备洗练,99,0,1,1409,1401,"[[2,2,160],[23,23,9]]",0,1,10,[],1
1410,0,0,2,60,4000,80034,0,洗练大师10,完成4000次[endl:num=1]装备洗练,99,0,1,1410,1401,"[[2,2,200],[23,23,10]]",0,1,10,[],1
1501,0,0,2,19,10,80025,0,买卖之道1,任意商店购买[endl:num=1]10次,99,0,1,1501,1501,"[[2,2,10],[23,23,1]]",0,1,10,[],1
1502,0,0,2,19,50,80026,0,买卖之道2,任意商店购买[endl:num=1]50次,99,0,1,1502,1501,"[[2,2,20],[23,23,2]]",0,1,10,[],1
1503,0,0,2,19,100,80027,0,买卖之道3,任意商店购买[endl:num=1]100次,99,0,1,1503,1501,"[[2,2,30],[23,23,3]]",0,1,10,[],1
1504,0,0,2,19,200,80028,0,买卖之道4,任意商店购买[endl:num=1]200次,99,0,1,1504,1501,"[[2,2,40],[23,23,4]]",0,1,10,[],1
1505,0,0,2,19,300,80029,0,买卖之道5,任意商店购买[endl:num=1]300次,99,0,1,1505,1501,"[[2,2,60],[23,23,5]]",0,1,10,[],1
1506,0,0,2,19,500,80030,0,买卖之道6,任意商店购买[endl:num=1]500次,99,0,1,1506,1501,"[[2,2,80],[23,23,6]]",0,1,10,[],1
1507,0,0,2,19,800,80031,0,买卖之道7,任意商店购买[endl:num=1]800次,99,0,1,1507,1501,"[[2,2,100],[23,23,7]]",0,1,10,[],1
1508,0,0,2,19,1000,80032,0,买卖之道8,任意商店购买[endl:num=1]1000次,99,0,1,1508,1501,"[[2,2,120],[23,23,8]]",0,1,10,[],1
1509,0,0,2,19,1500,80033,0,买卖之道9,任意商店购买[endl:num=1]1500次,99,0,1,1509,1501,"[[2,2,160],[23,23,9]]",0,1,10,[],1
1510,0,0,2,19,2000,80034,0,买卖之道10,任意商店购买[endl:num=1]2000次,99,0,1,1510,1501,"[[2,2,200],[23,23,10]]",0,1,10,[],1
1901,0,0,2,20,1,18001,0,VIP,VIP等级达到2级,99,2|3|4|5|6|7|8|9|10|11|12|13|14|15,1,1901,1901,"[[14,900002,1],[14,800016,1]]",0,1,10,[],1
1902,0,0,2,20,1,18002,0,高级VIP,VIP等级达到7级,99,7|8|9|10|11|12|13|14|15,1,1902,1901,"[[14,900003,1],[14,800017,1]]",0,1,10,[],1
1903,0,0,2,20,1,18003,0,尊贵VIP,VIP等级达到11级,99,11|12|13|14|15,1,1903,1901,"[[14,900004,1],[14,800018,1]]",0,1,10,[],1
2101,0,0,2,6,1000000,80045,0,金币大亨1,累计获得[endl:num=1]100万金币,99,0,1,2101,2101,"[[8,8,10000],[23,23,1]]",0,1,10,[],2
2102,0,0,2,6,5000000,80046,0,金币大亨2,累计获得[endl:num=1]500万金币,99,0,1,2102,2101,"[[8,8,20000],[23,23,2]]",0,1,10,[],2
2103,0,0,2,6,10000000,80047,0,金币大亨3,累计获得[endl:num=1]1000万金币,99,0,1,2103,2101,"[[8,8,30000],[23,23,3]]",0,1,10,[],2
2104,0,0,2,6,20000000,80048,0,金币大亨4,累计获得[endl:num=1]2000万金币,99,0,1,2104,2101,"[[8,8,40000],[23,23,4]]",0,1,10,[],2
2105,0,0,2,6,50000000,80049,0,金币大亨5,累计获得[endl:num=1]5000万金币,99,0,1,2105,2101,"[[8,8,60000],[23,23,5]]",0,1,10,[],2
2106,0,0,2,6,100000000,80050,0,金币大亨6,累计获得[endl:num=1]1亿金币,99,0,1,2106,2101,"[[8,8,80000],[23,23,6]]",0,1,10,[],2
2107,0,0,2,6,200000000,80051,0,金币大亨7,累计获得[endl:num=1]2亿金币,99,0,1,2107,2101,"[[8,8,100000],[23,23,7]]",0,1,10,[],2
2108,0,0,2,6,300000000,80052,0,金币大亨8,累计获得[endl:num=1]3亿金币,99,0,1,2108,2101,"[[8,8,120000],[23,23,8]]",0,1,10,[],2
2109,0,0,2,6,400000000,80053,0,金币大亨9,累计获得[endl:num=1]4亿金币,99,0,1,2109,2101,"[[8,8,160000],[23,23,9]]",0,1,10,[],2
2110,0,0,2,6,500000000,80054,0,金币大亨10,累计获得[endl:num=1]5亿金币,99,0,1,2110,2101,"[[8,8,200000],[23,23,10]]",0,1,10,[],2
2201,0,0,2,48,100000,80045,0,水晶收藏家1,累计获得[endl:num=1]10万水晶,99,0,1,2201,2201,"[[8,8,10000],[23,23,1]]",0,1,10,[],2
2202,0,0,2,48,500000,80046,0,水晶收藏家2,累计获得[endl:num=1]50万水晶,99,0,1,2202,2201,"[[8,8,20000],[23,23,2]]",0,1,10,[],2
2203,0,0,2,48,1000000,80047,0,水晶收藏家3,累计获得[endl:num=1]100万水晶,99,0,1,2203,2201,"[[8,8,30000],[23,23,3]]",0,1,10,[],2
2204,0,0,2,48,2000000,80048,0,水晶收藏家4,累计获得[endl:num=1]200万水晶,99,0,1,2204,2201,"[[8,8,40000],[23,23,4]]",0,1,10,[],2
2205,0,0,2,48,5000000,80049,0,水晶收藏家5,累计获得[endl:num=1]500万水晶,99,0,1,2205,2201,"[[8,8,60000],[23,23,5]]",0,1,10,[],2
2206,0,0,2,48,10000000,80050,0,水晶收藏家6,累计获得[endl:num=1]1000万水晶,99,0,1,2206,2201,"[[8,8,80000],[23,23,6]]",0,1,10,[],2
2207,0,0,2,48,20000000,80051,0,水晶收藏家7,累计获得[endl:num=1]2000万水晶,99,0,1,2207,2201,"[[8,8,100000],[23,23,7]]",0,1,10,[],2
2208,0,0,2,48,30000000,80052,0,水晶收藏家8,累计获得[endl:num=1]3000万水晶,99,0,1,2208,2201,"[[8,8,120000],[23,23,8]]",0,1,10,[],2
2209,0,0,2,48,40000000,80053,0,水晶收藏家9,累计获得[endl:num=1]4000万水晶,99,0,1,2209,2201,"[[8,8,160000],[23,23,9]]",0,1,10,[],2
2210,0,0,2,48,50000000,80054,0,水晶收藏家10,累计获得[endl:num=1]5000万水晶,99,0,1,2210,2201,"[[8,8,200000],[23,23,10]]",0,1,10,[],2
2301,0,0,2,47,500,80045,0,钻石王者1,累计获得[endl:num=1]500钻石,99,0,1,2301,2301,"[[8,8,10000],[23,23,1]]",0,1,10,[],2
2302,0,0,2,47,2500,80046,0,钻石王者2,累计获得[endl:num=1]2500钻石,99,0,1,2302,2301,"[[8,8,20000],[23,23,2]]",0,1,10,[],2
2303,0,0,2,47,5000,80047,0,钻石王者3,累计获得[endl:num=1]5000钻石,99,0,1,2303,2301,"[[8,8,30000],[23,23,3]]",0,1,10,[],2
2304,0,0,2,47,10000,80048,0,钻石王者4,累计获得[endl:num=1]1万钻石,99,0,1,2304,2301,"[[8,8,40000],[23,23,4]]",0,1,10,[],2
2305,0,0,2,47,30000,80049,0,钻石王者5,累计获得[endl:num=1]3万钻石,99,0,1,2305,2301,"[[8,8,60000],[23,23,5]]",0,1,10,[],2
2306,0,0,2,47,50000,80050,0,钻石王者6,累计获得[endl:num=1]5万钻石,99,0,1,2306,2301,"[[8,8,80000],[23,23,6]]",0,1,10,[],2
2307,0,0,2,47,100000,80051,0,钻石王者7,累计获得[endl:num=1]10万钻石,99,0,1,2307,2301,"[[8,8,100000],[23,23,7]]",0,1,10,[],2
2308,0,0,2,47,150000,80052,0,钻石王者8,累计获得[endl:num=1]15万钻石,99,0,1,2308,2301,"[[8,8,120000],[23,23,8]]",0,1,10,[],2
2309,0,0,2,47,200000,80053,0,钻石王者9,累计获得[endl:num=1]20万钻石,99,0,1,2309,2301,"[[8,8,160000],[23,23,9]]",0,1,10,[],2
2310,0,0,2,47,250000,80054,0,钻石王者10,累计获得[endl:num=1]25万钻石,99,0,1,2310,2301,"[[8,8,200000],[23,23,10]]",0,1,10,[],2
2401,0,0,2,38,10,80045,0,精灵王1,累计收集[endl:num=1]10只精灵,99,0,1,2401,2401,"[[8,8,10000],[23,23,1]]",0,1,10,[],2
2402,0,0,2,38,50,80046,0,精灵王2,累计收集[endl:num=1]50只精灵,99,0,1,2402,2401,"[[8,8,20000],[23,23,2]]",0,1,10,[],2
2403,0,0,2,38,100,80047,0,精灵王3,累计收集[endl:num=1]100只精灵,99,0,1,2403,2401,"[[8,8,30000],[23,23,3]]",0,1,10,[],2
2404,0,0,2,38,200,80048,0,精灵王4,累计收集[endl:num=1]200只精灵,99,0,1,2404,2401,"[[8,8,40000],[23,23,4]]",0,1,10,[],2
2405,0,0,2,38,500,80049,0,精灵王5,累计收集[endl:num=1]500只精灵,99,0,1,2405,2401,"[[8,8,60000],[23,23,5]]",0,1,10,[],2
2406,0,0,2,38,1000,80050,0,精灵王6,累计收集[endl:num=1]1000只精灵,99,0,1,2406,2401,"[[8,8,80000],[23,23,6]]",0,1,10,[],2
2407,0,0,2,38,2000,80051,0,精灵王7,累计收集[endl:num=1]2000只精灵,99,0,1,2407,2401,"[[8,8,100000],[23,23,7]]",0,1,10,[],2
2408,0,0,2,38,3000,80052,0,精灵王8,累计收集[endl:num=1]3000只精灵,99,0,1,2408,2401,"[[8,8,120000],[23,23,8]]",0,1,10,[],2
2409,0,0,2,38,4000,80053,0,精灵王9,累计收集[endl:num=1]4000只精灵,99,0,1,2409,2401,"[[8,8,160000],[23,23,9]]",0,1,10,[],2
2410,0,0,2,38,5000,80054,0,精灵王10,累计收集[endl:num=1]5000只精灵,99,0,1,2410,2401,"[[8,8,200000],[23,23,10]]",0,1,10,[],2
2501,0,0,2,39,1,80045,0,装备库1,累计收集[endl:num=1]1件专属装备,99,0,1,2501,2501,"[[8,8,10000],[23,23,1]]",0,1,10,[],2
2502,0,0,2,39,5,80046,0,装备库2,累计收集[endl:num=1]5件专属装备,99,0,1,2502,2501,"[[8,8,20000],[23,23,2]]",0,1,10,[],2
2503,0,0,2,39,10,80047,0,装备库3,累计收集[endl:num=1]10件专属装备,99,0,1,2503,2501,"[[8,8,30000],[23,23,3]]",0,1,10,[],2
2504,0,0,2,39,20,80048,0,装备库4,累计收集[endl:num=1]20件专属装备,99,0,1,2504,2501,"[[8,8,40000],[23,23,4]]",0,1,10,[],2
2505,0,0,2,39,50,80049,0,装备库5,累计收集[endl:num=1]50件专属装备,99,0,1,2505,2501,"[[8,8,60000],[23,23,5]]",0,1,10,[],2
2506,0,0,2,39,100,80050,0,装备库6,累计收集[endl:num=1]100件专属装备,99,0,1,2506,2501,"[[8,8,80000],[23,23,6]]",0,1,10,[],2
2507,0,0,2,39,200,80051,0,装备库7,累计收集[endl:num=1]200件专属装备,99,0,1,2507,2501,"[[8,8,100000],[23,23,7]]",0,1,10,[],2
2508,0,0,2,39,300,80052,0,装备库8,累计收集[endl:num=1]300件专属装备,99,0,1,2508,2501,"[[8,8,120000],[23,23,8]]",0,1,10,[],2
2509,0,0,2,39,400,80053,0,装备库9,累计收集[endl:num=1]400件专属装备,99,0,1,2509,2501,"[[8,8,160000],[23,23,9]]",0,1,10,[],2
