ID,goldcount,count
166,1610000,165
167,1620000,166
168,1630000,167
169,1640000,168
170,1650000,169
171,1660000,170
172,1670000,171
173,1680000,172
174,1690000,173
175,1700000,174
176,1710000,175
177,1720000,176
178,1730000,177
179,1740000,178
180,1750000,179
181,1760000,180
182,1770000,181
183,1780000,182
184,1790000,183
185,1800000,184
186,1810000,185
187,1820000,186
188,1830000,187
189,1840000,188
190,1850000,189
191,1860000,190
192,1870000,191
193,1880000,192
194,1890000,193
195,1900000,194
196,1910000,195
197,1920000,196
198,1930000,197
199,1940000,198
200,1950000,199
201,1960000,200
202,1970000,201
203,1980000,202
204,1990000,203
205,2000000,204
206,2010000,205
207,2020000,206
208,2030000,207
209,2040000,208
210,2050000,209
211,2060000,210
212,2070000,211
213,2080000,212
214,2090000,213
215,2100000,214
216,2110000,215
217,2120000,216
218,2130000,217
219,2140000,218
220,2150000,219
221,2160000,220
222,2170000,221
223,2180000,222
224,2190000,223
225,2200000,224
226,2210000,225
227,2220000,226
228,2230000,227
229,2240000,228
230,2250000,229
231,2260000,230
232,2270000,231
233,2280000,232
234,2290000,233
235,2300000,234
236,2310000,235
237,2320000,236
238,2330000,237
239,2340000,238
240,2350000,239
241,2360000,240
242,2370000,241
243,2380000,242
244,2390000,243
245,2400000,244
246,2410000,245
247,2420000,246
248,2430000,247
249,2440000,248
250,2450000,249
251,2460000,250
252,2470000,251
253,2480000,252
254,2490000,253
255,2500000,254
256,2510000,255
257,2520000,256
258,2530000,257
259,2540000,258
260,2550000,259
261,2560000,260
262,2570000,261
263,2580000,262
264,2590000,263
265,2600000,264
266,2610000,265
267,2620000,266
268,2630000,267
269,2640000,268
270,2650000,269
271,2660000,270
272,2670000,271
273,2680000,272
274,2690000,273
275,2700000,274
276,2710000,275
277,2720000,276
278,2730000,277
279,2740000,278
280,2750000,279
281,2760000,280
282,2770000,281
283,2780000,282
284,2790000,283
285,2800000,284
286,2810000,285
287,2820000,286
288,2830000,287
289,2840000,288
290,2850000,289
291,2860000,290
292,2870000,291
293,2880000,292
294,2890000,293
295,2900000,294
296,2910000,295
297,2920000,296
298,2930000,297
299,2940000,298
300,2950000,299
301,2960000,300
302,2970000,301
303,2980000,302
304,2990000,303
305,3000000,304
306,3010000,305
307,3020000,306
308,3030000,307
309,3040000,308
310,3050000,309
311,3060000,310
312,3070000,311
313,3080000,312
314,3090000,313
315,3100000,314
316,3110000,315
317,3120000,316
318,3130000,317
319,3140000,318
320,3150000,319
321,3160000,320
322,3170000,321
323,3180000,322
324,3190000,323
325,3200000,324
326,3210000,325
327,3220000,326
328,3230000,327
329,3240000,328
330,3250000,329
331,3260000,330
332,3270000,331
333,3280000,332
334,3290000,333
335,3300000,334
336,3310000,335
337,3320000,336
338,3330000,337
339,3340000,338
340,3350000,339
341,3360000,340
342,3370000,341
343,3380000,342
344,3390000,343
345,3400000,344
346,3410000,345
347,3420000,346
348,3430000,347
349,3440000,348
350,3450000,349
351,3460000,350
352,3470000,351
353,3480000,352
354,3490000,353
355,3500000,354
356,3510000,355
357,3520000,356
358,3530000,357
359,3540000,358
360,3550000,359
361,3560000,360
362,3570000,361
363,3580000,362
364,3590000,363
365,3600000,364
366,3610000,365
367,3620000,366
368,3630000,367
369,3640000,368
370,3650000,369
371,3660000,370
372,3670000,371
373,3680000,372
374,3690000,373
375,3700000,374
376,3710000,375
377,3720000,376
378,3730000,377
379,3740000,378
380,3750000,379
381,3760000,380
382,3770000,381
383,3780000,382
384,3790000,383
385,3800000,384
386,3810000,385
387,3820000,386
388,3830000,387
389,3840000,388
390,3850000,389
391,3860000,390
392,3870000,391
393,3880000,392
394,3890000,393
395,3900000,394
396,3910000,395
397,3920000,396
398,3930000,397
399,3940000,398
400,3950000,399
401,3960000,400
402,3970000,401
403,3980000,402
404,3990000,403
405,4000000,404
406,4010000,405
407,4020000,406
408,4030000,407
409,4040000,408
410,4050000,409
411,4060000,410
412,4070000,411
413,4080000,412
414,4090000,413
415,4100000,414
416,4110000,415
417,4120000,416
418,4130000,417
419,4140000,418
420,4150000,419
421,4160000,420
422,4170000,421
423,4180000,422
424,4190000,423
425,4200000,424
426,4210000,425
427,4220000,426
428,4230000,427
429,4240000,428
430,4250000,429
431,4260000,430
432,4270000,431
433,4280000,432
434,4290000,433
435,4300000,434
436,4310000,435
437,4320000,436
438,4330000,437
439,4340000,438
440,4350000,439
441,4360000,440
442,4370000,441
443,4380000,442
444,4390000,443
445,4400000,444
446,4410000,445
447,4420000,446
448,4430000,447
449,4440000,448
450,4450000,449
451,4460000,450
452,4470000,451
453,4480000,452
454,4490000,453
455,4500000,454
456,4510000,455
457,4520000,456
458,4530000,457
459,4540000,458
460,4550000,459
461,4560000,460
462,4570000,461
463,4580000,462
464,4590000,463
465,4600000,464
466,4610000,465
467,4620000,466
468,4630000,467
469,4640000,468
470,4650000,469
471,4660000,470
472,4670000,471
473,4680000,472
474,4690000,473
475,4700000,474
476,4710000,475
477,4720000,476
478,4730000,477
479,4740000,478
480,4750000,479
481,4760000,480
482,4770000,481
483,4780000,482
484,4790000,483
485,4800000,484
486,4810000,485
487,4820000,486
488,4830000,487
489,4840000,488
490,4850000,489
491,4860000,490
492,4870000,491
493,4880000,492
494,4890000,493
495,4900000,494
496,4910000,495
497,4920000,496
498,4930000,497
499,4940000,498
500,4950000,499
501,4960000,500
502,4970000,501
503,4980000,502
504,4990000,503
505,5000000,504
506,5010000,505
507,5020000,506
508,5030000,507
509,5040000,508
510,5050000,509
511,5060000,510
512,5070000,511
513,5080000,512
514,5090000,513
515,5100000,514
516,5110000,515
517,5120000,516
518,5130000,517
519,5140000,518
520,5150000,519
521,5160000,520
522,5170000,521
523,5180000,522
524,5190000,523
525,5200000,524
526,5210000,525
527,5220000,526
528,5230000,527
529,5240000,528
530,5250000,529
531,5260000,530
532,5270000,531
533,5280000,532
534,5290000,533
535,5300000,534
536,5310000,535
537,5320000,536
538,5330000,537
539,5340000,538
540,5350000,539
541,5360000,540
542,5370000,541
543,5380000,542
544,5390000,543
545,5400000,544
546,5410000,545
547,5420000,546
548,5430000,547
549,5440000,548
550,5450000,549
551,5460000,550
552,5470000,551
553,5480000,552
554,5490000,553
555,5500000,554
556,5510000,555
557,5520000,556
558,5530000,557
559,5540000,558
560,5550000,559
561,5560000,560
562,5570000,561
563,5580000,562
564,5590000,563
565,5600000,564
566,5610000,565
567,5620000,566
568,5630000,567
569,5640000,568
570,5650000,569
571,5660000,570
572,5670000,571
573,5680000,572
574,5690000,573
575,5700000,574
576,5710000,575
577,5720000,576
578,5730000,577
579,5740000,578
580,5750000,579
581,5760000,580
582,5770000,581
583,5780000,582
584,5790000,583
585,5800000,584
586,5810000,585
587,5820000,586
588,5830000,587
589,5840000,588
590,5850000,589
591,5860000,590
592,5870000,591
593,5880000,592
594,5890000,593
595,5900000,594
596,5910000,595
597,5920000,596
598,5930000,597
599,5940000,598
600,5950000,599
