id,gup1,gup2,gup3,gup4,gup5,gup6,gup7,gup8,gup9,gup10,gup11,gup12,gup13,gup14,gup15,gup16,gup17,gup18,gup19,gup20,gup21
15,"[[17,50035,1]]","[[17,50035,1]]","[[17,50035,2]]","[[17,50035,2]]","[[17,50035,2],[14,712003,1]]","[[17,50035,3],[14,712003,2]]","[[17,50035,3],[14,712004,1]]","[[17,50035,3],[14,712004,2]]","[[17,50035,3],[14,712004,3]]","[[17,50035,4],[14,712004,6]]","[[17,50035,4],[14,712005,1]]","[[17,50035,4],[14,712005,2]]","[[17,50035,4],[14,712005,3]]","[[17,50035,4],[14,712005,6]]","[[17,50035,5],[14,712005,10]]","[[17,50035,5],[14,712006,2]]","[[17,50035,5],[14,712006,3]]","[[17,50035,5],[14,712006,6]]","[[17,50035,5],[14,712006,10]]","[[17,50035,5],[14,712007,3]]","[[17,50035,5],[14,712007,6]]"
16,"[[17,50036,1]]","[[17,50036,1]]","[[17,50036,2]]","[[17,50036,2]]","[[17,50036,2],[14,712003,1]]","[[17,50036,3],[14,712003,2]]","[[17,50036,3],[14,712004,1]]","[[17,50036,3],[14,712004,2]]","[[17,50036,3],[14,712004,3]]","[[17,50036,4],[14,712004,6]]","[[17,50036,4],[14,712005,1]]","[[17,50036,4],[14,712005,2]]","[[17,50036,4],[14,712005,3]]","[[17,50036,4],[14,712005,6]]","[[17,50036,5],[14,712005,10]]","[[17,50036,5],[14,712006,2]]","[[17,50036,5],[14,712006,3]]","[[17,50036,5],[14,712006,6]]","[[17,50036,5],[14,712006,10]]","[[17,50036,5],[14,712007,3]]","[[17,50036,5],[14,712007,6]]"
17,"[[17,50037,1]]","[[17,50037,1]]","[[17,50037,2]]","[[17,50037,2]]","[[17,50037,2],[14,712003,1]]","[[17,50037,3],[14,712003,2]]","[[17,50037,3],[14,712004,1]]","[[17,50037,3],[14,712004,2]]","[[17,50037,3],[14,712004,3]]","[[17,50037,4],[14,712004,6]]","[[17,50037,4],[14,712005,1]]","[[17,50037,4],[14,712005,2]]","[[17,50037,4],[14,712005,3]]","[[17,50037,4],[14,712005,6]]","[[17,50037,5],[14,712005,10]]","[[17,50037,5],[14,712006,2]]","[[17,50037,5],[14,712006,3]]","[[17,50037,5],[14,712006,6]]","[[17,50037,5],[14,712006,10]]","[[17,50037,5],[14,712007,3]]","[[17,50037,5],[14,712007,6]]"
18,"[[17,50038,1]]","[[17,50038,1]]","[[17,50038,2]]","[[17,50038,2]]","[[17,50038,2],[14,712003,1]]","[[17,50038,3],[14,712003,2]]","[[17,50038,3],[14,712004,1]]","[[17,50038,3],[14,712004,2]]","[[17,50038,3],[14,712004,3]]","[[17,50038,4],[14,712004,6]]","[[17,50038,4],[14,712005,1]]","[[17,50038,4],[14,712005,2]]","[[17,50038,4],[14,712005,3]]","[[17,50038,4],[14,712005,6]]","[[17,50038,5],[14,712005,10]]","[[17,50038,5],[14,712006,2]]","[[17,50038,5],[14,712006,3]]","[[17,50038,5],[14,712006,6]]","[[17,50038,5],[14,712006,10]]","[[17,50038,5],[14,712007,3]]","[[17,50038,5],[14,712007,6]]"
19,"[[17,50039,1]]","[[17,50039,1]]","[[17,50039,2]]","[[17,50039,2]]","[[17,50039,2],[14,712003,1]]","[[17,50039,3],[14,712003,2]]","[[17,50039,3],[14,712004,1]]","[[17,50039,3],[14,712004,2]]","[[17,50039,3],[14,712004,3]]","[[17,50039,4],[14,712004,6]]","[[17,50039,4],[14,712005,1]]","[[17,50039,4],[14,712005,2]]","[[17,50039,4],[14,712005,3]]","[[17,50039,4],[14,712005,6]]","[[17,50039,5],[14,712005,10]]","[[17,50039,5],[14,712006,2]]","[[17,50039,5],[14,712006,3]]","[[17,50039,5],[14,712006,6]]","[[17,50039,5],[14,712006,10]]","[[17,50039,5],[14,712007,3]]","[[17,50039,5],[14,712007,6]]"
20,"[[17,50040,1]]","[[17,50040,1]]","[[17,50040,2]]","[[17,50040,2]]","[[17,50040,2],[14,712003,1]]","[[17,50040,3],[14,712003,2]]","[[17,50040,3],[14,712004,1]]","[[17,50040,3],[14,712004,2]]","[[17,50040,3],[14,712004,3]]","[[17,50040,4],[14,712004,6]]","[[17,50040,4],[14,712005,1]]","[[17,50040,4],[14,712005,2]]","[[17,50040,4],[14,712005,3]]","[[17,50040,4],[14,712005,6]]","[[17,50040,5],[14,712005,10]]","[[17,50040,5],[14,712006,2]]","[[17,50040,5],[14,712006,3]]","[[17,50040,5],[14,712006,6]]","[[17,50040,5],[14,712006,10]]","[[17,50040,5],[14,712007,3]]","[[17,50040,5],[14,712007,6]]"
21,"[[17,50041,1]]","[[17,50041,1]]","[[17,50041,2]]","[[17,50041,2]]","[[17,50041,2],[14,712003,1]]","[[17,50041,3],[14,712003,2]]","[[17,50041,3],[14,712004,1]]","[[17,50041,3],[14,712004,2]]","[[17,50041,3],[14,712004,3]]","[[17,50041,4],[14,712004,6]]","[[17,50041,4],[14,712005,1]]","[[17,50041,4],[14,712005,2]]","[[17,50041,4],[14,712005,3]]","[[17,50041,4],[14,712005,6]]","[[17,50041,5],[14,712005,10]]","[[17,50041,5],[14,712006,2]]","[[17,50041,5],[14,712006,3]]","[[17,50041,5],[14,712006,6]]","[[17,50041,5],[14,712006,10]]","[[17,50041,5],[14,712007,3]]","[[17,50041,5],[14,712007,6]]"
22,"[[17,50042,1]]","[[17,50042,1]]","[[17,50042,2]]","[[17,50042,2]]","[[17,50042,2],[14,712003,1]]","[[17,50042,3],[14,712003,2]]","[[17,50042,3],[14,712004,1]]","[[17,50042,3],[14,712004,2]]","[[17,50042,3],[14,712004,3]]","[[17,50042,4],[14,712004,6]]","[[17,50042,4],[14,712005,1]]","[[17,50042,4],[14,712005,2]]","[[17,50042,4],[14,712005,3]]","[[17,50042,4],[14,712005,6]]","[[17,50042,5],[14,712005,10]]","[[17,50042,5],[14,712006,2]]","[[17,50042,5],[14,712006,3]]","[[17,50042,5],[14,712006,6]]","[[17,50042,5],[14,712006,10]]","[[17,50042,5],[14,712007,3]]","[[17,50042,5],[14,712007,6]]"
23,"[[17,50043,1]]","[[17,50043,1]]","[[17,50043,2]]","[[17,50043,2]]","[[17,50043,2],[14,712003,1]]","[[17,50043,3],[14,712003,2]]","[[17,50043,3],[14,712004,1]]","[[17,50043,3],[14,712004,2]]","[[17,50043,3],[14,712004,3]]","[[17,50043,4],[14,712004,6]]","[[17,50043,4],[14,712005,1]]","[[17,50043,4],[14,712005,2]]","[[17,50043,4],[14,712005,3]]","[[17,50043,4],[14,712005,6]]","[[17,50043,5],[14,712005,10]]","[[17,50043,5],[14,712006,2]]","[[17,50043,5],[14,712006,3]]","[[17,50043,5],[14,712006,6]]","[[17,50043,5],[14,712006,10]]","[[17,50043,5],[14,712007,3]]","[[17,50043,5],[14,712007,6]]"
24,"[[17,50044,1]]","[[17,50044,1]]","[[17,50044,2]]","[[17,50044,2]]","[[17,50044,2],[14,712003,1]]","[[17,50044,3],[14,712003,2]]","[[17,50044,3],[14,712004,1]]","[[17,50044,3],[14,712004,2]]","[[17,50044,3],[14,712004,3]]","[[17,50044,4],[14,712004,6]]","[[17,50044,4],[14,712005,1]]","[[17,50044,4],[14,712005,2]]","[[17,50044,4],[14,712005,3]]","[[17,50044,4],[14,712005,6]]","[[17,50044,5],[14,712005,10]]","[[17,50044,5],[14,712006,2]]","[[17,50044,5],[14,712006,3]]","[[17,50044,5],[14,712006,6]]","[[17,50044,5],[14,712006,10]]","[[17,50044,5],[14,712007,3]]","[[17,50044,5],[14,712007,6]]"
25,"[[17,50045,1]]","[[17,50045,1]]","[[17,50045,2]]","[[17,50045,2]]","[[17,50045,2],[14,712003,1]]","[[17,50045,3],[14,712003,2]]","[[17,50045,3],[14,712004,1]]","[[17,50045,3],[14,712004,2]]","[[17,50045,3],[14,712004,3]]","[[17,50045,4],[14,712004,6]]","[[17,50045,4],[14,712005,1]]","[[17,50045,4],[14,712005,2]]","[[17,50045,4],[14,712005,3]]","[[17,50045,4],[14,712005,6]]","[[17,50045,5],[14,712005,10]]","[[17,50045,5],[14,712006,2]]","[[17,50045,5],[14,712006,3]]","[[17,50045,5],[14,712006,6]]","[[17,50045,5],[14,712006,10]]","[[17,50045,5],[14,712007,3]]","[[17,50045,5],[14,712007,6]]"
26,"[[17,50046,1]]","[[17,50046,1]]","[[17,50046,2]]","[[17,50046,2]]","[[17,50046,2],[14,712003,1]]","[[17,50046,3],[14,712003,2]]","[[17,50046,3],[14,712004,1]]","[[17,50046,3],[14,712004,2]]","[[17,50046,3],[14,712004,3]]","[[17,50046,4],[14,712004,6]]","[[17,50046,4],[14,712005,1]]","[[17,50046,4],[14,712005,2]]","[[17,50046,4],[14,712005,3]]","[[17,50046,4],[14,712005,6]]","[[17,50046,5],[14,712005,10]]","[[17,50046,5],[14,712006,2]]","[[17,50046,5],[14,712006,3]]","[[17,50046,5],[14,712006,6]]","[[17,50046,5],[14,712006,10]]","[[17,50046,5],[14,712007,3]]","[[17,50046,5],[14,712007,6]]"
27,"[[17,50047,1]]","[[17,50047,1]]","[[17,50047,2]]","[[17,50047,2]]","[[17,50047,2],[14,712003,1]]","[[17,50047,3],[14,712003,2]]","[[17,50047,3],[14,712004,1]]","[[17,50047,3],[14,712004,2]]","[[17,50047,3],[14,712004,3]]","[[17,50047,4],[14,712004,6]]","[[17,50047,4],[14,712005,1]]","[[17,50047,4],[14,712005,2]]","[[17,50047,4],[14,712005,3]]","[[17,50047,4],[14,712005,6]]","[[17,50047,5],[14,712005,10]]","[[17,50047,5],[14,712006,2]]","[[17,50047,5],[14,712006,3]]","[[17,50047,5],[14,712006,6]]","[[17,50047,5],[14,712006,10]]","[[17,50047,5],[14,712007,3]]","[[17,50047,5],[14,712007,6]]"
28,"[[17,50048,1]]","[[17,50048,1]]","[[17,50048,2]]","[[17,50048,2]]","[[17,50048,2],[14,712003,1]]","[[17,50048,3],[14,712003,2]]","[[17,50048,3],[14,712004,1]]","[[17,50048,3],[14,712004,2]]","[[17,50048,3],[14,712004,3]]","[[17,50048,4],[14,712004,6]]","[[17,50048,4],[14,712005,1]]","[[17,50048,4],[14,712005,2]]","[[17,50048,4],[14,712005,3]]","[[17,50048,4],[14,712005,6]]","[[17,50048,5],[14,712005,10]]","[[17,50048,5],[14,712006,2]]","[[17,50048,5],[14,712006,3]]","[[17,50048,5],[14,712006,6]]","[[17,50048,5],[14,712006,10]]","[[17,50048,5],[14,712007,3]]","[[17,50048,5],[14,712007,6]]"
29,"[[17,50049,1]]","[[17,50049,1]]","[[17,50049,2]]","[[17,50049,2]]","[[17,50049,2],[14,712003,1]]","[[17,50049,3],[14,712003,2]]","[[17,50049,3],[14,712004,1]]","[[17,50049,3],[14,712004,2]]","[[17,50049,3],[14,712004,3]]","[[17,50049,4],[14,712004,6]]","[[17,50049,4],[14,712005,1]]","[[17,50049,4],[14,712005,2]]","[[17,50049,4],[14,712005,3]]","[[17,50049,4],[14,712005,6]]","[[17,50049,5],[14,712005,10]]","[[17,50049,5],[14,712006,2]]","[[17,50049,5],[14,712006,3]]","[[17,50049,5],[14,712006,6]]","[[17,50049,5],[14,712006,10]]","[[17,50049,5],[14,712007,3]]","[[17,50049,5],[14,712007,6]]"
