ID,limit,description,zombie_id,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4
188,4,当前关卡只能上阵4个精灵,300188,8|8|18000,0,0,0
189,4,当前关卡只能上阵4个精灵,300189,8|8|18000,0,0,0
190,4,当前关卡只能上阵4个精灵,300190,8|8|18000,30|30|30,0,0
191,4,当前关卡只能上阵4个精灵,300191,8|8|20000,0,0,0
192,4,当前关卡只能上阵4个精灵,300192,8|8|20000,0,0,0
193,4,当前关卡只能上阵4个精灵,300193,8|8|20000,0,0,0
194,4,当前关卡只能上阵4个精灵,300194,8|8|20000,0,0,0
195,4,当前关卡只能上阵4个精灵,300195,8|8|20000,0,0,0
196,4,当前关卡只能上阵4个精灵,300196,8|8|20000,0,0,0
197,4,当前关卡只能上阵4个精灵,300197,8|8|20000,0,0,0
198,4,当前关卡只能上阵4个精灵,300198,8|8|20000,0,0,0
199,4,当前关卡只能上阵4个精灵,300199,8|8|20000,0,0,0
200,4,当前关卡只能上阵4个精灵,300200,8|8|20000,30|30|30,0,0
