id,single_attack_win_desc,single_attack_lose_desc,attack_count_desc,multiple1,horn1,red_paper_desc,multiple2,horn2,red_paper_count,red_paper
10,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,15,8888
11,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
12,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
13,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
14,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
15,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,15,8888
16,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
17,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
18,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
19,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
20,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,15,8888
21,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
22,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
23,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
24,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
25,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,15,8888
26,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
27,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
28,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
29,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
30,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,15,8888
31,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
32,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
33,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
34,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
35,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,15,8888
36,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
37,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
38,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
39,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
40,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,15,8888
41,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
42,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
43,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
44,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
45,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,15,8888
46,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
47,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
48,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
49,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
50,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,15,8888
51,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
52,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
53,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
54,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
55,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,15,8888
56,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
57,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
58,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
59,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
60,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,0,1,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，给全服玩家发[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]个红包,1,1,15,8888
61,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
62,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
63,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
64,你成功从{}身上抢夺部分宝藏,你被[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]击败，抢夺失败,[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]公会[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]完成[colorindex:colorIndex=2]{}[colorindex:colorIndex=0]次抢夺，获得大量宝藏,1,0,0,0,0,0,0
