id,name,comment,sType,target,intervals,type1,val11,val12,type2,val21,val22,type3,val31,val32,firstbuff,first,lastbuff,injure,shuxing
4100054,火焰之术,6COMBO以上，本方火属性神将攻击伤害增加2倍,0,1,-1,65536,200,6,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100055,烈焰之术,7COMBO以上，本方火属性神将攻击伤害增加2.4倍,0,1,-1,65536,240,7,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100056,湍流之术,6COMBO以上，本方水属性神将攻击伤害增加2倍,0,2,-1,65536,200,6,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100057,激流之术,7COMBO以上，本方水属性神将攻击伤害增加2.4倍,0,2,-1,65536,240,7,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100058,落英之术,6COMBO以上，本方木属性神将攻击伤害增加2倍,0,4,-1,65536,200,6,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100059,花解之术,7COMBO以上，本方木属性神将攻击伤害增加2.4倍,0,4,-1,65536,240,7,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100060,乾坤之术,6COMBO以上，本方光属性神将攻击伤害增加2倍,0,8,-1,65536,200,6,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100061,混元之术,7COMBO以上，本方光属性神将攻击伤害增加2.4倍,0,8,-1,65536,240,7,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100062,幽冥之术,6COMBO以上，本方暗属性神将攻击伤害增加2倍,0,16,-1,65536,200,6,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100063,修罗之术,7COMBO以上，本方暗属性神将攻击伤害增加2.4倍,0,16,-1,65536,240,7,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100064,圣天护盾,本方神将受到敌方暗属性的攻击伤害稍微减少,0,-1,-1,16384,85,16,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100065,圣天守卫,本方神将受到敌方暗属性的攻击伤害减少,0,-1,-1,16384,75,16,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100066,堕天护盾,本方神将受到敌方光属性的攻击伤害稍微减少,0,-1,-1,16384,85,8,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100067,堕天守卫,本方神将受到敌方光属性的攻击伤害减少,0,-1,-1,16384,75,8,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100068,金钟奏鸣,6COMBO以上，本方攻击伤害加成1.8倍且受到敌人的伤害稍微减少,0,-1,-1,65536,180,5,16384,90,31,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100069,菩提之声,6COMBO以上，本方攻击伤害加成2.1倍且受到敌人的伤害稍微减少,0,-1,-1,65536,210,5,16384,85,31,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100070,烈焰守卫,本方火属性受到敌方的伤害稍微减少,0,-1,-1,16384,75,1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100071,烈焰守护,本方火属性受到敌方的伤害减少,0,-1,-1,16384,50,1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100072,寒冰守卫,本方水属性受到敌方的伤害稍微减少,0,-1,-1,16384,75,2,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100073,寒冰守护,本方水属性受到敌方的伤害减少,0,-1,-1,16384,50,2,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100074,大地守卫,本方木属性受到敌方的伤害稍微减少,0,-1,-1,16384,75,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100075,大地守护,本方木属性受到敌方的伤害减少,0,-1,-1,16384,50,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100076,光辉守卫,本方光属性受到敌方的伤害稍微减少,0,-1,-1,16384,75,8,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100077,光辉守护,本方光属性受到敌方的伤害减少,0,-1,-1,16384,50,8,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100078,暗影守卫,本方暗属性受到敌方的伤害稍微减少,0,-1,-1,16384,75,16,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100079,暗影守护,本方暗属性受到敌方的伤害减少,0,-1,-1,16384,50,16,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100084,木之力,本方木属性神将攻击伤害加成1.2倍,0,4,-1,1,120,-1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
5100101,待定,待定,0,-1,-1,16384,80,8,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
4100090,炎帝之力,7COMBO以上，本方火属性神将攻击伤害增加2倍,0,1,-1,65536,200,7,-1,-1,-1,-1,-1,-1,0,0,0,0,
4100091,炎帝神光,7COMBO以上，本方火属性神将攻击伤害增加2.4倍,0,1,-1,65536,240,7,-1,-1,-1,-1,-1,-1,0,0,0,0,
4100092,玄帝之力,7COMBO以上，本方水属性神将攻击伤害增加2倍,0,2,-1,65536,200,7,-1,-1,-1,-1,-1,-1,0,0,0,0,
4100093,玄帝神光,7COMBO以上，本方水属性神将攻击伤害增加2.4倍,0,2,-1,65536,240,7,-1,-1,-1,-1,-1,-1,0,0,0,0,
4100094,苍帝之力,7COMBO以上，本方木属性神将攻击伤害增加2倍,0,4,-1,65536,200,7,-1,-1,-1,-1,-1,-1,0,0,0,0,
4100095,苍帝神光,7COMBO以上，本方木属性神将攻击伤害增加2.4倍,0,4,-1,65536,240,7,-1,-1,-1,-1,-1,-1,0,0,0,0,
4100096,白帝之力,7COMBO以上，本方光属性神将攻击伤害增加2倍,0,8,-1,65536,200,7,-1,-1,-1,-1,-1,-1,0,0,0,0,
4100097,白帝神光,7COMBO以上，本方光属性神将攻击伤害增加2.4倍,0,8,-1,65536,240,7,-1,-1,-1,-1,-1,-1,0,0,0,0,
4100098,麒麟之力,7COMBO以上，本方暗属性神将攻击伤害增加2倍,0,16,-1,65536,200,7,-1,-1,-1,-1,-1,-1,0,0,0,0,
4100099,麒麟神光,7COMBO以上，本方暗属性神将攻击伤害增加2.4倍,0,16,-1,65536,240,7,-1,-1,-1,-1,-1,-1,0,0,0,0,
5100064,树界护盾,本方神将受到敌方火属性神将的攻击伤害稍微减少,0,-1,-1,2,85,1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
5100065,树界守卫,本方神将受到敌方火属性神将的攻击伤害减少,0,-1,-1,2,75,1,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
5100066,烈焰护盾,本方神将受到敌方水属性神将的攻击伤害稍微减少,0,-1,-1,2,85,2,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
5100067,烈焰守卫,本方神将受到敌方水属性神将的攻击伤害减少,0,-1,-1,2,75,2,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
5100068,漩涡护盾,本方神将受到敌方木属性神将的攻击伤害稍微减少,0,-1,-1,2,85,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
5100069,漩涡守卫,本方神将受到敌方木属性神将的攻击伤害减少,0,-1,-1,2,75,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100001,齐心合力,(四星开启)3COMBO以上，本方攻击加成1.4倍,0,-1,-1,65536,100,3,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100005,烈焰回息,(四星开启)每5回合本方火属性单位HP回复15%,0,-1,-1,65536,100,3,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
6100008,寒冰回息,(四星开启)每5回合本方水属性单位HP回复15%,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
6100011,大地回息,(四星开启)每5回合本方木属性单位HP回复15%,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
6100014,光辉回息,(四星开启)每5回合本方光属性单位HP回复15%,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
6100017,暗影回息,(四星开启)每5回合本方暗属性单位HP回复15%,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,particle/ui_jiaxue,
6100019,天王之触,(四星开启)6COMBO以上，本方攻击伤害加成1.5倍,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100022,龙血术,(四星开启)本方受到敌人的攻击伤害稍微减少,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100027,天降横财,(四星开启)击败神将获得2倍的银币数（无法战斗的情况下仍然发挥效果）,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100028,争霸达人,(四星开启)击败神将获得2倍的争霸令（无法战斗的情况下仍然发挥效果）,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100029,经验达人,(四星开启)击败神将获得1.5倍的经验数（无法战斗的情况下仍然发挥效果）,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100024,战鼓,(四星开启)6COMBO以上，本方攻击伤害加成1.5倍,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100040,光之觉醒,(四星开启)本方光属性神将触发暴击时，伤害增加4倍,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100042,冥之觉醒,(四星开启)本方暗属性神将触发暴击时，伤害增加4倍,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100044,火焰无双,(四星开启)4COMBO以上，本方火属性神将攻击伤害增加1.8倍,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100046,湍流无双,(四星开启)4COMBO以上，本方水属性神将攻击伤害增加1.8倍,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100048,落英无双,(四星开启)4COMBO以上，本方木属性神将攻击伤害增加1.8倍,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100050,乾坤无双,(四星开启)4COMBO以上，本方光属性神将攻击伤害增加1.8倍,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100052,幽冥无双,(四星开启)4COMBO以上，本方暗属性神将攻击伤害增加1.8倍,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100090,炎帝之力,(四星开启)7COMBO以上，本方火属性神将攻击伤害增加2倍,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,0,0,0,0,
6100092,玄帝之力,(四星开启)7COMBO以上，本方水属性神将攻击伤害增加2倍,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,0,0,0,0,
6100094,苍帝之力,(四星开启)7COMBO以上，本方木属性神将攻击伤害增加2倍,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,0,0,0,0,
6100096,白帝之力,(四星开启)7COMBO以上，本方光属性神将攻击伤害增加2倍,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,0,0,0,0,
6100098,麒麟之力,(四星开启)7COMBO以上，本方暗属性神将攻击伤害增加2倍,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,0,0,0,0,
6100064,树界护盾,(四星开启)本方神将受到敌方火属性神将的攻击伤害稍微减少,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100066,烈焰护盾,(四星开启)本方神将受到敌方水属性神将的攻击伤害稍微减少,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100068,漩涡护盾,(四星开启)本方神将受到敌方木属性神将的攻击伤害稍微减少,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100070,圣天护盾,(四星开启)本方神将受到敌方暗属性神将的攻击伤害稍微减少,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
6100072,堕天护盾,(四星开启)本方神将受到敌方光属性神将的攻击伤害稍微减少,0,-1,-1,65536,100,4,-1,-1,-1,-1,-1,-1,particle/ui_qishou,0,particle/ui_shoubuff,0,
