id,type,step,gupr,compose_need_num,name,icon,desc,atk,hp,def
81203,2,3,81204,3,暗淡的绿宝石,81203,[colorindex:colorIndex=0]3级血量宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗3级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗4级宝石,0,200,0
81204,2,4,81205,3,普通的绿宝石,81204,[colorindex:colorIndex=0]4级血量宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗4级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗5级宝石,0,400,0
81205,2,5,81206,3,切割的绿宝石,81205,[colorindex:colorIndex=0]5级血量宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗5级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗6级宝石,0,800,0
81206,2,6,81207,3,抛光的绿宝石,81206,[colorindex:colorIndex=0]6级血量宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗6级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗7级宝石,0,1600,0
81207,2,7,81208,3,闪耀的绿宝石,81207,[colorindex:colorIndex=0]7级血量宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗7级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗8级宝石,0,3200,0
81208,2,8,81209,3,无瑕的绿宝石,81208,[colorindex:colorIndex=0]8级血量宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗8级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗9级宝石,0,6400,0
81209,2,9,81210,3,完美的绿宝石,81209,[colorindex:colorIndex=0]9级血量宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗9级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗10级宝石,0,12800,0
81210,2,10,0,3,不朽的绿宝石,81210,[colorindex:colorIndex=0]10级血量宝石[endl:num=1][colorindex:colorIndex=3]宝石已达最高等级[colorindex:colorIndex=0],0,25600,0
81301,3,1,81302,3,碎裂的黄宝石,81301,[colorindex:colorIndex=0]1级防御宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗1级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗2级宝石,0,0,10
81302,3,2,81303,3,晦暗的黄宝石,81302,[colorindex:colorIndex=0]2级防御宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗2级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗3级宝石,0,0,20
81303,3,3,81304,3,暗淡的黄宝石,81303,[colorindex:colorIndex=0]3级防御宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗3级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗4级宝石,0,0,40
81304,3,4,81305,3,普通的黄宝石,81304,[colorindex:colorIndex=0]4级防御宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗4级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗5级宝石,0,0,80
81305,3,5,81306,3,切割的黄宝石,81305,[colorindex:colorIndex=0]5级防御宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗5级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗6级宝石,0,0,160
81306,3,6,81307,3,抛光的黄宝石,81306,[colorindex:colorIndex=0]6级防御宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗6级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗7级宝石,0,0,320
81307,3,7,81308,3,闪耀的黄宝石,81307,[colorindex:colorIndex=0]7级防御宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗7级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗8级宝石,0,0,640
81308,3,8,81309,3,无瑕的黄宝石,81308,[colorindex:colorIndex=0]8级防御宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗8级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗9级宝石,0,0,1280
81309,3,9,81310,3,完美的黄宝石,81309,[colorindex:colorIndex=0]9级防御宝石[endl:num=1][colorindex:colorIndex=3]3[colorindex:colorIndex=0]颗9级宝石可合成[colorindex:colorIndex=3]1[colorindex:colorIndex=0]颗10级宝石,0,0,2560
81310,3,10,0,3,不朽的黄宝石,81310,[colorindex:colorIndex=0]10级防御宝石[endl:num=1][colorindex:colorIndex=3]宝石已达最高等级[colorindex:colorIndex=0],0,0,5120
