id,vip_level1,type|itemID|amount1,vip_level2,type|itemID|amount2,vip_level3,type|itemID|amount3,vip_level4,type|itemID|amount4,vip_level5,type|itemID|amount5,vip_level6,type|itemID|amount6,vip_level7,type|itemID|amount7,vip_level8,type|itemID|amount8,vip_level9,type|itemID|amount9,vip_level10,type|itemID|amount10,vip_level11,type|itemID|amount11,vip_level12,type|itemID|amount12
16,1,8|8|120000,1,8|8|120000,1,8|8|120000,1,8|8|120000,1,8|8|120000,1,8|8|120000,1,8|8|120000,1,8|8|120000,1,8|8|120000,1,8|8|120000,1,8|8|120000,1,8|8|120000
17,7,14|21000362|20,7,14|21000362|20,7,14|21000362|20,7,14|21000362|20,7,14|21000362|20,7,14|21000362|20,7,14|21000362|20,7,14|21000362|20,7,14|21000362|20,7,14|21000362|20,7,14|21000362|20,7,14|21000362|20
18,2,2|2|160,2,2|2|160,2,2|2|160,2,2|2|160,2,2|2|160,2,2|2|160,2,2|2|160,2,2|2|160,2,2|2|160,2,2|2|160,2,2|2|160,2,2|2|160
19,-1,16|16|25000,-1,16|16|25000,-1,16|16|25000,-1,16|16|25000,-1,16|16|25000,-1,16|16|25000,-1,16|16|25000,-1,16|16|25000,-1,16|16|25000,-1,16|16|25000,-1,16|16|25000,-1,16|16|25000
20,3,5|5|350,3,5|5|350,3,5|5|350,3,5|5|350,3,5|5|350,3,5|5|350,3,5|5|350,3,5|5|350,3,5|5|350,3,5|5|350,3,5|5|350,3,5|5|350
21,1,8|8|150000,1,8|8|150000,1,8|8|150000,1,8|8|150000,1,8|8|150000,1,8|8|150000,1,8|8|150000,1,8|8|150000,1,8|8|150000,1,8|8|150000,1,8|8|150000,1,8|8|150000
22,8,14|21000362|25,8,14|21000362|25,8,14|21000362|25,8,14|21000362|25,8,14|21000362|25,8,14|21000362|25,8,14|21000362|25,8,14|21000362|25,8,14|21000362|25,8,14|21000362|25,8,14|21000362|25,8,14|21000362|25
23,2,2|2|180,2,2|2|180,2,2|2|180,2,2|2|180,2,2|2|180,2,2|2|180,2,2|2|180,2,2|2|180,2,2|2|180,2,2|2|180,2,2|2|180,2,2|2|180
24,-1,16|16|30000,-1,16|16|30000,-1,16|16|30000,-1,16|16|30000,-1,16|16|30000,-1,16|16|30000,-1,16|16|30000,-1,16|16|30000,-1,16|16|30000,-1,16|16|30000,-1,16|16|30000,-1,16|16|30000
25,3,5|5|400,3,5|5|400,3,5|5|400,3,5|5|400,3,5|5|400,3,5|5|400,3,5|5|400,3,5|5|400,3,5|5|400,3,5|5|400,3,5|5|400,3,5|5|400
26,1,8|8|200000,1,8|8|200000,1,8|8|200000,1,8|8|200000,1,8|8|200000,1,8|8|200000,1,8|8|200000,1,8|8|200000,1,8|8|200000,1,8|8|200000,1,8|8|200000,1,8|8|200000
27,9,14|21000362|30,9,14|21000362|30,9,14|21000362|30,9,14|21000362|30,9,14|21000362|30,9,14|21000362|30,9,14|21000362|30,9,14|21000362|30,9,14|21000362|30,9,14|21000362|30,9,14|21000362|30,9,14|21000362|30
28,2,2|2|200,2,2|2|200,2,2|2|200,2,2|2|200,2,2|2|200,2,2|2|200,2,2|2|200,2,2|2|200,2,2|2|200,2,2|2|200,2,2|2|200,2,2|2|200
29,-1,16|16|40000,-1,16|16|40000,-1,16|16|40000,-1,16|16|40000,-1,16|16|40000,-1,16|16|40000,-1,16|16|40000,-1,16|16|40000,-1,16|16|40000,-1,16|16|40000,-1,16|16|40000,-1,16|16|40000
30,3,5|5|500,3,5|5|500,3,5|5|500,3,5|5|500,3,5|5|500,3,5|5|500,3,5|5|500,3,5|5|500,3,5|5|500,3,5|5|500,3,5|5|500,3,5|5|500
31,1,8|8|300000,1,8|8|300000,1,8|8|300000,1,8|8|300000,1,8|8|300000,1,8|8|300000,1,8|8|300000,1,8|8|300000,1,8|8|300000,1,8|8|300000,1,8|8|300000,1,8|8|300000
