eid,ename,ekind,ecolor,ATK,AGU,AGV,HP,HGU,HGV,DEF,DGU,DGV,EVA,EGU,EGV,CRI,CGU,CGV,eq,iconid,picid,value,pnum,issuit,isexclusive,desc,attr_id
10049,朱雀旗,1,5,588,9.8,97,0,0,0,0,0,0,0,0,0,0,0,0,149,710037,0,17360,100,26,29,火神之物，内有天地初生时的朱雀灵，烬世间万物,30203
10050,诛天·厉,1,5,600,10,100,0,0,0,0,0,0,0,0,0,0,0,0,152,710038,0,18000,100,9,30,状如刀形玉笙，是司天之厉与五残，后由西池王母保管,30203
10051,弄象如意,1,5,595,9.9,99,0,0,0,0,0,0,0,0,0,0,0,0,151,710039,0,17800,100,5,31,三十六品净世青莲所化，掌管四象,30203
10052,诛仙,1,5,620,10,101,0,0,0,0,0,0,0,0,0,0,0,0,153,710040,0,18200,100,25,32,“非铜非铁亦非钢，曾在须弭山下藏；不用阴阳颠倒炼，岂无水火淬锋芒？”,30203
10053,黄泉狱判,1,5,588,9.8,97,0,0,0,0,0,0,0,0,0,0,0,0,149,710053,0,17360,100,16,33,以黄泉为墨，天骨为杆，生魂为毫，写世间万物生死,30203
20001,布衣,2,2,0,0,0,150,2.4,53,0,0,0,0,0,0,0,0,0,28,720001,0,1440,0,23,34,普通的布衣，百姓平常生活穿着,30203
20002,披风,2,2,0,0,0,145,2.4,52,0,0,0,0,0,0,0,0,0,27,720002,0,1320,0,0,0,以较好的丝料制成，闯荡江湖必备,30203
20003,藤甲,2,2,0,0,0,145,2.4,52,0,0,0,0,0,0,0,0,0,27,720003,0,1320,0,0,0,藤条编织成的轻甲，能起到较好的耐久效果,30203
20004,皮衣,2,2,0,0,0,149,2.4,53,0,0,0,0,0,0,0,0,0,28,720004,0,1440,0,0,0,兽皮制的衣服，御寒能力相对不错,30203
20005,银板甲,2,2,0,0,0,152,2.4,54,0,0,0,0,0,0,0,0,0,29,720005,0,1560,0,0,0,军营二等品，士兵才会穿的保命装备,30203
20006,紧身衣,2,2,0,0,0,158,2.5,55,0,0,0,0,0,0,0,0,0,30,720006,0,1680,0,0,0,紧身到没朋友的衣服,30203
20007,熊皮短褂,2,2,0,0,0,165,2.5,56,0,0,0,0,0,0,0,0,0,31,720007,0,1800,0,6,35,熊皮制成的短褂，非猛男莫属,30203
20008,锁子甲,2,2,0,0,0,170,2.6,57,0,0,0,0,0,0,0,0,0,32,720008,0,1960,0,11,36,战场上常用的战甲，有着不错的耐久力,30203
20009,豹纹披风,2,2,0,0,0,160,2.5,55,0,0,0,0,0,0,0,0,0,30,720009,0,1680,0,0,0,穿这么嚣张的披风估计会招来横祸,30203
20010,方天羽衫,2,3,0,0,0,230,4.7,75,0,0,0,0,0,0,0,0,0,42,720010,0,3320,20,17,37,使用南飞大雁掉落的羽毛作为装饰的短衫,30203
20011,兽锦袍,2,3,0,0,0,235,4.8,76,0,0,0,0,0,0,0,0,0,43,720011,0,3440,20,0,0,多种珍奇异兽皮毛织成的短袍，非常珍贵,30203
20012,晴光衣,2,3,0,0,0,245,4.8,78,0,0,0,0,0,0,0,0,0,45,720012,0,3760,20,8,38,万千金丝交织而成，富贵人家都会收藏一件,30203
20017,瘟癀裘,2,3,0,0,0,240,4.8,77,0,0,0,0,0,0,0,0,0,44,720013,0,3600,20,1,39,用噬鬼貂的皮毛加工而成，有少许瘟癀之气,30203
20014,护心镜,2,3,0,0,0,248,4.9,79,0,0,0,0,0,0,0,0,0,46,720014,0,3880,20,0,0,有着非常高的护身作用，一般只有在高级将领和帝王的盔甲上才能找到,30203
20015,罗汉袍,2,3,0,0,0,244,4.8,78,0,0,0,0,0,0,0,0,0,45,720015,0,3760,20,0,40,高僧用的衣服，聆听了几十年的佛经，可以静心凝神,30203
20016,扫霞衣,2,3,0,0,0,247,4.9,79,0,0,0,0,0,0,0,0,0,46,720016,0,3880,20,0,41,用天蚕丝织成的衣服，上有很多云霞图案,30203
20013,天师法袍,2,3,0,0,0,253,5,81,0,0,0,0,0,0,0,0,0,48,720017,0,4200,20,2,42,天师们的标准装配，也有人穿来招摇撞骗,30203
20018,星宿袍,2,3,0,0,0,250,4.9,80,0,0,0,0,0,0,0,0,0,47,720018,0,4040,20,0,0,每晚都以在星空下吸收灵气的衣袍,30203
20019,逍遥软甲,2,3,0,0,0,254,5,81,0,0,0,0,0,0,0,0,0,48,720019,0,4200,20,14,43,乌金制成，是江湖人士最爱的软甲,30203
20020,通天武铠,2,4,0,0,0,404,9.2,123,0,0,0,0,0,0,0,0,0,91,720020,0,10760,50,13,44,正中有一颗硕大的灵珠，为铠甲提供源源不断的灵力,30203
20021,兽面连环甲,2,3,0,0,0,260,5,82,0,0,0,0,0,0,0,0,0,49,720021,0,4360,20,0,45,肩甲和胸甲部分都有凶恶的兽面，有惊摄敌人的作用,30203
20022,太极蟒纹袍,2,4,0,0,0,402,9.1,120,0,0,0,0,0,0,0,0,0,90,720022,0,10560,50,19,46,道家的太极袍上纹有蟒纹袍，使得庄重的法袍有了神秘感,30203
20023,神谕披风,2,3,0,0,0,263,5.1,83,0,0,0,0,0,0,0,0,0,50,720023,0,4520,20,15,47,受到神谕祝福的披风，能抵御绝大部分伤害,30203
20024,避火胄,2,3,0,0,0,266,5.2,84,0,0,0,0,0,0,0,0,0,51,720024,0,4680,20,0,48,麒麟火烧铸而成的甲胄，有避火之用,30203
20025,玄火兜,2,3,0,0,0,270,5.3,85,0,0,0,0,0,0,0,0,0,52,720025,0,4800,20,0,49,虽然是小肚兜的样子，却是连阳火都难以烧坏的灵宝,30203
20026,转轮铠,2,4,0,0,0,391,8.9,118,0,0,0,0,0,0,0,0,0,87,720026,0,10000,50,24,50,铠甲带有轮回之力，能将受到的伤害返回,30203
20027,九龙云生胄,2,4,0,0,0,392,8.9,118,0,0,0,0,0,0,0,0,0,87,720027,0,10000,50,12,51,以龙之九子力魄喂养云生兽，后将其制成的胄甲,30203
20028,水月镜袍,2,4,0,0,0,394,9,119,0,0,0,0,0,0,0,0,0,88,720028,0,10200,50,22,52,水月如镜，倒射世间一切因缘恩怨,30203
20029,三清法袍,2,4,0,0,0,395,9,119,0,0,0,0,0,0,0,0,0,88,720029,0,10200,50,21,53,三清境者，法袍加身；乾坤玲珑，尽归于一,30203
20030,赤练仙衣,2,4,0,0,0,396,9,119,0,0,0,0,0,0,0,0,0,88,720030,0,10200,50,20,54,道家灵宝，妆若赤练，缠绕肩上，刀枪不入,30203
20031,太仪仙篆,2,4,0,0,0,400,9.1,120,0,0,0,0,0,0,0,0,0,89,720031,0,10360,50,3,55,太极袍炼化千年，终得仙篆印身，画太极生两仪，能御乾坤,30203
20032,七星袍,2,4,0,0,0,405,9.2,122,0,0,0,0,0,0,0,0,0,91,720032,0,10760,50,4,56,七星直指天罡，炼化星辰而成仙袍，避生杀恶煞,30203
20033,楼桑梵甲,2,4,0,0,0,403,9.1,121,0,0,0,0,0,0,0,0,0,90,720033,0,10560,50,18,57,楼桑者，千层御，合为一,30203
20034,毗卢法衣,2,4,0,0,0,399,9.1,120,0,0,0,0,0,0,0,0,0,89,720034,0,10360,50,7,58,大日如来修行时的僧衣，藏于灵山,30203
20035,混天绫,2,4,0,0,0,401,9.1,120,0,0,0,0,0,0,0,0,0,89,720035,0,10360,50,10,59,混天数，缚天干，红锦绫中福天下,30203
20036,神醉梦迷,2,5,0,0,0,600,14,150,0,0,0,0,0,0,0,0,0,148,720036,0,15920,100,25,60,神也会醉生梦死？唱一曲“玉膏结仙酿，神威醉梦迷”,30203
20037,天罡盘龙,2,5,0,0,0,605,14,151,0,0,0,0,0,0,0,0,0,149,720037,0,16120,100,26,0,取天罡之力，缚龙魂制成，破生杀恶煞,30203
20038,九泉·雾甲,2,5,0,0,0,615,14.1,153,0,0,0,0,0,0,0,0,0,151,720038,0,16520,100,27,61,山魂为针，云雾为丝，集混沌灵气炼成，谓者脚踏实地,30203
20039,龙象法袍,2,5,0,0,0,610,14,152,0,0,0,0,0,0,0,0,0,150,720039,0,16320,100,5,62,三十六品净世青莲子炼成，加之龙象精血画符，龙象若现,30203
20040,诛天·庆云,2,5,0,0,0,620,14.1,154,0,0,0,0,0,0,0,0,0,152,720040,0,16720,100,9,63,盘古心中的浩然正气所化，谓者顶天立地,30203
20041,幽都狱袍,2,4,0,0,0,410,9.3,122,0,0,0,0,0,0,0,0,0,92,720041,0,10920,50,16,64,十殿阎罗专用的官袍，由无数生魂聚炼而成,30203
30001,布帽,3,2,0,0,0,0,0,0,39,1,24,0,0,0,0,0,0,28,730001,0,1440,0,23,65,小孩子和小二专用，戴起来还算暖和,30203
30002,青笠,3,2,0,0,0,0,0,0,37,1,23,0,0,0,0,0,0,27,730002,0,1320,0,0,0,竹篾或棕皮编制，百姓用来遮阳挡雨的帽子,30203
30003,青铜箍,3,2,0,0,0,0,0,0,43,1,26,0,0,0,0,0,0,30,730003,0,1680,0,6,66,青铜做成的发箍，无论男女戴起来都不好看,30203
30004,纶巾,3,2,0,0,0,0,0,0,40,1,25,0,0,0,0,0,0,29,730004,0,1560,0,11,67,丝绸织成的发巾，看起来要高大上一点,30203
30005,紫金冠,3,4,0,0,0,0,0,0,250,3,58,0,0,0,0,0,0,91,730005,0,9800,50,12,68,又名太子盔，多用于王子及年少的将领,30203
30011,瘟癀帽,3,3,0,0,0,0,0,0,118,1.4,38,0,0,0,0,0,0,47,730006,0,4040,20,1,69,用青色鳞片制成的帽子，不知道是什么生物的鳞片,30203
30007,太极冠,3,4,0,0,0,0,0,0,245,2.8,55,0,0,0,0,0,0,89,730007,0,9440,50,19,70,诗圣佩戴过的冠帽，用琉璃珠辅以上品蚕丝编织而成,30203
30008,逍遥笠,3,3,0,0,0,0,0,0,119,1.4,39,0,0,0,0,0,0,48,730008,0,4200,20,14,71,笠沿有一行小字：垂钓枯江边，逍遥过神仙,30203
30009,晴光帽,3,3,0,0,0,0,0,0,120,1.4,40,0,0,0,0,0,0,49,730009,0,4360,20,8,72,据说有一只萌萌哒小玄灵附身在这个帽子上,30203
30010,方天箍,3,3,0,0,0,0,0,0,121,1.4,41,0,0,0,0,0,0,50,730010,0,4520,20,17,73,金箍的仿制品，箍环成一方天地,30203
30006,天师帽,3,3,0,0,0,0,0,0,120,1.5,42,0,0,0,0,0,0,51,730011,0,4680,20,2,74,天师用的帽子，高高的像个砖头,30203
30012,通天冠,3,4,0,0,0,0,0,0,246,2.8,57,0,0,0,0,0,0,90,730012,0,9640,50,13,75,又称高山冠，是古时皇帝戴的一种帽子,30203
30013,班吒帽,3,3,0,0,0,0,0,0,119,1.4,39,0,0,0,0,0,0,48,730013,0,4200,20,0,76,佛门高僧带的普通的冠帽,30203
30014,神谕百草冠,3,3,0,0,0,0,0,0,123,1.6,43,0,0,0,0,0,0,52,730014,0,4800,20,15,77,仙草织成的冠帽，有种淡淡的檀香味,30203
30015,毗卢佛帽,3,4,0,0,0,0,0,0,245,2.9,56,0,0,0,0,0,0,90,730015,0,9640,50,7,78,高僧入佛时需要佩戴的佛帽，黄檗僧之帽,30203
30016,七星冠,3,4,0,0,0,0,0,0,250,3.1,60,0,0,0,0,0,0,94,730016,0,10360,50,4,79,冠上镶七星，有星辰缩影于其上,30203
30017,水月珠冠,3,4,0,0,0,0,0,0,247,2.9,57,0,0,0,0,0,0,91,730017,0,9800,50,22,80,鲛人哭泣后的泪形成的宝珠，嵌在天丝织成的冠帽而成,30203
30018,楼桑木兜,3,4,0,0,0,0,0,0,245,2.9,56,0,0,0,0,0,0,90,730018,0,9640,50,18,81,兜巾上有沉香木屑做装饰，无时无刻不在吸收天地灵气,30203
30019,虚灵纶巾,3,4,0,0,0,0,0,0,248,3,58,0,0,0,0,0,0,92,730019,0,10000,50,10,82,纶巾缚灵，虚空莫测,30203
30020,三清玉穗,3,4,0,0,0,0,0,0,249,3,59,0,0,0,0,0,0,93,730020,0,10200,50,21,83,三十三天外带入凡间的穗帽，有不凡的凝神作用,30203
30021,太仪云霓,3,4,0,0,0,0,0,0,250,3.1,60,0,0,0,0,0,0,94,730021,0,10360,50,3,84,织女用云霓织成的帽子，后被太上老君重新炼制而成,30203
30022,赤纹素帽,3,4,0,0,0,0,0,0,251,3.1,61,0,0,0,0,0,0,95,730022,0,10560,50,20,85,赤纹者，冥域大魔，取其肤纹以成此帽,30203
30023,龙襄冥冠,3,5,0,0,0,0,0,0,394,5,80,0,0,0,0,0,0,149,730023,0,15920,100,5,132,孔宣取北冥狱海的戾气制成的冥冠，但这龙襄之名取自？,30203
30024,诛天·碎星,3,5,0,0,0,0,0,0,400,5,81,0,0,0,0,0,0,150,730024,0,16120,100,9,86,洪荒异兽吞噬星空后，鸿钧用其头尾炼制成此兜帽,30203
30025,梵天狱珞,3,5,0,0,0,0,0,0,405,5.1,82,0,0,0,0,0,0,151,730025,0,16320,100,16,87,与玉皇大帝戴的珠珞同出一源，坠入冥狱而成,30203
40001,木屐,4,2,0,0,0,146,2.5,55,0,0,0,0,0,0,0,0,0,27,740001,0,1320,0,11,88,洗澡时用的木屐,30203
40002,草鞋,4,2,0,0,0,145,2.5,55,0,0,0,0,0,0,0,0,0,27,740002,0,1320,0,0,0,干茅草编织而成，,30203
40003,布鞋,4,2,0,0,0,150,2.5,56,0,0,0,0,0,0,0,0,0,28,740003,0,1440,0,23,89,平常人家穿的鞋子,30203
40004,鹿皮靴,4,2,0,0,0,155,2.5,58,0,0,0,0,0,0,0,0,0,29,740004,0,1560,0,6,90,百姓出游时会穿的鞋子，质量比较好,30203
40005,楼桑软靴,4,4,0,0,0,400,8.9,119,0,0,0,0,0,0,0,0,0,90,740005,0,9640,50,18,91,华胥天，楼桑之工制成的软鞋，乃天国之物,30203
40006,逍遥荆鞋,4,3,0,0,0,240,4.9,79,0,0,0,0,0,0,0,0,0,45,740006,0,3760,20,14,92,雨荆编织成的凉鞋，能踏青云,30203
40011,瘟癀靴,4,3,0,0,0,245,5,80,0,0,0,0,0,0,0,0,0,46,740007,0,3880,20,1,93,阴灵爱穿的布靴，有些许瘟癀之气,30203
40008,方天靴,4,3,0,0,0,244,5,80,0,0,0,0,0,0,0,0,0,46,740008,0,3880,20,17,94,以黄风草编织成，能御一方天地,30203
40009,晴光宝鞋,4,3,0,0,0,248,5,80,0,0,0,0,0,0,0,0,0,47,740009,0,4040,20,8,95,吸收了百年晴光的鞋子，有疗足功效,30203
40010,神谕草鞋,4,3,0,0,0,255,5.1,82,0,0,0,0,0,0,0,0,0,49,740010,0,4360,20,15,96,仙草织成的鞋，能使人举重若轻,30203
40007,天师靴,4,3,0,0,0,253,5.1,82,0,0,0,0,0,0,0,0,0,49,740011,0,4360,20,2,97,天师穿的靴子，没有什么特别的,30203
40012,通天履,4,4,0,0,0,398,8.8,116,0,0,0,0,0,0,0,0,0,88,740012,0,9240,50,13,98,电纹其上，能踩云霞，御之可通天,30203
40013,三清涤焰履,4,4,0,0,0,400,8.9,119,0,0,0,0,0,0,0,0,0,89,740013,0,9440,50,21,99,取三十三清天云霞，以老君炉火炼成,30203
40014,太极华履,4,4,0,0,0,408,9,120,0,0,0,0,0,0,0,0,0,92,740014,0,10000,50,19,100,太极生万，佛本是道,30203
40015,戾魂狱踏,4,4,0,0,0,401,8.9,117,0,0,0,0,0,0,0,0,0,89,740015,0,9440,50,16,101,据说是一种罕见的冥狱凶兽的足制成的,30203
40016,七星足环,4,4,0,0,0,412,9,120,0,0,0,0,0,0,0,0,0,92,740016,0,10000,50,4,102,七星连环，戴在脚上能孕养佩戴者的经络,30203
40017,水月冰轮,4,4,0,0,0,404,9.1,118,0,0,0,0,0,0,0,0,0,90,740017,0,9640,50,22,103,千年寒冰打造，状如明月，沁人心扉,30203
40018,九龙云生足,4,4,0,0,0,405,9,118,0,0,0,0,0,0,0,0,0,90,740018,0,9640,50,12,104,由云生兽的足蹄加以九龙之气炼制而成,30203
40019,赤翼履,4,4,0,0,0,406,9,118,0,0,0,0,0,0,0,0,0,90,740019,0,9640,50,20,105,看起来像是穷奇的翼一般，行万里不过一刹,30203
40020,毗卢脚环,4,4,0,0,0,410,9,119,0,0,0,0,0,0,0,0,0,91,740020,0,9800,50,7,106,佛门中的宝物，佛人戴上能悟大自在,30203
40021,太仪翎鞋,4,4,0,0,0,415,9,121,0,0,0,0,0,0,0,0,0,93,740021,0,10200,50,3,107,太极鞋辅以大明雀翎，汲取阴阳之气而成,30203
40022,风火轮,4,4,0,0,0,413,9.1,120,0,0,0,0,0,0,0,0,0,92,740022,0,10000,50,10,108,青鸾火凤所化，上天入地，一蹬九万里，双足十八万里,30203
40023,龙翔鳞靴,4,5,0,0,0,605,14,150,0,0,0,0,0,0,0,0,0,149,740023,0,16120,100,5,133,灵宝天尊以龙魂为体，龙鳞为饰炼成的至宝,30203
40024,神踪幻履,4,5,0,0,0,600,14,149,0,0,0,0,0,0,0,0,0,148,740024,0,15920,100,25,109,据说凡人脚踏此履，便是那神也看不清踪迹,30203
40025,天罡追日,4,5,0,0,0,610,14.1,151,0,0,0,0,0,0,0,0,0,150,740025,0,16320,100,26,110,夸父追日专用，不过此靴是诸神合力炼制的仿制品,30203
50001,金刚镯,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.5,28,750001,750001,1440,120,0,0,太上老君以锟钢抟炼，还丹点成，养就一身灵气，能套诸物,30203
50002,定风珠,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.5,27,750002,750002,1320,120,15,0,山度厄真人的法宝，能定世间所有风向风力,30203
50003,洛书,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.5,29,750003,750003,1560,120,17,0,一纸以藏天下，变化万千，能算前后五百年之事,30203
50004,混元珠,5,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.6,50,750004,750004,4520,220,19,0,大道所孕育出的无上宝物，乃混沌元气凝结所化,30203
50005,千佛镯,5,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.6,50,750005,750005,4520,220,0,0,千佛舍利铸就，佛法无边，回头是岸,30203
50006,七宝妙树,5,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.6,49,750006,750006,4360,220,4,111,准提道人的证道法器，以七种宝物炼制而成,30203
50007,河图,5,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.6,49,750007,750007,4360,220,24,0,一图以藏宇宙，变中有变，能算前后三千年之事,30203
50008,乾坤圈,5,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.7,92,750008,750008,10360,350,10,112,乾中有坤，坤乾循环，是以圈因果，得祸福,30203
50009,玲珑塔,5,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.6,48,750009,750009,4200,220,21,113,全名天地玄黄玲珑宝塔，乃盘古开天后无量玄黄之气所化,30203
50010,生死簿,5,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.7,90,750010,750010,10000,350,16,114,“阳世三间，积善作恶皆由你；古往今来，阴曹地府放过谁？”,30203
50011,翻天印,5,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.7,91,750011,750011,10200,350,18,115,元始天尊取被共工氏撞断掉的天柱碎石炼成，后传于广成子,30203
50012,乾坤尺,5,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.7,91,750012,750012,10360,350,22,129,内含乾坤一气，以世界阴阳乾坤合一形成，乃燃灯道人所持,30203
50013,宝莲灯,5,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.7,92,750013,750013,10360,350,7,116,天地未分时，万物混沌，女娲盗天火炼成宝莲灯以照亮天地,30203
50014,盘龙扁拐,5,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.7,93,750014,750014,10200,350,20,128,净世青莲一分为三，太上老君得其一，是为盘龙扁拐,30203
50015,伏羲琴,5,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.8,151,750015,750015,16720,500,5,117,以玉石加天丝所制造出的乐器，据说能支配万物心灵,30203
50016,九州鼎,5,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.8,152,750016,750016,16960,500,9,118,“普天之下，莫非王土；率土之滨，莫非王臣”,30203
50017,女娲石,5,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.8,150,750017,750017,16520,500,25,119,补天石剩余五彩石所化，集女娲万年修为于其中,30203
60001,仙鹿,6,2,0,0,0,0,0,0,0,0,0,2,0,0.2,0,0,0,28,760001,770001,1440,120,17,0,天上瑶光星散开时生成的瑞兽，有仙人骑白鹿，逐之若飞蓬之说,30203
60002,白象,6,2,0,0,0,0,0,0,0,0,0,2,0,0.2,0,0,0,27,760002,770002,1320,120,0,0,白象象征和平安宁，是许多菩萨都喜爱的坐骑,30203
60003,云鹤,6,2,0,0,0,0,0,0,0,0,0,2,0,0.2,0,0,0,29,760003,770003,1560,120,15,0,云鹤有奇翼，八表须臾还因其清奇骨格和气质，仙人多以云鹤做坐骑,30203
60004,玄龙马,6,4,0,0,0,0,0,0,0,0,0,4,0,0.33,0,0,0,94,760004,770004,10360,350,19,120,天地之精，其为形也，马身而龙鳞，故谓之龙马,30203
