id,type,data
13,2,"[[1,0,1,1],[5,0,1,5],[5,0,1,13],[5,0,1,6],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,360,-4],[4,16,85,-3],[4,11,3,-3],[2,1100051,1,0]]"
14,2,"[[1,0,1,1],[5,0,1,5],[5,0,1,13],[5,0,1,21],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,360,-4],[4,16,85,-3],[4,11,3,-3],[2,1100051,1,0]]"
15,2,"[[1,0,1,1],[5,0,1,5],[5,0,1,13],[5,0,1,24],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,360,-4],[4,16,85,-3],[4,11,3,-3],[2,1100051,1,0]]"
16,2,"[[1,0,1,1],[5,0,1,11],[5,0,1,13],[5,0,1,15],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,360,-4],[4,16,85,-3],[4,11,3,-3],[2,1100051,1,0]]"
17,2,"[[1,0,1,1],[5,0,1,20],[5,0,1,13],[5,0,1,21],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,360,-4],[4,16,85,-3],[4,11,3,-3],[2,1100051,1,0]]"
18,2,"[[1,0,1,1],[5,0,1,4],[5,0,1,13],[5,0,1,6],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,360,-4],[4,16,85,-3],[4,11,3,-3],[2,1100051,1,0]]"
19,2,"[[1,0,1,1],[5,0,1,6],[5,0,1,13],[5,0,1,20],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,360,-4],[4,16,85,-3],[4,11,3,-3],[2,1100051,1,0]]"
20,2,"[[1,0,1,1],[5,0,1,6],[5,0,1,13],[5,0,1,15],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,360,-4],[4,16,85,-3],[4,11,3,-3],[2,1100051,1,0]]"
21,1,"[[1,0,1,1],[5,0,1,3],[5,0,1,13],[5,0,1,11],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,1000,-3],[4,16,250,-3],[4,11,5,-2],[2,1100051,1,0]]"
22,1,"[[1,0,1,1],[5,0,1,2],[5,0,1,13],[5,0,1,21],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,1000,-3],[4,16,250,-3],[4,11,5,-2],[2,1100051,1,0]]"
23,1,"[[1,0,1,1],[5,0,1,5],[5,0,1,13],[5,0,1,6],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,1000,-3],[4,16,250,-3],[4,11,5,-2],[2,1100051,1,0]]"
24,1,"[[1,0,1,1],[5,0,1,5],[5,0,1,13],[5,0,1,21],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,1000,-3],[4,16,250,-3],[4,11,5,-2],[2,1100051,1,0]]"
25,1,"[[1,0,1,1],[5,0,1,5],[5,0,1,13],[5,0,1,24],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,1000,-3],[4,16,250,-3],[4,11,5,-2],[2,1100051,1,0]]"
26,1,"[[1,0,1,1],[5,0,1,11],[5,0,1,13],[5,0,1,15],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,1000,-3],[4,16,250,-3],[4,11,5,-2],[2,1100051,1,0]]"
27,1,"[[1,0,1,1],[5,0,1,20],[5,0,1,13],[5,0,1,21],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,1000,-3],[4,16,250,-3],[4,11,5,-2],[2,1100051,1,0]]"
28,1,"[[1,0,1,1],[5,0,1,4],[5,0,1,13],[5,0,1,6],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,1000,-3],[4,16,250,-3],[4,11,5,-2],[2,1100051,1,0]]"
29,1,"[[1,0,1,1],[5,0,1,6],[5,0,1,13],[5,0,1,20],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,1000,-3],[4,16,250,-3],[4,11,5,-2],[2,1100051,1,0]]"
30,1,"[[1,0,1,1],[5,0,1,6],[5,0,1,13],[5,0,1,15],[6,0,1,25],[3,5000023,1,0],[4,2,2,-3],[4,8,1000,-3],[4,16,250,-3],[4,11,5,-2],[2,1100051,1,0]]"
