id,name,type,init_hp,init_atk,init_def,init_cri,init_dodge,skill_choice,base_eff,gup_id,icon,piece_num,units_same,desc,attr_id
50054,扫射尾刺,5,100,32,0,0,0,1,104,34,550054,0,0,[colorindex:colorIndex=4]【木守宫】[colorindex:colorIndex=9]【森林蜥蜴】[colorindex:colorIndex=10]【蜥蜴王】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50055,波克比蛋,5,100,0,20,0,0,1,120,35,550055,50,355,[colorindex:colorIndex=4]【波克比】[colorindex:colorIndex=9]【波克基古】[colorindex:colorIndex=10]【波克基斯】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50056,乌克丽丽,5,0,32,20,0,0,3,144,36,550056,50,356,[colorindex:colorIndex=4]【皮丘】[colorindex:colorIndex=9]【皮卡丘】[colorindex:colorIndex=10]【雷丘】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50057,超能汤勺,5,100,32,0,0,0,2,104,37,550057,50,357,[colorindex:colorIndex=4]【凯西】[colorindex:colorIndex=9]【勇吉拉】[colorindex:colorIndex=10]【胡地】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50058,奇怪粘液,5,0,32,20,0,0,1,144,38,550058,0,0,[colorindex:colorIndex=4]【黏黏宝】[colorindex:colorIndex=9]【黏美伊儿】[colorindex:colorIndex=10]【黏美露龙】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50059,花花公子,5,100,0,20,0,0,2,120,39,550059,50,359,[colorindex:colorIndex=4]【鬼斯】[colorindex:colorIndex=9]【鬼斯通】[colorindex:colorIndex=10]【耿鬼】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50060,锅盖头发,5,100,0,20,0,0,1,120,40,550060,0,0,[colorindex:colorIndex=4]【单首龙】[colorindex:colorIndex=9]【双头龙】[colorindex:colorIndex=10]【三头龙】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50061,超新星,5,100,32,0,0,0,1,104,41,550061,60,361,[colorindex:colorIndex=4]【不死鸟】[colorindex:colorIndex=9]【凤王】[colorindex:colorIndex=10]【菲尼克斯】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50062,岩浆空间,5,0,32,20,0,0,3,144,42,550062,60,362,[colorindex:colorIndex=4]【席多蓝】[colorindex:colorIndex=9]【席多蓝恩】[colorindex:colorIndex=10]【岩浆巨兽】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50063,蔚蓝宝珠,5,100,32,0,0,0,1,104,43,550063,60,363,[colorindex:colorIndex=4]【洛亚鸟】[colorindex:colorIndex=9]【洛奇亚】[colorindex:colorIndex=10]【潮汐之灵】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50064,睫毛刷,5,0,32,20,0,0,2,144,44,550064,60,364,[colorindex:colorIndex=4]【霏米纳】[colorindex:colorIndex=9]【霏欧纳】[colorindex:colorIndex=10]【玛纳霏】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50065,芭蕾舞裙,5,100,0,20,0,0,2,120,45,550065,60,365,[colorindex:colorIndex=4]【拉鲁拉丝】[colorindex:colorIndex=9]【奇鲁莉安】[colorindex:colorIndex=10]【沙奈朵】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50066,时光蛋,5,100,32,0,0,0,3,104,46,550066,60,366,[colorindex:colorIndex=4]【雪拉比】[colorindex:colorIndex=9]【雪拉玛丝】[colorindex:colorIndex=10]【幻影使】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50067,最终幻想,5,100,32,0,0,0,1,104,47,550067,60,367,[colorindex:colorIndex=4]【超梦】[colorindex:colorIndex=9]【超梦X】[colorindex:colorIndex=10]【超梦Y】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50068,梦幻口琴,5,100,0,20,0,0,1,120,48,550068,50,368,[colorindex:colorIndex=4]【梦幻】[colorindex:colorIndex=9]【梦星灵】[colorindex:colorIndex=10]【宝可梦】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50069,噩梦仪,5,0,32,20,0,0,2,144,49,550069,50,369,[colorindex:colorIndex=4]【达克莱伊】[colorindex:colorIndex=9]【魇梦灵】[colorindex:colorIndex=10]【噩梦神】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50070,死神镰刀,5,100,32,0,0,0,2,104,50,550070,50,370,[colorindex:colorIndex=4]【利欧路】[colorindex:colorIndex=9]【路卡利欧】[colorindex:colorIndex=10]【阿努比斯】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50071,比蒙利爪,5,100,32,0,0,0,1,104,51,550071,80,371,[colorindex:colorIndex=4]【固拉多】[colorindex:colorIndex=9]【古拉奇】[colorindex:colorIndex=10]【盖亚多拉斯】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50072,矶龙卷,5,100,0,20,0,0,2,120,52,550072,80,372,[colorindex:colorIndex=4]【盖欧卡】[colorindex:colorIndex=9]【海皇牙】[colorindex:colorIndex=10]【矶龙卷】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50073,奥里斯之瞳,5,100,0,20,0,0,3,120,53,550073,80,373,[colorindex:colorIndex=4]【烈空坐】[colorindex:colorIndex=9]【天空龙】[colorindex:colorIndex=10]【奥西里斯】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50074,创世苦环,5,100,32,0,0,0,1,104,54,550074,80,374,[colorindex:colorIndex=4]【阿尔宙斯】[colorindex:colorIndex=9]【布利陀罗】[colorindex:colorIndex=10]【创世神】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50075,永恒原角,5,100,32,0,0,0,1,104,55,550075,80,375,[colorindex:colorIndex=4]【生命鹿】[colorindex:colorIndex=9]【哲尔尼亚斯】[colorindex:colorIndex=10]【泽尼亚斯X】[colorindex:colorIndex=0]的专属装备，同时也可作为装备进阶的材料,20103
50076,火焰羽毛,5,100,32,0,0,0,3,104,56,550076,50,376,[colorindex:colorIndex=4]【小火鸟】[colorindex:colorIndex=9]【火焰鸟】[colorindex:colorIndex=10]【红莲鸟】的专属装备，同时也可作为装备进阶的材料,20103
50077,急冻雪花,5,100,0,20,0,0,3,120,57,550077,50,377,[colorindex:colorIndex=4]【小冰鸟】[colorindex:colorIndex=9]【急冻鸟】[colorindex:colorIndex=10]【希摩鸟】的专属装备，同时也可作为装备进阶的材料,20103
50078,樱花戒,5,100,0,20,0,0,1,120,58,550078,50,378,[colorindex:colorIndex=4]【洁咪】[colorindex:colorIndex=9]【赛伊米】[colorindex:colorIndex=10]【霓虹鹿】的专属装备，同时也可作为装备进阶的材料,20103
50079,闪电盾,5,100,32,0,0,0,3,104,59,550079,50,379,[colorindex:colorIndex=4]【小雷鸟】[colorindex:colorIndex=9]【闪电鸟】[colorindex:colorIndex=10]【极光鸟】的专属装备，同时也可作为装备进阶的材料,20103
50080,八尺玉,5,100,32,0,0,0,3,104,60,550080,60,380,[colorindex:colorIndex=4]【鬼龙】[colorindex:colorIndex=9]【骑拉帝纳】[colorindex:colorIndex=10]【冥王龙】的专属装备，同时也可作为装备进阶的材料,20103
50081,炎龙心,5,100,32,0,0,0,2,104,61,550081,60,381,[colorindex:colorIndex=4]【噬火兽】[colorindex:colorIndex=9]【炎帝】[colorindex:colorIndex=10]【里奥火神】的专属装备，同时也可作为装备进阶的材料,20103
50082,北风冰瞳,5,100,0,20,0,0,2,120,62,550082,60,382,[colorindex:colorIndex=4]【北风狼】[colorindex:colorIndex=9]【水君】[colorindex:colorIndex=10]【阿涅弥伊】的专属装备，同时也可作为装备进阶的材料,20103
50083,基因核心,5,100,0,20,0,0,2,120,63,550083,60,383,[colorindex:colorIndex=4]【吉伽德】[colorindex:colorIndex=9]【基格尔德】[colorindex:colorIndex=10]【尼德霍格】的专属装备，同时也可作为装备进阶的材料,20103
50084,雷纹剑齿,5,0,32,20,0,0,1,144,64,550084,60,384,[colorindex:colorIndex=4]【吞电虎】[colorindex:colorIndex=9]【雷公】[colorindex:colorIndex=10]【罗刹雷皇】的专属装备，同时也可作为装备进阶的材料,20103
50085,电浆管,5,0,32,20,0,0,3,144,65,550085,60,385,[colorindex:colorIndex=4]【钢虫神】[colorindex:colorIndex=9]【盖诺赛克特】[colorindex:colorIndex=10]【灭世虫】的专属装备，同时也可作为装备进阶的材料,20103
50086,岩石之心,5,100,0,20,0,0,2,120,66,550086,50,386,[colorindex:colorIndex=4]【岩牛】[colorindex:colorIndex=9]【代拉基翁】[colorindex:colorIndex=10]【泰坦王】的专属装备，同时也可作为装备进阶的材料,20103
50087,蓝钢之心,5,100,0,20,0,0,3,120,67,550087,50,387,[colorindex:colorIndex=4]【钢羊】[colorindex:colorIndex=9]【勾帕路翁】[colorindex:colorIndex=10]【钢斗神】的专属装备，同时也可作为装备进阶的材料,20103
50088,草木之心,5,100,32,0,0,0,2,104,68,550088,50,388,[colorindex:colorIndex=4]【草鹿】[colorindex:colorIndex=9]【毕力吉翁】[colorindex:colorIndex=10]【毕力骑士】的专属装备，同时也可作为装备进阶的材料,20103
50089,焰白之心,5,0,32,20,0,0,2,144,69,550089,60,389,[colorindex:colorIndex=4]【白拉姆】[colorindex:colorIndex=9]【蒸汽龙】[colorindex:colorIndex=10]【雷希拉姆】的专属装备，同时也可作为装备进阶的材料,20103
50090,暗炎之心,5,0,32,20,0,0,2,144,70,550090,60,390,[colorindex:colorIndex=4]【黑罗姆】[colorindex:colorIndex=9]【电气龙】[colorindex:colorIndex=10]【捷克罗姆】的专属装备，同时也可作为装备进阶的材料,20103
50091,空间转盘,5,100,0,20,0,0,3,120,71,550091,60,391,[colorindex:colorIndex=4]【珍珠兽】[colorindex:colorIndex=9]【帕路奇亚】[colorindex:colorIndex=10]【空间神】的专属装备，同时也可作为装备进阶的材料,20103
50092,时间转轮,5,100,0,20,0,0,3,120,72,550092,60,392,[colorindex:colorIndex=4]【钻石兽】[colorindex:colorIndex=9]【帝牙卢卡】[colorindex:colorIndex=10]【时间神】的专属装备，同时也可作为装备进阶的材料,20103
50094,水晶鞋,5,100,0,20,0,0,2,120,74,550094,60,394,[colorindex:colorIndex=4]【迷唇女娃】[colorindex:colorIndex=9]【迷唇女郎】[colorindex:colorIndex=10]【迷唇舞娘】的专属装备，同时也可作为装备进阶的材料,20103
