id,droptype,,dropProb,itemtype,itemid ,price,timesLimit,producttype,productID,amount,openlevel
10306,3,彩虹百货,700,16,0,900,1,14,740004,3,15
10307,3,彩虹百货,700,16,0,900,1,14,750004,3,15
10308,3,彩虹百货,700,16,0,900,1,14,760004,3,15
10309,3,彩虹百货,700,16,0,900,1,14,770004,3,15
10310,3,彩虹百货,700,16,0,900,1,14,780004,3,15
10311,3,彩虹百货,400,16,0,2000,1,14,740005,1,40
10312,3,彩虹百货,400,16,0,2000,1,14,750005,1,40
10313,3,彩虹百货,400,16,0,2000,1,14,760005,1,40
10314,3,彩虹百货,400,16,0,2000,1,14,770005,1,40
10315,3,彩虹百货,400,16,0,2000,1,14,780005,1,40
10316,3,彩虹百货,200,16,0,15000,1,14,740006,1,75
10317,3,彩虹百货,200,16,0,15000,1,14,750006,1,75
10318,3,彩虹百货,200,16,0,15000,1,14,760006,1,75
10319,3,彩虹百货,200,16,0,15000,1,14,770006,1,75
10320,3,彩虹百货,200,16,0,15000,1,14,780006,1,75
10401,4,彩虹百货,400,16,0,400,1,3,1000301,1,0
10402,4,彩虹百货,400,16,0,400,1,3,1000302,1,0
10403,4,彩虹百货,400,16,0,400,1,3,1000303,1,0
10404,4,彩虹百货,400,16,0,400,1,3,1000304,1,0
10405,4,彩虹百货,400,16,0,400,1,3,1000305,1,0
10406,4,彩虹百货,400,16,0,400,1,3,1000306,1,0
10407,4,彩虹百货,400,16,0,400,1,3,1000307,1,0
10408,4,彩虹百货,400,16,0,400,1,3,1000308,1,0
10409,4,彩虹百货,400,16,0,400,1,3,1000309,1,0
10410,4,彩虹百货,400,16,0,400,1,3,1000310,1,0
10411,4,彩虹百货,400,16,0,400,1,3,1000311,1,0
10412,4,彩虹百货,400,16,0,400,1,3,1000312,1,0
10413,4,彩虹百货,400,16,0,400,1,3,1000313,1,0
10414,4,彩虹百货,400,16,0,400,1,3,1000314,1,0
10415,4,彩虹百货,400,16,0,400,1,3,1000315,1,0
10416,4,彩虹百货,200,16,0,3000,1,3,1000316,1,0
10417,4,彩虹百货,200,16,0,3000,1,3,1000317,1,0
10418,4,彩虹百货,200,16,0,3000,1,3,1000318,1,0
10419,4,彩虹百货,200,16,0,3000,1,3,1000319,1,0
10420,4,彩虹百货,200,16,0,3000,1,3,1000320,1,0
10421,4,彩虹百货,200,16,0,3000,1,3,1000321,1,0
10422,4,彩虹百货,200,16,0,3000,1,3,1000322,1,0
10423,4,彩虹百货,200,16,0,3000,1,3,1000323,1,0
10424,4,彩虹百货,200,16,0,3000,1,3,1000324,1,0
10425,4,彩虹百货,200,16,0,3000,1,3,1000325,1,0
10426,4,彩虹百货,200,16,0,3000,1,3,1000326,1,0
10427,4,彩虹百货,200,16,0,3000,1,3,1000327,1,0
10428,4,彩虹百货,200,16,0,3000,1,3,1000328,1,0
10429,4,彩虹百货,200,16,0,3000,1,3,1000329,1,0
10430,4,彩虹百货,200,16,0,3000,1,3,1000330,1,0
10431,4,彩虹百货,90,16,0,20000,1,3,1000331,1,0
10432,4,彩虹百货,90,16,0,20000,1,3,1000332,1,0
10433,4,彩虹百货,0,16,0,20000,1,3,1000333,1,0
10434,4,彩虹百货,0,16,0,20000,1,3,1000334,1,0
10435,4,彩虹百货,90,16,0,20000,1,3,1000335,1,0
10436,4,彩虹百货,90,16,0,20000,1,3,1000336,1,0
10437,4,彩虹百货,90,16,0,20000,1,3,1000337,1,0
10438,4,彩虹百货,90,16,0,20000,1,3,1000338,1,0
10439,4,彩虹百货,0,16,0,20000,1,3,1000339,1,0
10440,4,彩虹百货,90,16,0,20000,1,3,1000340,1,0
10441,4,彩虹百货,0,16,0,20000,1,3,1000341,1,0
10442,4,彩虹百货,90,16,0,20000,1,3,1000342,1,0
10443,4,彩虹百货,90,16,0,20000,1,3,1000343,1,0
10444,4,彩虹百货,90,16,0,20000,1,3,1000344,1,0
10445,4,彩虹百货,0,16,0,20000,1,3,1000345,1,0
10501,5,彩虹百货,400,16,0,400,1,3,1000301,1,0
10502,5,彩虹百货,400,16,0,400,1,3,1000302,1,0
10503,5,彩虹百货,400,16,0,400,1,3,1000303,1,0
10504,5,彩虹百货,400,16,0,400,1,3,1000304,1,0
10505,5,彩虹百货,400,16,0,400,1,3,1000305,1,0
10506,5,彩虹百货,400,16,0,400,1,3,1000306,1,0
10507,5,彩虹百货,400,16,0,400,1,3,1000307,1,0
10508,5,彩虹百货,400,16,0,400,1,3,1000308,1,0
10509,5,彩虹百货,400,16,0,400,1,3,1000309,1,0
10510,5,彩虹百货,400,16,0,400,1,3,1000310,1,0
10511,5,彩虹百货,400,16,0,400,1,3,1000311,1,0
10512,5,彩虹百货,400,16,0,400,1,3,1000312,1,0
10513,5,彩虹百货,400,16,0,400,1,3,1000313,1,0
10514,5,彩虹百货,400,16,0,400,1,3,1000314,1,0
10515,5,彩虹百货,400,16,0,400,1,3,1000315,1,0
10516,5,彩虹百货,200,16,0,3000,1,3,1000316,1,0
10517,5,彩虹百货,200,16,0,3000,1,3,1000317,1,0
10518,5,彩虹百货,200,16,0,3000,1,3,1000318,1,0
10519,5,彩虹百货,200,16,0,3000,1,3,1000319,1,0
10520,5,彩虹百货,200,16,0,3000,1,3,1000320,1,0
10521,5,彩虹百货,200,16,0,3000,1,3,1000321,1,0
10522,5,彩虹百货,200,16,0,3000,1,3,1000322,1,0
10523,5,彩虹百货,200,16,0,3000,1,3,1000323,1,0
10524,5,彩虹百货,200,16,0,3000,1,3,1000324,1,0
10525,5,彩虹百货,200,16,0,3000,1,3,1000325,1,0
10526,5,彩虹百货,200,16,0,3000,1,3,1000326,1,0
10527,5,彩虹百货,200,16,0,3000,1,3,1000327,1,0
10528,5,彩虹百货,200,16,0,3000,1,3,1000328,1,0
10529,5,彩虹百货,200,16,0,3000,1,3,1000329,1,0
10530,5,彩虹百货,200,16,0,3000,1,3,1000330,1,0
10601,6,彩虹百货,700,16,0,300,1,14,740003,3,1
10602,6,彩虹百货,700,16,0,300,1,14,750003,3,1
10603,6,彩虹百货,700,16,0,300,1,14,760003,3,1
10604,6,彩虹百货,700,16,0,300,1,14,770003,3,1
10605,6,彩虹百货,700,16,0,300,1,14,780003,3,1
10606,6,彩虹百货,700,16,0,900,1,14,740004,3,15
10607,6,彩虹百货,700,16,0,900,1,14,750004,3,15
10608,6,彩虹百货,700,16,0,900,1,14,760004,3,15
10609,6,彩虹百货,700,16,0,900,1,14,770004,3,15
10610,6,彩虹百货,700,16,0,900,1,14,780004,3,15
10611,6,彩虹百货,400,16,0,2000,1,14,740005,1,40
10612,6,彩虹百货,400,16,0,2000,1,14,750005,1,40
10613,6,彩虹百货,400,16,0,2000,1,14,760005,1,40
10614,6,彩虹百货,400,16,0,2000,1,14,770005,1,40
10615,6,彩虹百货,400,16,0,2000,1,14,780005,1,40
10616,6,彩虹百货,200,16,0,15000,1,14,740006,1,75
10617,6,彩虹百货,200,16,0,15000,1,14,750006,1,75
10618,6,彩虹百货,200,16,0,15000,1,14,760006,1,75
10619,6,彩虹百货,200,16,0,15000,1,14,770006,1,75
10620,6,彩虹百货,200,16,0,15000,1,14,780006,1,75
