id,relic_id,ranking,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4,type|itemID|amount5
1102,11,2|2,14|21000371|18,14|350071|18,0,0,0
1103,11,3|3,14|21000371|16,14|350071|16,0,0,0
1104,11,4|10,14|21000371|14,14|350071|14,0,0,0
1105,11,11|50,14|21000371|12,14|350071|12,0,0,0
1106,11,51|100,14|21000371|10,14|350071|10,0,0,0
1107,11,101|0,14|21000371|8,14|350071|8,0,0,0
1201,12,1|1,14|800023|1,14|21000372|20,14|350072|20,0,0
1202,12,2|2,14|21000372|18,14|350072|18,0,0,0
1203,12,3|3,14|21000372|16,14|350072|16,0,0,0
1204,12,4|10,14|21000372|14,14|350072|14,0,0,0
1205,12,11|50,14|21000372|12,14|350072|12,0,0,0
1206,12,51|100,14|21000372|10,14|350072|10,0,0,0
1207,12,101|0,14|21000372|8,14|350072|8,0,0,0
1301,13,1|1,14|800024|1,14|21000373|20,14|350073|20,0,0
1302,13,2|2,14|21000373|18,14|350073|18,0,0,0
1303,13,3|3,14|21000373|16,14|350073|16,0,0,0
1304,13,4|10,14|21000373|14,14|350073|14,0,0,0
1305,13,11|50,14|21000373|12,14|350073|12,0,0,0
1306,13,51|100,14|21000373|10,14|350073|10,0,0,0
1307,13,101|0,14|21000373|8,14|350073|8,0,0,0
1401,14,1|1,14|800025|1,14|190026|20,5|5|1500,0,0
1402,14,2|2,14|800025|1,14|190026|16,5|5|1200,0,0
1403,14,3|3,14|800025|1,14|190026|14,5|5|1000,0,0
1404,14,4|10,14|800025|1,14|190026|12,5|5|800,0,0
1405,14,11|50,14|190026|10,5|5|700,0,0,0
1406,14,51|100,14|190026|8,5|5|600,0,0,0
1407,14,101|0,14|190026|6,5|5|500,0,0,0
1501,15,1|1,14|800033|1,14|190025|20,5|5|1500,0,0
1502,15,2|2,14|800033|1,14|190025|16,5|5|1200,0,0
1503,15,3|3,14|800033|1,14|190025|14,5|5|1000,0,0
1504,15,4|10,14|800033|1,14|190025|12,5|5|800,0,0
1505,15,11|50,14|190025|10,5|5|700,0,0,0
1506,15,51|100,14|190025|8,5|5|600,0,0,0
1507,15,101|0,14|190025|6,5|5|500,0,0,0
1601,315,1|1,14|800034|1,14|190024|20,5|5|1500,0,0
1602,315,2|2,14|800034|1,14|190024|16,5|5|1200,0,0
1603,315,3|3,14|800034|1,14|190024|14,5|5|1000,0,0
1604,315,4|10,14|190024|12,5|5|800,0,0,0
1605,315,11|50,14|190024|10,5|5|700,0,0,0
1606,315,51|100,14|190024|8,5|5|600,0,0,0
1607,315,101|0,14|190024|6,5|5|500,0,0,0
